Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,specialty,deli meat cheese,0,20180706,ADAM'S SAUSAUGES,1437 Michael St,45.41600418,-75.6284256,NA,NA,917,East Industrial
food,grocery,small,0,20180706,AFRICAN QUEEN SUPERMARKET,"2430 Bank St., Ottawa, ON K1V-0T7",45.35327148,-75.64864349,NA,NA,97,South Keys - Greenboro West
food,grocery,small,0,20180706,AI Amir GROCERY AND Meat Shop,1596 Walkley Rd,45.37679672,-75.64614868,NA,NA,932,Ledbury - Heron Gate - Ridgemont
food,specialty,deli meat cheese,0,20180706,AL MADINA MEAT & FOOD MARKET,1136 Cadboro Rd,45.43092728,-75.62129211,NA,NA,912,Carson Grove - Carson Meadows
food,grocery,small,0,20180706,AL MOKHTAR FOOD CENTRE,383 McArthur Ave,45.43225479,-75.65031433,NA,NA,954,Vanier South
food,grocery,small,0,20180706,AL WAHA Halal Meat & Grocery,2833 Dumaurier Ave,45.35066605,-75.79369354,NA,NA,106,Whitehaven - Queensway Terrace North
food,specialty,bakery,0,20180706,ALADIN BAKERY,1020 St Laurent Blvd,45.42791367,-75.63998413,NA,NA,940,Overbrook - McArthur
food,grocery,small,0,20180706,ALJAZEERA FOOD MARKET,1101 Wellington St W,45.40282822,-75.725914,NA,NA,47,Hintonburg - Mechanicsville
food,grocery,small,0,20180706,AL-KALAA MINI MARKET,557 Kirkwood Ave,45.38913345,-75.74285126,NA,NA,958,Westboro
food,grocery,small,0,20180706,ALL AFRICA MARKET,"411 McArthur Ave., Ottawa, ON K1K 1G7",45.43234634,-75.64842987,NA,NA,954,Vanier South
food,grocery,small,0,20180706,Al-Noor Bakery Halal,"70 Wylie Ave, Ottawa, ON K2B 6M4",45.35458755,-75.80677795,NA,NA,901,Bayshore - Belltown
food,grocery,small,0,20180706,ALSHAM FOOD & MEAT MARKET,4000 Bridle Path Dr,45.34837341,-75.64549255,NA,NA,38,Emerald Woods - Sawmill Creek
food,specialty,bakery,0,20180706,Art-Is-In Bakery,250 City Centre Ave,45.40810013,-75.71872711,NA,NA,957,West Centretown
food,specialty,bakery,0,20180706,ARTISTIC CAKE DESIGN,"1390 Clyde Ave. #106, Nepean, ON K2G 3H0",45.35934448,-75.73912048,NA,NA,31,Cityview - Crestview - Meadowlands
food,grocery,small,0,20180706,ARUM KOREAN MARKET,512 Bank St,45.40997696,-75.6925354,NA,NA,24,Centretown
food,grocery,small,0,20180706,ARYA FOOD MARKET,"508 Gladstone Ave, Ottawa, ON K1R 5P1",45.40995026,-75.69827271,NA,NA,24,Centretown
food,specialty,bakery,0,20180706,AUX DELICES BAKERY,32 Byward Market Square,45.42770386,-75.69300079,NA,NA,908,Byward Market
food,specialty,bakery,0,20180706,Bagel-Bagel Ltd,1616 Michael St,45.40930939,-75.6255722,NA,NA,917,East Industrial
food,grocery,small,0,20180706,Barwaaqo Food Centre,"1439 Ogilvie Rd, Gloucester, ON K1J 7P3",45.4318924,-75.61849213,NA,NA,912,Carson Grove - Carson Meadows
