rowid,name,address,category2,category3,Nbhd,lat,lng
1,180 Food Market,"180 Lees Ave, Ottawa, ON K1S 5P3",convenience,regular,Old Ottawa East,45.4153548,-75.6708025
2,2 Broke Girls Bakery,"360 Albert Street, Ottawa, ON K1R",specialty,bakery,Centretown,45.4181744,-75.7035661
3,3 Sisters Bakeshop,"2211 Arch Street, Ottawa, ON K1G",specialty,bakery,Elmvale - Canterbury,45.3895561,-75.6304427
4,3cents2,"3-1940 Bank Street, Ottawa, ON K1V 7Z8",specialty,bakery,Hunt Club Woods - Quintarra - Revelstoke,45.3675274,-75.6623477
5,A&M Confectionery,"1499 Clementine Blvd, Ottawa, ON K1H 8E8",grocery,small,Billings Bridge - Alta Vista,45.3828744,-75.6739243
6,A&M Mart,"580 Montreal Rd, Ottawa, ON K1K",convenience,gas station,Overbrook - McArthur,45.4409854,-75.6440071
7,A2Z Food Centre,"489 Rideau St, Ottawa, ON K1N 5Z5",convenience,regular,Lowertown,45.4317166,-75.6792161
8,Abbas Grocery,"344 Bell Street, Ottawa, ON",grocery,small,Glebe - Dows Lake,45.4020648,-75.7032878
9,Accacia Fine Pastries & Desserts,"1020 St Laurent Blvd, Ottawa, ON K1K 4S2",specialty,bakery,Overbrook - McArthur,45.4277621,-75.6398977
10,Adam's Sausages,"1437 Michael Street, Ottawa, ON",grocery,small,East Industrial,45.4159116,-75.6281825
11,Adonis,"1055 St Laurent Boulevard, Ottawa, ON",grocery,small,Overbrook - McArthur,45.427054,-75.6383701
12,Aenos Food Services Inc,"2455 Kaladar Av, Ottawa, ON K1V 8B9",grocery,small,Billings Bridge - Alta Vista,45.3762222,-75.6706779
13,Africa World Market,"1392 Cyrville Rd, Ottawa, ON K1L 3M9",grocery,small,East Industrial,45.4204663,-75.6218781
14,AFRICAN QUEEN SUPERMARKET,"2430 Bank St., Ottawa, ON K1V-0T7",grocery,small,South Keys - Greenboro West,45.3537723,-75.6491647
15,Afrimarketplace,"269 Greenbank Rd, Nepean, ON K2H 8K9",grocery,small,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3243768,-75.7778245
