name,address,phone,note,update_date,lat,lng,chain,category2,category3,ONS_ID,Nbhd,Nbhd_FR
180 Food Market,"180 Lees Ave, Ottawa, ON K1S 5P3",NA,Convenience Stores,2021-08-26,45.4153548,-75.6708025,FALSE,convenience,regular,82,Old Ottawa East,Vieil Ottawa-Est
2 Broke Girls Bakery,"360 Albert Street, Ottawa, ON K1R",NA,"Desserts, Bakeries",2021-08-26,45.4181744,-75.7035661,FALSE,specialty,bakery,24,Centretown,Centre-Ville
3 Sisters Bakeshop,"2211 Arch Street, Ottawa, ON K1G",NA,"Cafes, Bakeries, Sandwiches",2021-08-26,45.3895561,-75.6304427,FALSE,specialty,bakery,919,Elmvale - Canterbury, 
3cents2,"3-1940 Bank Street, Ottawa, ON K1V 7Z8",NA,"Desserts, Coffee &amp; Tea, Bakeries",2021-08-26,45.3675274,-75.6623477,FALSE,specialty,bakery,927,Hunt Club Woods - Quintarra - Revelstoke,Hunt Club Woods - Quintarra - Revelstoke
A&M Confectionery,"1499 Clementine Blvd, Ottawa, ON K1H 8E8",NA,NA,2021-08-26,45.3828744,-75.6739243,FALSE,grocery,small,903,Billings Bridge - Alta Vista, 
A&M Mart,"580 Montreal Rd, Ottawa, ON K1K",NA,"Pizza, Gas Stations",2021-08-26,45.4409854,-75.6440071,FALSE,convenience,gas station,940,Overbrook - McArthur, 
A2Z Food Centre,"489 Rideau St, Ottawa, ON K1N 5Z5",NA,Convenience Stores,2021-08-26,45.4317166,-75.6792161,FALSE,convenience,regular,934,Lowertown,Basse-ville
Abbas Grocery,"344 Bell Street, Ottawa, ON",NA,Grocery,2021-07-06,45.4020648,-75.7032878,FALSE,grocery,small,923,Glebe - Dows Lake,Glebe â€“ Lac Dows
Accacia Fine Pastries & Desserts,"1020 St Laurent Blvd, Ottawa, ON K1K 4S2",NA,"Bakeries, Desserts, Patisserie/Cake Shop",2021-08-26,45.4277621,-75.6398977,FALSE,specialty,bakery,940,Overbrook - McArthur, 
Adam's Sausages,"1437 Michael Street, Ottawa, ON",(613) 749-3336,"Butcher, Meat Shops, Imported Food",2021-07-06,45.4159116,-75.6281825,FALSE,grocery,small,917,East Industrial,Industriel-Est
Adonis,"1055 St Laurent Boulevard, Ottawa, ON",(613) 778-8883,International Grocery,2021-07-06,45.427054,-75.6383701,FALSE,grocery,small,940,Overbrook - McArthur, 
Aenos Food Services Inc,"2455 Kaladar Av, Ottawa, ON K1V 8B9",NA,NA,2021-08-26,45.3762222,-75.6706779,FALSE,grocery,small,903,Billings Bridge - Alta Vista, 
Africa World Market,"1392 Cyrville Rd, Ottawa, ON K1L 3M9",(613) 244-0325,NA,2021-08-26,45.4204663,-75.6218781,FALSE,grocery,small,917,East Industrial,Industriel-Est
AFRICAN QUEEN SUPERMARKET,"2430 Bank St., Ottawa, ON K1V-0T7",AFRICAN QUEEN SUPERMARKET,NA,2021-08-26,45.3537723,-75.6491647,FALSE,grocery,small,97,South Keys - Greenboro West,South Keys - Greenboro Ouest
Afrimarketplace,"269 Greenbank Rd, Nepean, ON K2H 8K9",NA,NA,2021-08-26,45.3243768,-75.7778245,FALSE,grocery,small,108,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Woodvale - Craig Henry - Manordale - Domaines des Bois d'Arlington
Afro-Caribbean Groceries,"1737 St. Laurent Blvd, Ottawa, ON K1G 3S7",NA,NA,2021-08-26,45.4049581,-75.6257207,FALSE,grocery,small,917,East Industrial,Industriel-Est
Afro Diva,"1315 Richmond Rd, Ottawa, ON",(613) 680-0082,"Cosmetics & Beauty Supply, Wigs, International Grocery",2021-07-06,45.3681702,-75.7858283,FALSE,grocery,small,906,Britannia Village, 
Agop's Bakery,"304 McArthur Avenue, Ottawa, ON K1L 6P2",NA,Bakeries,2021-08-26,45.4314616,-75.6559226,FALSE,specialty,bakery,940,Overbrook - McArthur, 
Al-Manara Food Centre,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",NA,NA,2021-08-26,45.3691281,-75.6209221,FALSE,grocery,small,50,Hunt Club Park,Parc Hunt Club
Al-Noor Bakery Halal,"70 Wylie Ave, Ottawa, ON K2B 6M4",NA,NA,2021-08-26,45.3545843,-75.806847,FALSE,grocery,small,901,Bayshore - Belltown, 
Al-Oumara Meat Shop & Grill,"25 Tapiola Crescent, Ottawa, ON",(613) 523-1800,"Meat Shops, Lebanese",2021-07-06,45.3640092,-75.6466335,FALSE,specialty,deli meat cheese,97,South Keys - Greenboro West,South Keys - Greenboro Ouest
"Al Basha Foods: Groceries, Meats & Take Out Foods","2434 St Joseph Blvd, Ottawa, ON K1C 1H6",NA,NA,2021-08-26,45.4690807,-75.5278639,FALSE,grocery,small,939,Orléans Village - Chateauneuf, 
Al Furat meat shop&BBq,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",NA,NA,2021-08-26,45.3691281,-75.6209221,FALSE,grocery,small,50,Hunt Club Park,Parc Hunt Club
Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1",NA,"Lebanese, Bakeries",2021-08-26,45.4803399,-75.5370229,FALSE,specialty,bakery,915,Convent Glen - Orléans Woods, 
Al Jazeerah Food and Meat Market,"1101 Wellington Street W, Ottawa, ON",(613) 321-6113,Grocery,2021-07-06,45.4028466,-75.7257886,FALSE,grocery,small,47,Hintonburg - Mechanicsville, 
Al Najah Meats,"2335 St. Laurent Blvd #106, Ottawa, ON K1G 5G6",NA,NA,2021-08-26,45.3834488,-75.6205782,FALSE,grocery,small,917,East Industrial,Industriel-Est
Al Sham Food & Meat Market,"275 Montreal Rd, Ottawa, ON",(613) 745-2477,Grocery,2021-07-06,45.4368769,-75.6600995,FALSE,grocery,small,953,Vanier North,Vanier Nord
Al Waha Grocery,"2833 Dumaurier Ave, Ottawa, ON K2B 7W3",NA,NA,2021-08-26,45.3507333,-75.7937212,FALSE,grocery,small,106,Whitehaven - Queensway Terrace North,Whitehaven - Terrasse Queensway Nord
Aladdin Bakery,"2020 Lanthier Drive, OrlÃƒÂ©ans, ON K4A 3V4",NA,"Bakeries, Lebanese",2021-08-26,45.4582181,-75.4930905,TRUE,specialty,bakery,942,Portobello South, 
Aladdin Bakery,"1020 St Laurent Boulevard, Ottawa, ON K1K",NA,Bakeries,2021-08-26,45.4277621,-75.6398977,TRUE,specialty,bakery,940,Overbrook - McArthur, 
Aladdin Convenience & Bakery,"1801 Carling Ave, Ottawa, ON K2A 1E4",NA,Bakeries,2021-08-26,45.3774493,-75.7549106,FALSE,specialty,bakery,931,Laurentian, 
Albion Meat Shop,"3515 Albion Rd S, Gloucester, ON K1T 1P1",NA,NA,2021-08-26,45.3543089,-75.6428,FALSE,grocery,small,52,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Supérieur - Parc Blossom - Timbermill
Ali Baba Bakery,"200 Vanguard Drive, OrlÃƒÂ©ans, ON K4A 0T8",NA,Bakeries,2021-08-26,45.4578239,-75.4871421,FALSE,specialty,bakery,942,Portobello South, 
Alice's Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",NA,Cafes,2021-08-26,45.3458412,-76.0377719,FALSE,specialty,bakery,911,Carp, 
ALL AFRICA MARKET,"411 McArthur Ave., Ottawa, ON K1K 1G7",NA,NA,2021-08-26,45.432316,-75.6485199,FALSE,grocery,small,954,Vanier South,Vanier Sud
Allspice Superstore,"194 Robertson Rd, Ottawa, ON",(613) 829-3395,Grocery,2021-07-06,45.3173858,-75.8444531,FALSE,grocery,small,7,Bells Corners West,Bells Corners Ouest
ALMONTE GAS AND GROCERY CORP,"234 CHRISTIAN ST, ALMONTE, ON",NA,NA,2021-08-26,45.2206138,-76.204693,FALSE,convenience,gas station,NA,NA,NA
Alta Juba Supermarket,"2925 Albion Road N, Ottawa, ON K1V 8Z3",NA,Convenience Stores,2021-08-26,45.3732236,-75.6537531,FALSE,convenience,regular,932,Ledbury - Heron Gate - Ridgemont, 
