rowid,name,address,category2,category3,Nbhd,lat,lng,dataset,phone,chain,nems_code,num_name,name_word,update_date
1,180 Food Market,"180 Lees Ave, Ottawa, ON K1S 5P3",convenience,regular,Old Ottawa East,45.4153548,-75.6708025,new,NA,NA,NA,NA,NA,2021-08-26
2,2 Broke Girls Bakery,"360 Albert Street, Ottawa, ON K1R",specialty,bakery,Centretown,45.4181744,-75.7035661,new,NA,NA,NA,NA,NA,2021-08-26
3,3 Sisters Bakeshop,"2211 Arch Street, Ottawa, ON K1G",specialty,bakery,Elmvale - Canterbury,45.3895561,-75.6304427,new,NA,NA,NA,NA,NA,2021-08-26
4,3cents2,"3-1940 Bank Street, Ottawa, ON K1V 7Z8",specialty,bakery,Hunt Club Woods - Quintarra - Revelstoke,45.3675274,-75.6623477,new,NA,NA,NA,NA,NA,2021-08-26
5,A&M Confectionery,"1499 Clementine Blvd, Ottawa, ON K1H 8E8",grocery,small,Billings Bridge - Alta Vista,45.3828744,-75.6739243,new,NA,NA,NA,NA,NA,2021-08-26
6,A&M Mart,"580 Montreal Rd, Ottawa, ON K1K",convenience,gas station,Overbrook - McArthur,45.4409854,-75.6440071,new,NA,NA,NA,NA,NA,2021-08-26
7,A2Z Food Centre,"489 Rideau St, Ottawa, ON K1N 5Z5",convenience,regular,Lowertown,45.4317166,-75.6792161,new,NA,NA,NA,NA,NA,2021-08-26
8,Abbas Grocery,"344 Bell Street, Ottawa, ON",grocery,small,Glebe - Dows Lake,45.4020648,-75.7032878,new,NA,NA,NA,NA,NA,2021-08-26
9,Accacia Fine Pastries & Desserts,"1020 St Laurent Blvd, Ottawa, ON K1K 4S2",specialty,bakery,Overbrook - McArthur,45.4277621,-75.6398977,new,NA,NA,NA,NA,NA,2021-08-26
10,Adam's Sausages,"1437 Michael Street, Ottawa, ON",grocery,small,East Industrial,45.4159116,-75.6281825,new,NA,NA,NA,NA,NA,2021-08-26
11,Adonis,"1055 St Laurent Boulevard, Ottawa, ON",grocery,small,Overbrook - McArthur,45.427054,-75.6383701,new,NA,NA,NA,NA,NA,2021-08-26
12,Aenos Food Services Inc,"2455 Kaladar Av, Ottawa, ON K1V 8B9",grocery,small,Billings Bridge - Alta Vista,45.3762222,-75.6706779,new,NA,NA,NA,NA,NA,2021-08-26
13,Africa World Market,"1392 Cyrville Rd, Ottawa, ON K1L 3M9",grocery,small,East Industrial,45.4204663,-75.6218781,new,NA,NA,NA,NA,NA,2021-08-26
14,AFRICAN QUEEN SUPERMARKET,"2430 Bank St., Ottawa, ON K1V-0T7",grocery,small,South Keys - Greenboro West,45.3537723,-75.6491647,new,NA,NA,NA,NA,NA,2021-08-26
15,Afrimarketplace,"269 Greenbank Rd, Nepean, ON K2H 8K9",grocery,small,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3243768,-75.7778245,new,NA,NA,NA,NA,NA,2021-08-26
16,Afro-Caribbean Groceries,"1737 St. Laurent Blvd, Ottawa, ON K1G 3S7",grocery,small,East Industrial,45.4049581,-75.6257207,new,NA,NA,NA,NA,NA,2021-08-26
17,Afro Diva,"1315 Richmond Rd, Ottawa, ON",grocery,small,Britannia Village,45.3681702,-75.7858283,new,NA,NA,NA,NA,NA,2021-08-26
18,Agop's Bakery,"304 McArthur Avenue, Ottawa, ON K1L 6P2",specialty,bakery,Overbrook - McArthur,45.4314616,-75.6559226,new,NA,NA,NA,NA,NA,2021-08-26
19,Al-Manara Food Centre,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",grocery,small,Hunt Club Park,45.3691281,-75.6209221,new,NA,NA,NA,NA,NA,2021-08-26
20,Al-Noor Bakery Halal,"70 Wylie Ave, Ottawa, ON K2B 6M4",grocery,small,Bayshore - Belltown,45.3545843,-75.806847,new,NA,NA,NA,NA,NA,2021-08-26
21,Al-Oumara Meat Shop & Grill,"25 Tapiola Crescent, Ottawa, ON",specialty,deli meat cheese,South Keys - Greenboro West,45.3640092,-75.6466335,new,NA,NA,NA,NA,NA,2021-08-26
22,"Al Basha Foods: Groceries, Meats & Take Out Foods","2434 St Joseph Blvd, Ottawa, ON K1C 1H6",grocery,small,Orléans Village - Chateauneuf,45.4690807,-75.5278639,new,NA,NA,NA,NA,NA,2021-08-26
23,Al Furat meat shop&BBq,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6",grocery,small,Hunt Club Park,45.3691281,-75.6209221,new,NA,NA,NA,NA,NA,2021-08-26
24,Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1",specialty,bakery,Convent Glen - Orléans Woods,45.4803399,-75.5370229,new,NA,NA,NA,NA,NA,2021-08-26
25,Al Jazeerah Food and Meat Market,"1101 Wellington Street W, Ottawa, ON",grocery,small,Hintonburg - Mechanicsville,45.4028466,-75.7257886,new,NA,NA,NA,NA,NA,2021-08-26
26,Al Najah Meats,"2335 St. Laurent Blvd #106, Ottawa, ON K1G 5G6",grocery,small,East Industrial,45.3834488,-75.6205782,new,NA,NA,NA,NA,NA,2021-08-26
27,Al Sham Food & Meat Market,"275 Montreal Rd, Ottawa, ON",grocery,small,Vanier North,45.4368769,-75.6600995,new,NA,NA,NA,NA,NA,2021-08-26
28,Al Waha Grocery,"2833 Dumaurier Ave, Ottawa, ON K2B 7W3",grocery,small,Whitehaven - Queensway Terrace North,45.3507333,-75.7937212,new,NA,NA,NA,NA,NA,2021-08-26
29,Aladdin Bakery,"2020 Lanthier Drive, OrlÃƒÂ©ans, ON K4A 3V4",specialty,bakery,Portobello South,45.4582181,-75.4930905,new,NA,NA,NA,NA,NA,2021-08-26
30,Aladdin Bakery,"1020 St Laurent Boulevard, Ottawa, ON K1K",specialty,bakery,Overbrook - McArthur,45.4277621,-75.6398977,new,NA,NA,NA,NA,NA,2021-08-26
31,Aladdin Convenience & Bakery,"1801 Carling Ave, Ottawa, ON K2A 1E4",specialty,bakery,Laurentian,45.3774493,-75.7549106,new,NA,NA,NA,NA,NA,2021-08-26
32,Albion Meat Shop,"3515 Albion Rd S, Gloucester, ON K1T 1P1",grocery,small,Hunt Club Upper -Blossom Park - Timbermill,45.3543089,-75.6428,new,NA,NA,NA,NA,NA,2021-08-26
33,Ali Baba Bakery,"200 Vanguard Drive, OrlÃƒÂ©ans, ON K4A 0T8",specialty,bakery,Portobello South,45.4578239,-75.4871421,new,NA,NA,NA,NA,NA,2021-08-26
34,Alice's Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",specialty,bakery,Carp,45.3458412,-76.0377719,new,NA,NA,NA,NA,NA,2021-08-26
35,ALL AFRICA MARKET,"411 McArthur Ave., Ottawa, ON K1K 1G7",grocery,small,Vanier South,45.432316,-75.6485199,new,NA,NA,NA,NA,NA,2021-08-26
36,Allspice Superstore,"194 Robertson Rd, Ottawa, ON",grocery,small,Bells Corners West,45.3173858,-75.8444531,new,NA,NA,NA,NA,NA,2021-08-26
37,ALMONTE GAS AND GROCERY CORP,"234 CHRISTIAN ST, ALMONTE, ON",convenience,gas station,(None),45.2206138,-76.204693,new,NA,NA,NA,NA,NA,2021-08-26
38,Alta Juba Supermarket,"2925 Albion Road N, Ottawa, ON K1V 8Z3",convenience,regular,Ledbury - Heron Gate - Ridgemont,45.3732236,-75.6537531,new,NA,NA,NA,NA,NA,2021-08-26
39,Amjad Syed,"1016 Pleasant Park Rd, Ottawa, ON K1G 2A1",convenience,regular,Elmvale - Canterbury,45.3952009,-75.6223817,new,NA,NA,NA,NA,NA,2021-08-26
40,Anabia Cupcakery CafÃƒÂ©,"3570 Strandherd Drive, Ottawa, ON K2J 5L4",specialty,bakery,Old Barrhaven East,45.2751492,-75.7375557,new,NA,NA,NA,NA,NA,2021-08-26
41,Anderson Farm,"8435 Franktown Road, Ashton, ON K0A 1B0",farmer's market,farmer's market,Munster - Ashton,45.1293511,-75.9533593,new,NA,NA,NA,NA,NA,2021-08-26
42,Andy's Variety Store,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",convenience,regular,Cityview - Crestview - Meadowlands,45.3422601,-75.7555122,new,NA,NA,NA,NA,NA,2021-08-26
43,Anna Mae's Cakery,"40 Zokol Cres, Ottawa, ON K2K 2K4",specialty,bakery,Kanata Lakes - Arcardia,45.3253371,-75.9160943,new,NA,NA,NA,NA,NA,2021-08-26
44,Apos Convenience,"2143 Carp Road RR 3, Carp, ON K0A 1L0",convenience,regular,Stittsville,45.2732931,-75.953511,new,NA,NA,NA,NA,NA,2021-08-26
45,Aqua Fuchsia Foods,"1325 Humber Pl, Ottawa, ON K1B 5K9",grocery,small,East Industrial,45.4026674,-75.6058855,new,NA,NA,NA,NA,NA,2021-08-26
46,Aramark,"285 Coventry Road, Ottawa, ON K1K 4G5",specialty,deli meat cheese,Overbrook - McArthur,45.4216785,-75.6536112,new,NA,NA,NA,NA,NA,2021-08-26
47,Arlington Five,"5 Arlington Avenue, Ottawa, ON K2P 1C1",specialty,deli meat cheese,Centretown,45.4101361,-75.6929269,new,NA,NA,NA,NA,NA,2021-08-26
48,AromessÃƒÂ¶ CafÃƒÂ©,"8555 Campeau Drive, Ottawa, ON K2T 0K5",specialty,bakery,Kanata Lakes - Arcardia,45.3058837,-75.923067,new,NA,NA,NA,NA,NA,2021-08-26
49,Around the Block Butcher Shop,"1117 Cobden Rd, Ottawa, ON K2C 2Z1",grocery,small,Iris - Queensway Terrance South,45.3527102,-75.7779049,new,NA,NA,NA,NA,NA,2021-08-26
50,Art Is In Bakery,"250 City Centre Avenue, Ottawa, ON K1R 1C7",specialty,bakery,West Centretown,45.4081821,-75.7181931,new,NA,NA,NA,NA,NA,2021-08-26
51,ARTISTIC CAKE DESIGN,"1390 Clyde Ave. #106, Nepean, ON K2G 3H0",specialty,bakery,Cityview - Crestview - Meadowlands,45.359221,-75.7392358,new,NA,NA,NA,NA,NA,2021-08-26
