name,address,phone,Y,X,note,address2,update_date,category,lat,lng,geometry
Giant Tiger,"385, avenue de Buckingham, Buckingham, QC, J8L 2G8",819-986-8533,45.5898658,-75.4179833,NA,NA,NA,convenience,45.5898658,-75.4179833,"c(389225.155040244, 5050565.05661047)"
Boulangerie Patisserie Buckingham,"415 Av De Buckingham, Gatineau, QC J8L 2G8",NA,NA,NA,Bakeries,NA,NA,bakery,45.588877600000004,-75.4172159,"c(389286.514584846, 5050456.04430233)"
Couche-Tard,"175 Avenue LÃ©pine, Buckingham, CA",NA,45.5758929,-75.400335,"car_wash, diesel, public_restrooms, roller_grill, redbull_shop, ca_coffee",NA,NA,convenience,45.5758929,-75.400335,"c(390623.463459228, 5049030.95508338)"
ESSO COUCHE-TARD,"101 RUE GEORGES, GATINEAU, QC",NA,45.5540846,-75.4363994,NA,NA,NA,convenience,45.5540846,-75.4363994,"c(387840.948387964, 5046569.4167425)"
Mr. Gas,"297 Edwards Street, Rockland, Ontario, K4K 1H6",(613) 446-6877,45.5515862,-75.295229,NA,NA,NA,convenience,45.5515862,-75.295229,"c(398867.012580378, 5046447.54982193)"
Giant Tiger,"1657 Laurier Street PO Box 719, Rockland, ON, K4K 1L4",613-446-4369,45.5490373,-75.2899322,NA,NA,NA,convenience,45.5490373,-75.2899322,"c(399284.850271889, 5046170.51066223)"
FOOD BASICS,9030 County Road 17 Rockland K4K 1V5,613-446-2825,45.5481786,-75.301749,NA,NA,2021-05-01,grocery,45.5481786,-75.301749,"c(398363.594849826, 5046061.23780099)"
Canadian Tire Gas Bar,"9040 County Road 17, Rockland, ON, K4K 1V5",6134464410,45.546828,-75.3023562,NA,NA,NA,convenience,45.546828,-75.3023562,"c(398318.422575341, 5045910.43662715)"
Canadian Tire Gas Bar,"9020 County Road 17, Rockland, ON, K4K 1V5",6134464589,45.5463729,-75.303034,NA,NA,NA,convenience,45.5463729,-75.303034,"c(398266.250783834, 5045859.0713476)"
Benny's All day Resto Bar,"2370 Laurier Street, Clarence-Rockland, ON K4K 1L5",NA,NA,NA,"American (Traditional), Delis, Pizza",NA,NA,deli meat cheese,45.5460039,-75.295356,"c(398866.408837981, 5045827.03463205)"
Circle K,"9061 County Road 17, ROCKLAND, Canada",+1 613 446 9143,45.5454896,-75.3017648,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,NA,convenience,45.5454896,-75.3017648,"c(398366.822824426, 5045762.38832979)"
Dollar Tree,"2756 Chamberland Street Unit 2, Rockland Plaza, Rockland, ON, K4K 0B2",613-446-0710,45.5441947,-75.3027572,NA,NA,NA,convenience,45.5441947,-75.3027572,"c(398291.475985574, 5045617.32843596)"
Ultramar Ontario,"2749 Laurier Street, Rockland, ON K4K 1A3",NA,45.5414127,-75.3008097,Convenience Stores,NA,NA,convenience,45.5414127,-75.3008097,"c(398448.173254709, 5045310.43287875)"
YIG,"2737 Laurier St, Rockland, Ontario, K4K 1A3",6134467273,45.541698,-75.299258,Parent's Your Independent Grocer Rockland,"Rockland, Ontario, K4K 1A3",2021-05-01,grocery,45.5414081,-75.2989098,"c(398596.549108586, 5045312.14020206)"
WALMART,"3001 Richelieu St, Rockland, ON, K4K 0B5",613-446-5730,45.53257,-75.306828,Rockland Supercentre,"Rockland, ON, K4K 0B5",2021-05-01,grocery,45.5322464,-75.3059486,"c(398062.016314656, 5044285.79206695)"
ESSO COUCHE-TARD,"1225 RUE DE NEUVILLE, GATINEAU, QC",NA,45.5310494,-75.4960703,NA,NA,NA,convenience,45.5310494,-75.4960703,"c(383214.152280081, 5043949.47668167)"
Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",NA,NA,NA,Bakeries,NA,NA,bakery,45.5179599,-75.4106861,"c(389902.997382209, 5042581.78043785)"
Mr. Gas,"980 Cameron Street, Cumberland, Ontario, K4C 1A1",(613) 833-3038,45.5177895,-75.4112554,NA,NA,NA,convenience,45.5177895,-75.4112554,"c(389858.777489814, 5042562.24058655)"
ESSO COUCHE-TARD,"348 BOUL LORRAIN, GATINEAU, QC",NA,45.5069413,-75.6089149,NA,NA,NA,convenience,45.5069413,-75.6089149,"c(374429.918919222, 5041166.30286638)"
Proxim Isabelle Menard,"87 Chemin Old Chelsea, Chelsea, QC J9B 1K9",NA,NA,NA,Pharmacy,NA,NA,health store,45.5035525,-75.7948719,"c(359902.448080897, 5040645.31005449)"
Ultramar,"700 MONTEE PAIEMENT , GATINEAU, QC, J8R1L3",(819) 669-1626,45.5020951,-75.6767605,NA,NA,NA,convenience,45.5020951,-75.6767605,"c(369133.949625948, 5040571.16279125)"
Deli Du Marche,"425 La Verendrye Blvd E, Gatineau, QC J8R 2W8",NA,NA,NA,Delis,NA,NA,deli meat cheese,45.5019607,-75.641189,"c(371913.922985293, 5040585.33345737)"
Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",NA,NA,NA,Farmers' Market,NA,NA,farmer's market,45.4952138,-75.3171513,"c(397247.647547743, 5040157.3935209)"
BouchÃ©e Vintage Bite,"35 De Villebois, Gatineau, QC J8T",NA,NA,NA,Bakeries,NA,NA,bakery,45.4926583,-75.705792400000007,"c(366875.555764431, 5039499.60618058)"
Lavoie Line Herboriste,"1134 Maloney Blvd E, Gatineau, QC J8P 1H9",NA,NA,NA,Health Food Store,NA,NA,health store,45.49232,-75.5864712,"c(376202.160257084, 5039561.13781569)"
Ultramar,"253 ST-RENE OUEST, GATINEAU, QC, J8P2V7",(819) 669-7619,45.492008,-75.6572815,NA,NA,NA,convenience,45.491934,-75.6572693,"c(370668.979180372, 5039457.75414274)"
Mr. Gas,"1270 Trim Road, Orleans, Ontario, K4A 3P7",(613) 824-7126,45.4910181,-75.4799664,NA,NA,NA,convenience,45.4910181,-75.4799664,"c(384528.486811471, 5039516.63964065)"
Petro-Canada,"395 Montee Paiement, Gatineau, Quebec, J8P6M7",8195617007,45.49008,-75.6760201,NA,NA,NA,convenience,45.49008,-75.6760201,"c(369205.505911091, 5039236.51588814)"
ESSO COUCHE-TARD,"882 BOUL ST-RENE O, GATINEAU, QC",NA,45.4892103,-75.6893638,NA,NA,NA,convenience,45.4892103,-75.6893638,"c(368163.486200669, 5039129.2553983)"
Petro-Canada,"255 ave Gatineau, Gatineau, Quebec, J8T4J7",8195688222,45.4886639,-75.7190463,NA,NA,NA,convenience,45.4886639,-75.7190463,"c(365843.942161628, 5039045.55227346)"
Mr. Gas,"2336 Rue Saint-Louis, Gatineau, Quebec, J8V 1A2",(819) 561-1552,45.488509,-75.7471389,NA,NA,NA,convenience,45.488509,-75.7471389,"c(363648.222340633, 5039007.37718831)"
Ultramar,"1385, boul. de la VÃ©rendrye O., Gatineau, QC, J8T8J8",(819) 243-1410,45.4884686,-75.7127166,NA,NA,NA,convenience,45.4884686,-75.7127166,"c(366338.921004569, 5039028.67742733)"
Metro Plus,"910 Boulevard Maloney E, Ottawa, ON",(819) 643-2353,45.34894636,-75.78272779,Grocery,NA,2021-07-06,grocery,45.4883472,-75.5975053,"c(375344.68678338, 5039109.89242387)"
Ultramar,"873 Maloney Est, Gatineau, QC, J8P1H4",(819) 669-1708,45.4882202,-75.6011971,NA,NA,NA,convenience,45.4882202,-75.6011971,"c(375056.270636547, 5039092.54386246)"
Maggy's Mart,"8154 Jeanne D'arc Blvd N, Orleans, ON K1E 2H5",NA,45.4875472,-75.5116649,Convenience Stores,NA,NA,convenience,45.4875472,-75.5116649,"c(382055.598530164, 5039099.94816804)"
GÃ¢teaux Gourmands 3D,"865 Maloney E, Gatineau, QC J8P 1H3",NA,NA,NA,"Bakeries, Local Services, Cafes",NA,NA,bakery,45.4870022,-75.6042904,"c(374815.987595919, 5038954.48715699)"
Canadian Tire Gas Bar,"399, boul. Maloney Ouest, Gatineau, QC, J8P 3W1",8196692033,45.4847617,-75.6649555,NA,NA,NA,convenience,45.4847617,-75.6649555,"c(370076.500424733, 5038654.42294715)"
Ultramar,"410, Boul. Maloney Est, Gatineau, QC, J8P1E7",(819) 669-1819,45.4842196,-75.6392184,NA,NA,NA,convenience,45.4842196,-75.6392184,"c(372089.045694278, 5038615.41162846)"
DEPANNEUR AMIGOS ENRG,"296 BOUL MALONEY E, GATINEAU, QC",NA,45.4842112,-75.6449367,NA,NA,NA,convenience,45.4842112,-75.6449367,"c(371642.045016171, 5038609.70503923)"
Giant Tiger,"715, boul. Maloney Est, Gatineau, QC, J8P 1G3",819-669-8191,45.4841844,-75.6236107,NA,NA,NA,convenience,45.4841844,-75.6236107,"c(373309.172519857, 5038624.68963711)"
La Trappe Ã  Fromage,"574 Boulevard Maloney Est, Gatineau, QC J8P 1G1",NA,NA,NA,Cheese Shops,NA,NA,deli meat cheese,45.4841701,-75.6303882,"c(372779.37908934, 5038617.34381961)"
Petro-Canada,"151 Maloney est, Gatineau, Quebec, J8P1B9",8196639647,45.484042,-75.6506588,NA,NA,NA,convenience,45.484042,-75.6506588,"c(371194.936041637, 5038586.15743459)"
Quickie,"915 WATTERS STREET, Cumberland, Ontario, K4A 3K5",613-841-6972,45.4837088,-75.4756006,NA,NA,NA,convenience,45.4837088,-75.4756006,"c(384880.085891823, 5038708.69990824)"
Shell,"620 BOUL MALONEY O, GATINEAU, Quebec, J8T 8K7",+1 819 243 3353,45.48233,-75.6748739,NA,NA,NA,convenience,45.48233,-75.6748739,"c(369303.942355845, 5038376.17800288)"
Giant Tiger,"900 Watters Road, OrlÃ©ans, ON, K4A 0B4",613-841-1946,45.4820643,-75.4734004,NA,NA,NA,convenience,45.4820643,-75.4734004,"c(385054.41631792, 5038528.14222216)"
Chenoy's,"120 Blvd De L'hopital, Gatineau, QC J8T 8M2",NA,NA,NA,Specialty Food,NA,NA,deli meat cheese,45.4810589,-75.6866854,"c(368382.013276526, 5038225.50646289)"
METRO,"6509 Jeane D'Arc Blvd., Orleans, ON K1C 2R1",613-837-1170,45.48076,-75.53611,Metro Convent Glen Mall,"Orleans, ON K1C 2R1",2021-05-01,grocery,45.4807611,-75.5361128,"c(380153.619563416, 5038322.59112978)"
Prodeli,"215 Rue Bellehumeur, Gatineau, QC J8T 8H3",NA,NA,NA,"Delis, Sandwiches, Specialty Food",NA,NA,deli meat cheese,45.4803852,-75.6926179,"c(367918.984493357, 5038145.96098897)"
