name_old,address_old,note_old,lat,lng
180 FOOD MARKET,"180  LEES AVENUE, Ottawa, ON",regular,45.4153548,-75.6708025
A TO Z Palace,"489 Rideau St, Ottawa, ON",regular,45.4317166,-75.67921609999999
A. RAYMOND & SONS,"5566 Osgoode Main St, Ottawa, ON",gas station,45.1457293,-75.60655
ABBAS GROCERY,"344 Bell St S, Ottawa, ON",regular,45.4020648,-75.7032878
AINEE'S CONVENIENCE STORE,"1016 Pleasant Park Rd, Ottawa, ON",regular,45.3952009,-75.62238169999999
Ali Convenience Store,"1245 Walkley Rd, Ottawa, ON",regular,45.3718896,-75.6610872
AL'S CORNER STORE & gas bar,"4812 Hwy 17 W,  Arnprior",gas station,45.4081685,-76.28243309999999
BAKKER'S GENERAL STORE,"1004 Mitch Owens Rd, Ottawa, ON",regular,45.285143,-75.5577692
Bambeeno’s Tuck Shop,"2201 Riverside Dr, Ottawa, ON K1H 8K9",regular,45.38841,-75.6745825
BAYSCORNER,"245 Bay St, Ottawa, ON",regular,45.4154673,-75.7040931
BELL'S CORNER MINI MART,"2072 Robertson Rd, Ottawa, ON",regular,45.322444,-75.8313318
BLUE NILE STORE,"168 King Edward Av, Ottawa, ON",regular,45.433828,-75.69045109999999
BRITTANY VARIETY STORE,"230 Brittany Dr, Ottawa, ON",regular,45.4455455,-75.6487248
BUCK OR TWO Plus,"50 Marketplace Ave, Ottawa, ON",regular,45.2698934,-75.743713
Buck or Two Plus,"50 Rideau Street, Ottawa, ON",regular,45.4250234,-75.6909652
CAMPBELL'S METCALFE VARIETY,"8196 Victoria St, Ottawa, ON",regular,45.2349347,-75.4743956
Canadian Tire Gas Bar,"1170 Heron Road, Ottawa, ON
K1V 6B2",gas station,45.37761829999999,-75.66841
Canadian Tire Gas Bar,"1775 Tenth Line Rd, Ottawa, ON",gas station,45.4673466,-75.49108919999999
Canadian Tire Gas Bar,"2006 Ogilvie Rd, Ottawa, ON",gas station,45.435946,-75.6057919
Canadian Tire Gas Bar,"2135 Robertson Rd, Ottawa, ON",gas station,45.3218168,-75.83623949999999
Canadian Tire Gas Bar,"2201 Greenbank Rd, Ottawa, ON",gas station,45.27259230000001,-75.7468452
Canadian Tire Gas Bar,"4778 Bank Street, Gloucester, ON
K1T 0K8",gas station,45.3180646,-75.5927572
Canadian Tire Gas Bar,"500 Terry Fox Drive, Ottawa, ON",gas station,45.3086126,-75.916439
CARDS & MAGS,"25 McArthur Ave, Ottawa, ON",regular,45.4313724,-75.667942
CECI Cela Convenient Store,"50 O'Connor St, Ottawa, ON",regular,45.4208307,-75.6989356
CELEBRATION SMOKE & GIFT SHOP,"200 Kent St, Ottawa, ON",regular,45.41714,-75.70145939999999
CHATEAU VANIER VARIETY,"158 McArthur Ave, Ottawa, ON",regular,45.4306706,-75.6632267
CHUCK'S DELI & CONVENIENCE,"100 Trainyards Dr, Ottawa, ON",regular,45.4125374,-75.6466372
COMERFORDS SMOKE SHOP,"124 Bank St, Ottawa, ON",regular,45.4193147,-75.7004497
CONSTANCE BAY GENERAL STORE,"115 Constance Bay Rd, Ottawa, ON",regular,45.486479,-76.0736062
COSMO MART,"170 Lees Av, Ottawa, ON",regular,45.4141803,-75.671077
Country Style Express/Convenience store,"340 Laurier Ave W, Ottawa, ON",regular,45.4179829,-75.6998984
CROSSWINDS Convenience,"641 Bathgate Dr, Ottawa, ON",regular,45.4465282,-75.62414980000001
DARVESH CONVENIENCE STORE,"3084 Kinburn Side Rd, Ottawa, ON",regular,45.391489,-76.1885617
Depanneur Du Projet,"829 Notre Dame Rue, Embrun, ON K0A 1W1",regular,45.2693024,-75.2955571
Depanneur Miron,"723 Notre Dame Rue, Embrun, ON K0A 1W1",gas station,45.2675781,-75.30508449999999
Discount Tobacco & Grocery Shop,"5646 Manotick Main Street, Manotick, ON K4M 1B3",regular,45.2201635,-75.6768404
DIXIE DAIRY convenience store,"101 Main St, Ottawa, ON",regular,45.4116429,-75.67909879999999
