name,address,note,phone,lat,lng
Pronto Food Marts,"1119 Concession Street, Russell, ON K4R 1C8",Convenience Stores,NA,45.2578739,-75.3581913
Roberto’s Corner,"1034 Pleasant Park Rd, Ottawa, ON K1G 2A1","Delis, Italian, Sandwiches",NA,45.3953221,-75.6216341
Quickie,"1034 PLEASANT PARK RD, Ottawa, Ontario, K1G 2A1",NA,613-733-0985,45.3953221,-75.6216341
Quickie,"255 PARKDALE AVENUE, Ottawa, Ontario, K1Y 1G1",NA,613-725-3708,45.4049117,-75.731157
Quickie,"326-332 BANK STREET, Ottawa, Ontario, K2P 1Y1",NA,613-598-0052,45.4142546,-75.6956649
Quickie,"435 ALBERT STREET, Ottawa, Ontario, K1R 7X4",NA,613-232-6488,45.4173543,-75.7067817
Quickie,"119 MANN AVENUE, Ottawa, Ontario, K1N 5A4",NA,613-288-0434,45.4213501,-75.67194
Mac's,"395 Montreal Road, OTTAWA, Canada","gas, atm, coffee, polar_pop, froster",NA,45.4390106,-75.6539378
Quickie,"56 BATH ROAD, Kingston, Ontario, K7L 1H5",NA,613-547-2487,44.2404415,-76.5138211
Quickie,"60 WILLIAM STREET, Brockville, Ontario, K6V 4V5",NA,613-342-8482,44.5921906,-75.688447300000007
Quickie,"16 CENTRAL Avenue East, Brockville, Ontario, K6V 1W4",NA,613-345-5710,44.6025775,-75.6889108
Quickie,"1275 KENSINGTON PKWY, Brockville, Ontario, K6V 6C3",NA,613-342-4221,44.6079839,-75.7130449
Mac's,"297 King St. W., PRESCOTT, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,44.7083263,-75.5156333
Mac's,"909 Edward Street, PRESCOTT, Canada","gas, diesel, atm, coffee, redbull_shop",NA,44.7167482,-75.5206409
Mac's,"629 Hwy 2, CARDINAL, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,44.7882137,-75.3830351
Mac's,"1 Plaza Drive, IROQUOIS, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,44.8496394,-75.3165388
Circle K,"201 Brockville Street, SMITH FALLS, Canada","gas, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,44.8886923,-76.0197762
Circle K,"139 Gore Street East, PERTH, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,44.897192,-76.2457625
Circle K,"45 Main Street, SMITH FALLS, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,44.8994917,-76.0175383
Mac's,"32 Wilson Street, PERTH, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,44.9012895,-76.2538338
Quickie,"110 BECKWITH STREET NORTH, Smiths Falls, Ontario, K7A 2C3",NA,613-283-3394,44.9043069,-76.0218521
Mac's,"100 Dufferin Street, PERTH, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,44.9064511,-76.2689608
Quickie,"305 ST. LAWRENCE STREET, Merrickville, Ontario, K0G 1N0",NA,613-269-3320,44.9146639,-75.8363077
Mac's,"14805 County Road 2, INGLESIDE, Canada","gas, atm, coffee, polar_pop, froster, redbull_shop",NA,44.9941625,-74.9915652
Mac's,"421 Rideau Street, KEMPTVILLE, Canada","gas, atm, coffee, polar_pop, froster, redbull_shop",NA,45.0196507,-75.6508847
Quickie,"712 NORTH RIDEAU STREET, Kemptville, Ontario, K0G 1J0",NA,613-258-3880,45.0209838,-75.6530963
Mac's,"7 Moulinette Rd., LONG SAULT, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.0282336,-74.8969554
Quickie,"700-14TH STREET WEST, Cornwall, Ontario, K6J 5M2",NA,613-932-0295,45.0305187,-74.7550791
Circle K,"2375 VINCENT MASSEY DR., CORNWALL, US","gas, diesel, atm",NA,45.0326499,-74.7892303
Franktown Grocery Gas and Pizza,"9645 Highway 15, Smiths Falls, ON K7A 4S7","Pizza, Convenience Stores, Gas Stations",NA,45.038795,-76.0594594
Ultramar,"13659 Highway 7, Carleton Place, ON","Gas Stations, Convenience Stores",NA,45.0601281,-76.2486928
Circle K,"542 St. Lawrence St., WINCHESTER, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.0905082,-75.3523885
Mac's,"355 Franktown Rd., CARLETON PLACE, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.1309426,-76.1287832
Circle K,"10483 HWY 7, CALETON PLACE, Canada","gas, diesel, atm, redbull_shop",NA,45.1324077,-76.1211595
Circle K,"324 COLEMAN ST, OTTAWA, US","gas, diesel, public_restrooms, atm, coffee, polar_pop, froster, roller_grill",NA,45.1395484,-76.1276438
Mac's,"163 Town Line W., CARLETON PLACE, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.1405071,-76.1557846
Maple Leaf Dairy,"249 Bridge Street, Carleton Place, ON K7C 3H3",Convenience Stores,NA,45.1421263,-76.1484897
Circle K,"6138 Perth Street, RICHMOND, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.1938724,-75.8389807
Discount Tobacco &amp; Grocery Shop,"5646 Manotick Main Street, Manotick, ON K4M 1B3",Convenience Stores,NA,45.2201635,-75.6768404
Esso,"234 Christian Street, Almonte, ON K0A 1A0","Gas Stations, Convenience Stores",NA,45.2206138,-76.204693
Circle K,"86 Bridge St., ALMONTE, Canada","atm, coffee, polar_pop, froster",NA,45.2243153,-76.1950639
Mac's,"5511 Main Street, MANOTICK, Canada","atm, coffee, polar_pop, froster, redbull_shop",NA,45.2271049,-75.6861776
Metcalfe Variety,"8196 Victoria Street, Ottawa, ON K0A 2P0","Beer, Wine &amp; Spirits, Convenience Stores",NA,45.2349347,-75.4743956
Circle K,"5525 Appleton Side Road, ALMONTE, Canada","car_wash, gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.2367095,-76.1792507
Mac's,"1 Hobin St., STITTSVILLE, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.2647162,-75.9292944
Quickie,"3023 CEDARVIEW ROAD, Nepean, Ontario, K2J 4A8",NA,613-825-2458,45.2660293,-75.7713906
Farm Boy,"1250 Stittsville Main street, Ottawa, ON K2S 1S9",Grocery,NA,45.2683251,-75.9311153
Mac's,"1 Tartan Dr., NEPEAN, Canada","atm, coffee, polar_pop, froster",NA,45.269884,-75.7540622
