name,address,note,phone,lat,lng
Circle K,"1023 Wellington Street, OTTAWA, Canada","atm, coffee, polar_pop, froster",NA,45.40478419999999,-75.723925
Couche-Tard,"51 BOUL. FOURNIER, GATINEAU, CA","diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA,45.44634629999999,-75.7130504
Mac's,"395 Montreal Road, OTTAWA, Canada","gas, atm, coffee, polar_pop, froster",NA,45.4390106,-75.6539378
Circle K,"437 St. Laurent Blvd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.44736839999999,-75.6498646
Couche-Tard,"480 BOUL. ST-JOSEPH, GATINEAU, CA","car_wash, diesel, public_restrooms, roller_grill, ca_coffee",NA,45.44642109999999,-75.7323619
Circle K,"598 Montreal Road, OTTAWA, Canada","atm, coffee, polar_pop, froster",NA,45.4421259,-75.6429469
Circle K,"1600 Bank ST, OTTAWA, Canada","car_wash, gas, diesel, atm, redbull_shop",NA,45.3781328,-75.66774579999999
Couche-Tard,"265 BOUL. SAINT-RAYMOND, GATINEAU, CA","public_restrooms, atm, roller_grill, sloche, ca_coffee",NA,45.4269423,-75.7612982
Circle K,"256 Richmond Rd., OTTAWA, Canada","gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.393417,-75.75033499999999
Mac's,"1025 Merivale Rd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3789466,-75.73289820000001
Circle K,"2213 Arch St., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill",NA,45.3895238,-75.6304321
Circle K,"780 Baseline Rd., OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3705807,-75.71720979999999
Circle K,"1420 Walkley Road, OTTAWA, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.3734543,-75.65356179999999
Mac's,"888 Meadowlands Dr. E., OTTAWA, Canada","coffee, polar_pop, froster, redbull_shop",NA,45.36712490000001,-75.7025045
Circle K,"1970 Walkley RD, OTTAWA, Canada","EU_ROUTEX_ATLAS, EU_TRUCKDIESEL_NETWORK, car_wash, gas, diesel, atm, redbull_shop",NA,45.3829499,-75.63071219999999
Couche-Tard,"320, BOULEVARD GREBER, GATINEAU, CA","car_wash, diesel, public_restrooms, atm, redbull_shop, ca_coffee",NA,45.4777091,-75.7014885
Couche-Tard,"9 RUE DANIEL-JOHNSON, GATINEAU, CA","public_restrooms, atm, roller_grill, sloche, ca_coffee",NA,45.4625748,-75.7475764
Circle K,"1494 Innes RD, GLOUCESTER, Canada","car_wash, gas, diesel, atm",NA,45.4146989,-75.60450689999999
Couche-Tard,"4 RUE D'ORLÉANS, GATINEAU, CA","public_restrooms, atm, roller_grill, redbull_shop, ca_coffee",NA,45.4811876,-75.7009465
Couche-Tard,"35 RUE DU BARRY, GATINEAU, CA","public_restrooms, atm, roller_grill, sloche, ca_coffee",NA,45.481067900000014,-75.7052333
Circle K,"2063 Meadowbrook Rd., GLOUCESTER, Canada","atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA,45.427358,-75.6013072
Circle K,"1859 Carling Ave., OTTAWA, Canada","car_wash, gas, atm, coffee",NA,45.37628489999999,-75.7573774
Couche-Tard,"476 RUE GRAVELINE, GATINEAU, CA","public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA,45.486378,-75.6687119
Couche-Tard,"882 BOUL. SAINT-RENÉ OUEST, GATINEAU, CA","car_wash, diesel, public_restrooms, atm, roller_grill, ca_coffee",NA,45.4892103,-75.6893638
Couche-Tard,"585 BOUL. DES GRIVES, GATINEAU, CA","diesel, public_restrooms, atm, roller_grill, redbull_shop, ca_coffee",NA,45.4435358,-75.78599609999999
Couche-Tard,"245 RUE DE CANNES, GATINEAU, CA","public_restrooms, roller_grill, sloche, redbull_shop, ca_coffee",NA,45.4894734,-75.72356289999999
Couche-Tard,"410, BOUL. MALONEY EST, GATINEAU, CA","diesel, public_restrooms, atm, ca_coffee",NA,45.4842196,-75.63921839999999
Circle K,"2075 Montreal RD, OTTAWA, Canada","gas, diesel, atm, redbull_shop",NA,45.4480417,-75.59397109999999
Circle K,"2100 Hunt Club RD, OTTAWA, Canada","car_wash, gas, atm",NA,45.3640141,-75.6196172
Couche-Tard,"730 BOUL. DU MONT-ROYAL, GATINEAU, CA","public_restrooms, atm, roller_grill, redbull_shop, ca_coffee",NA,45.4960625,-75.6962775
Circle K,"1584 Merivale RD, NEPEAN, Canada","car_wash, gas, diesel, atm, coffee, redbull_shop",NA,45.3502812,-75.7336488
