name,address,phone,lat,lng
Dollar Tree,"Unit 2 -1021 Cyrville Rd, Riocan St Laurent Shopping Center, Ottawa, ON, K1J 7S3",613-744-1997,45.42285,-75.62768
Dollar Tree,"1460 Merivale Rd, Loblaws Plaza, Nepean, ON, K2E 5P2",613-226-4820,45.3621088281692,-75.7337796693791
Dollar Tree,"1750 Innes Road, Silver City Center, Ottawa, ON, K1B 3K5",613-741-2519,45.416943902439,-75.6012068292683
Dollar Tree,"Unit 2  2950 Bank Street, Blossom Pk Plaza, Ottawa (Gloucester), ON, K1T 1N8",613-523-4644,45.42379,-75.60041
Dollar Tree,"525 West Hunt Club Road, Nepean Crossroads Center, Nepean, ON, K2G 5W5",613-224-6990,45.3340793519593,-75.7258311472372
Dollar Tree,"Unit 8 - 3722 Innes Road, Riocan Center, Orleans, ON, K1W 0C8",613-824-4304,45.43988,-75.54122
Dollar Tree,"#1-5703 Hazeldean Rd., Shoppes at Fairwinds, Stittsville, ON, K2S 0P6",613-836-0060,45.26463,-75.9423
Dollar Tree,"2756 Chamberland Street Unit 2, Rockland Plaza, Rockland, ON, K4K 0B2",613-446-0710,45.5440913357628,-75.3018212585169
Dollar Tree,"25 Landsdowne Avenue, Carleton Place Mews, Carleton Place, ON, K7C 3S9",613-257-5656,45.14663,-76.14595
Dollar Tree,"2970 County Rd 43, Kemptville Crossing, Kemptville, ON, K0G 1J0",613-258-2882,45.00355,-76.46254
Dollar Tree,"424 Ninth Street W Unit C1, Cornwall SmartCentre, Cornwall, ON, K6J 0B3",613-933-1073,45.06209,-74.76608
Dollar Tree,"400 Spence Street, Hawkesbury Mall, Hawkesbury, ON, K6A 2Y3",613-632-1088,45.5986566666667,-74.6116966666667
Dollar Tree,"E-2015 Parkedale Ave, Brockville SmartCentre, Brockville, ON, K6V 0B4",613-341-8787,44.611302,-75.6867674
