name,address,phone,lat,lng
Dollarama,"1670 Heron Rd, Ottawa, ON, K1V0C2",+16135217369,45.379825,-75.644557
Dollarama,"2679 Alta Vista Dr, Ottawa, ON, K1V7T5",+16137397874,45.372543,-75.6631
Dollarama,"2277 Riverside Dr, Ottawa, ON, K1H 7X6",+16135235482,45.385773,-75.677531
Dollarama,"1910 St. Laurent Blvd, Ottawa, ON, K1G 1A4",+16132472181,45.399412,-75.623844
Dollarama,"500 Terminal Ave., Ottawa, ON, K1G0Z3",+16135621002,45.414523,-75.647348
Dollarama,"1009 Daze St, Ottawa, ON, K1V 2G3",+16137369361,45.356248,-75.655876
Dollarama,"2515 Bank St, Ottawa, ON, K1V0Y4",+16132498613,45.354281,-75.645971
Dollarama,"1200 St Laurent Blvd, Ottawa, ON, K1K3B8",+16132880172,45.421126,-75.638001
Dollarama,"255 Elgin St, Ottawa, ON, K2P 1L8",+16132880046,45.41837,-75.690658
Dollarama,"1239 Donald St, Ottawa, ON, K1J8W3",+16138420712,45.430501,-75.638755
Dollarama,"183 Rideau St, Ottawa, ON, K1N5X8",+16132881364,45.427535,-75.689198
Dollarama,"305 Rideau St, Ottawa, ON, K1N 9E5",+16137897008,45.429285,-75.685588
Dollarama,"1980 Ogilvie Rd, Gloucester, ON, K1J9L3",+16137418122,45.431834,-75.609557
Dollarama,"1050 Somerset St W, Ottawa, ON, K1Y3C5",+16136880192,45.406613,-75.719471
Dollarama,"594 Montreal Rd, Ottawa, ON, K1K0T9",+16132880113,45.441868,-75.643429
Dollarama,"228 Hunt Club Rd, Ottawa, ON, K1V1C1",+16132472138,45.333567,-75.691308
Dollarama,"1651 Merivale Rd, Nepean, ON, K2G3K2",+16132882431,45.349438,-75.730791
Dollarama,"2640 Innes Rd, Ottawa, ON, K1B4Z5",+16135900703,45.4314,-75.562982
Dollarama,"565 West Hunt Club Rd, Nepean, ON, K2G 5W5",+16132247204,45.335862,-75.728572
Dollarama,"425 boul St-Joseph, Gatineau, QC, J8Y3Z8",+18195952269,45.445484,-75.732825
Dollarama,"2121 Carling Ave., Ottawa, ON, K2A 1H2",+16137616790,45.373081,-75.768288
Dollarama,"1363 Woodroffe Ave, Nepean, ON, K2G 1V7",+16132285586,45.351023,-75.758515
