name,address,lat,lng,convenience_store
ESSO CIRCLE K,"3580 STRANDHERD RD, OTTAWA, ON",45.274563,-75.738235,TRUE
ESSO CIRCLE K,"401 HAZELDEAN RD, KANATA, ON",45.304234,-75.877739,TRUE
ESSO CIRCLE K,"1856 ROBERTSON RD, OTTAWA, ON",45.327259,-75.819839,TRUE
ESSO CIRCLE K,"44 EDGEWATER ST, KANATA, ON",45.297565,-75.90097,TRUE
ESSO CIRCLE K,"1545 WOODROFFE AVE, NEPEAN, ON",45.334358,-75.751762,TRUE
ESSO CIRCLE K,"2545 BASELINE RD, OTTAWA, ON",45.34211,-75.786278,TRUE
HUNTMAR,"225 HUNTMAR DR, KANATA, ON",45.294209,-75.92778,FALSE
ESSO CIRCLE K,"501 TERRY FOX DR, KANATA, ON",45.310112,-75.918388,TRUE
ESSO CIRCLE K,"2162 PRINCE OF WALES DR, NEPEAN, ON",45.333553,-75.701874,TRUE
ESSO CIRCLE K,"1584 MERIVALE RD, NEPEAN, ON",45.350193,-75.73365,TRUE
ESSO CIRCLE K,"3705 RIVERSIDE DR, OTTAWA, ON",45.342686,-75.690567,TRUE
MOBIL@  - 4281,"1460 MERIVALE ROAD, OTTAWA, ON",45.363464,-75.734177,FALSE
ESSO CIRCLE K,"479 MARCH RD, KANATA, ON",45.342197,-75.917046,TRUE
ESSO CIRCLE K,"1859 CARLING AVE, OTTAWA, ON",45.376324,-75.757301,TRUE
ISLAND PARK ESSO,"369 ISLAND PARK DR, OTTAWA, ON",45.397266,-75.741707,FALSE
ESSO CIRCLE K,"1600 BANK ST, OTTAWA, ON",45.377693,-75.667557,TRUE
ESSO CIRCLE K,"2100 HUNT CLUB RD, OTTAWA, ON",45.36417,-75.619987,TRUE
DEPANNEUR TACHE,"376 BOUL ALEXANDRE TACHE, GATINEAU, QC",45.421864,-75.745934,TRUE
ESSO CIRCLE K,"450 BANK ST, OTTAWA, ON",45.411777,-75.693687,TRUE
ESSO CIRCLE K,"1970 WALKLEY RD, OTTAWA, ON",45.383133,-75.630882,TRUE
HAWTHORNE ESSO,"3500 HAWTHORNE RD, OTTAWA, ON",45.374058,-75.597397,FALSE
ESSO COUCHE-TARD,"585 BOUL DES GRIVES, GATINEAU, QC",45.443512,-75.786003,TRUE
ESSO COUCHE-TARD,"480 BOUL SAINT-JOSEPH, GATINEAU, QC",45.446415,-75.732262,TRUE
ESSO COUCHE-TARD,"51 BOUL FOURNIER, GATINEAU, QC",45.446327,-75.713043,TRUE
ESSO CIRCLE K,"120 MONTREAL RD, VANIER, ON",45.433983,-75.666199,TRUE
DEPANNEUR 9 NEUF,"9 RUE THERIEN, GATINEAU, QC",45.454231,-75.752068,TRUE
TARGET FUEL,"455 DONALD ST, OTTAWA, ON",45.428707,-75.648033,FALSE
ESSO CIRCLE K,"1494 INNES RD, GLOUCESTER, ON",45.414898,-75.604683,TRUE
ESSO COUCHE-TARD,"725 BOUL DES HAUTES-PLAINES, GATINEAU, QC",45.47456,-75.77195,TRUE
ESSO CIRCLE K,"2075 MONTREAL RD, OTTAWA, ON",45.447861,-75.593872,TRUE
ESSO CIRCLE K,"421 RIDEAU STREET, KEMPTVILLE, ON",45.01965,-75.650902,FALSE
ESSO COUCHE-TARD,"882 BOUL ST-RENE O, GATINEAU, QC",45.489277,-75.689278,TRUE
COLEMAN ST. ESSO,"324 COLEMAN ST, CARLETON PLACE, ON",45.139729,-76.127647,TRUE
ESSO CIRCLE K,"10483 HWY 7, CARLETON PLACE, ON",45.129532,-76.12368,TRUE
DEPANNEUR AMIGOS ENRG,"296 BOUL MALONEY E, GATINEAU, QC",45.484146,-75.644844,TRUE
ESSO CIRCLE K,"1980 ST JOSEPH BLVD, ORLEANS, ON",45.46347,-75.540489,TRUE
ALMONTE GAS AND GROCERY CORP,"234 CHRISTIAN ST, ALMONTE, ON",45.220654,-76.204605,TRUE
ESSO CIRCLE K,"3869 INNES RD, ORLEANS, ON",45.453056,-75.512062,TRUE
NICHOLLS ESSO,"3798 DUNROBIN RD, WOODLAWN, ON",45.462551,-76.074715,TRUE
ESSO COUCHE-TARD,"348 BOUL LORRAIN, GATINEAU, QC",45.50705,-75.609146,FALSE
MOBIL@  - 4272,"4270 INNES ROAD, OTTAWA, ON",45.457508,-75.496513,FALSE
VARS GAS BAR LTD,"6175 ROCKDALE RD, VARS, ON",45.340488,-75.344002,TRUE
ESSO COUCHE-TARD,"1225 RUE DE NEUVILLE, GATINEAU, QC",45.53083,-75.49601,TRUE
DEPANNEUR MONT-VALOIS,"1777 RTE DU CARREFOUR, VAL DES MONTS, QC",45.595783,-75.617004,TRUE
QUICKIE 42,"110 BECKWITH ST, SMITHS FALLS, ON",44.904282,-76.02182,TRUE
ESSO COUCHE-TARD,"101 RUE GEORGES, GATINEAU, QC",45.55431,-75.436165,TRUE
ESSO COUCHE-TARD,"175 AVE LEPINE, GATINEAU, QC",45.575768,-75.401154,TRUE
MARCHE ALIMENTAIRE R. TESSIER,"1019 PRINCIPALE, VAL DES MONTS, QC",45.682507,-75.724159,TRUE
ESSO CIRCLE K,"100 DUFFERIN STREET, PERTH, ON",44.90649,-76.268875,FALSE
CASSELMAN GAS BAR,"2 RACINE ST, CASSELMAN, ON",45.306446,-75.081276,TRUE
ESSO CIRCLE K,"629 HWY 2, CARDINAL, ON",44.787762,-75.383484,FALSE
J & J GROCERY,"RTE 148, SHAWVILLE, QC",45.598381,-76.490784,TRUE
ESSO CIRCLE K,"14805 COUNTY ROAD 2, INGLESIDE, ON",44.994255,-74.991768,FALSE
MOBIL@  - 4207,"680 O'BRIAN ROAD, RENFREW, ON",45.475239,-76.659836,FALSE
RENFREW ESSO,"9 RAGLAN STREET SOUTH, RENFREW, ON",45.474873,-76.687027,FALSE
JR COUNTRY STORE,"462 CHENAUX RD, FORESTERS FALLS, ON",45.577839,-76.698196,TRUE
