name,address,phone,lat,lng
Giant Tiger,"98 George Street, Ottawa, ON, K1N 5W2",613-241-6733,45.4274,-75.6916
Giant Tiger,"1085 Wellington Street West, Ottawa, ON, K1Y 2Y4",613-722-9589,45.403,-75.7262
Giant Tiger,"1021 St. Laurent Boulevard, Ottawa, ON, K1K 3B1",613-748-1664,45.433,-75.6427
Giant Tiger,"55,  boul. Gréber, Gatineau, QC, J8T 3P7",819-561-3563,45.4618,-75.7003
Giant Tiger,"2480 Walkley Road, Ottawa, ON, K1G 6A9",613-526-2416,45.3912,-75.6124
Giant Tiger,"1512 Merivale Road, Ottawa, ON, K2G 3J6",613 225 7558,45.3565,-75.7377
Giant Tiger,"715, boul. Maloney Est, Gatineau, QC, J8P 1G3",819-669-8191,45.484,-75.6272
Giant Tiger,"2950 Bank Street, Blossom Park, ON, K1T 1N8",613-248-2312,45.345,-75.6241
Giant Tiger,"210, chemin Aylmer, Gatineau (Aylmer), QC, J9H 1A2",819-682-5200,45.3953,-75.8336
Giant Tiger,"2396 St.Joseph Blvd., Orleans, ON, K1C 1G1",613-830-0079,45.4687,-75.5304
Giant Tiger,"1861 Robertson Road, Ottawa, ON, K2H 9N5",613-828-2281,45.3286,-75.8213
Giant Tiger,"900 Watters Road, Orléans, ON, K4A 0B4",613-841-1946,45.4723,-75.4803
Giant Tiger,"1168 Maple Street, Manotick, ON, K4M 1A5",613-692-4766,45.2252,-75.6867
Giant Tiger,"6081 Hazeldean Road, Stittsville, ON, K2S 1B8",613-836-4593,45.2618,-75.9167
Giant Tiger,"385, avenue de Buckingham, Buckingham, QC, J8L 2G8",819-986-8533,45.5879,-75.4172
Giant Tiger,"153, chemin Valley, Wakefield (La Pêche), QC, J0X 3G0",819-459-1628,45.6478,-75.9339
Giant Tiger,"1657 Laurier Street PO Box 719, Rockland, ON, K4K 1L4",613-446-4369,45.5461,-75.3064
Giant Tiger,"654 Notre Dame Street, Embrun, ON, K0A 1W0",613-443-1215,45.2845,-75.2835
Giant Tiger,"2970 County Road 43, Kemptville, ON, K0G 1J0",613-258-7888,45.033,-75.6337
Giant Tiger,"19 Racine Street Box 504, Casselman, ON, K0A 1M0",613-764-1533,45.3348,-75.0834
Giant Tiger,"320 Coleman Street, Carleton Place, ON, K7C 0B5",613-253-5564,45.0772,-76.121
Giant Tiger,"80 Elgin Street West, Arnprior, ON, K7S 1N5",613-623-6203,45.434,-76.356
Giant Tiger,"144, rue Papineau, , , ",819-427-8163,45.61689,-75.006623
Giant Tiger,"29 Chambers Street, Smiths Falls, ON, K7A 2Y3",613-283-2295,44.8989,-76.019
Giant Tiger,"473, route 148, Shawville, QC, J0X 2Y0",819-647-6320,45.6087,-76.4841
Giant Tiger,"12334 County Road #2 Box 691, Morrisburg, ON, K0C 1X0",613-543-0053,44.9179,-75.1834
Giant Tiger,"88 Dufferin Street, Perth, ON, K7H 3A7",613-267-6621,44.908,-76.2674
Giant Tiger,"646 O'Brien Road, Renfrew, ON, K7V 0B4",613-432-2230,45.472,-76.6856
Giant Tiger,"936 Edward Street North, Prescott, ON, K0E 1T0",613-925-4615,44.7334,-75.517
Giant Tiger,"595 Alexandria Main St. South, Alexandria, ON, K0C 1A0",613-525-2291,45.3343,-74.633
Giant Tiger,"277 Regent Street, Hawkesbury, ON, K6A 1G1",613-632-7699,45.6087,-74.6079
Giant Tiger,"609 Pitt Street, Cornwall, ON, K6J 3R8",613-932-4069,45.0251,-74.7321
Giant Tiger,"300 Park Street, Brockville, ON, K6V 2J1",613-498-2624,44.6013,-75.6906
Giant Tiger,"359, rue Principale, Lachute, QC, J8H 2Z7",450-562-8218,45.6534,-74.35
Giant Tiger,"210, rue Moncion, Maniwaki, QC, J9E 3P6",819-449-1374,46.379,-75.9739
Giant Tiger,"171 Alexander Street, Pembroke, ON, K8A 4L8",613-635-7614,45.8263,-77.1167
Giant Tiger,"945, rue de Saint-Jovite, Mont-Tremblant, QC, J8E 3J8",819-429-5775,46.1948,-74.6309
Giant Tiger,"1380 boul. du Monseigneur-Langlois, Valleyfield, QC, J6S 1E3",450-377-9807,45.2713,-74.133
Giant Tiger,"414, rue du Pont, Mont-Laurier, QC, J9L 2R7",819-440-3032,46.5507,-75.4989
Giant Tiger,"1620, rue L'Annonciation Nord, Rivière-Rouge, QC, J0T 1T0",819 275 3777,46.4352,-74.8665
Giant Tiger,"451, rue Léonard, Ste-Agathe-des-Monts, QC, J8C 2Y5",819-326-9099,46.0433,-74.2702
Giant Tiger,"15, boul. Don Quichotte, L'Île-Perrot, QC, J7V 7X4",514-425-1650,45.3916,-73.9678
Giant Tiger,"312, rue Saint-Georges, Saint-Jérôme, QC, J7Z 5A5",450-565-9171,45.7759,-74.004
Giant Tiger,"1950, boul. du Curé-Labelle, Saint-Jérôme, QC, J7Y 1S1",450-438-7799,45.7943,-74.0097
Giant Tiger,"2984, chemin d'Oka, Sainte-Marthe-sur-le-Lac, QC, J0N 1P0",450-472-2283,45.532,-73.9134
Giant Tiger,"811-813 Princess Street, Kingston, ON, K7L 1G6",613-547-5128,44.2397,-76.5087
Giant Tiger,"156, rue Turgeon, Sainte-Thérèse, QC, J7E 3J3",450-979-1980,45.6338,-73.8347
Giant Tiger,"656 Gardiners Road, Kingston, ON, K7M 3X9",613 384-1730,44.2375,-76.5692
Giant Tiger,"86, boul. Sainte-Anne, Ste-Anne-des-Plaines, QC, J0N 1H0",450-838-7039,45.7641,-73.8131
Giant Tiger,"1001 boulevard Cure-Labelle, Laval, QC, H7V 2V6",450-687-4660,45.5418,-73.7494
