name,address,categories
Barrhaven Petro-Canada,"3766 Fallowfield Rd, Nepean, ON K2J 1A1",Gas Stations
Andy’s Variety Store,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",Convenience Stores
Circle K,"3580 Strandherd Drive, Ottawa, ON K2J 5L4",Convenience Stores
Uplands Minimart,"20 Curtis Private, Gloucester, ON K1V 7M1",Convenience Stores
Petro-Canada,"1431 Woodroffe Ave, Nepean, ON K2G 1V9",Gas Stations
Ultramar,"1 Rideau Crest, Nepean, ON K2G 6A4","Convenience Stores, Gas Stations"
Circle K,"1 Tartan Drive, Ottawa, ON K2J 2W7",Convenience Stores
Quickie the (Le) Convenience Stores,"3023 Cedarview Road, Nepean, ON K2J 4A8",Convenience Stores
Circle K,"5511 Manotick Main Street, Manotick, ON K4M 1A7","Convenience Stores, Gas Stations"
Petro-Canada,"690 Hunt Club Road, Ottawa, ON K1V 1C3",Gas Stations
Quickie the Convenience Stores,"1 Jockvale Rd, Ottawa, ON K2J 4J9",Convenience Stores
Mac’s Convenience Stores,"203 Colonnade Rd, Ottawa, ON K2E 7K3",Convenience Stores
Circle K,"3705 Riverside Drive, Ottawa, ON K1V 1G8",Convenience Stores
Mac’s,"299 Greenbank Rd, Nepean, ON K2H 8K9","Convenience Stores, Gas Stations"
Discount Tobacco &amp; Grocery Shop,"5646 Manotick Main Street, Manotick, ON K4M 1B3",Convenience Stores
Circle K,"2162 Prince of Wales Drive, Nepean, ON K2E 0A1",Convenience Stores
Circle k,"418 Moodie Drive, Ottawa, ON K2H 8A6",Convenience Stores
Circle K,"1856 Robertson Road, Ottawa, ON K2H 5B8",Convenience Stores
Quickie the Convenience Stores,"2946 Baseline Rd, Nepean, ON K2H 8T5",Convenience Stores
Circle K,"2545 Baseline Road, Ottawa, ON K2H 7B3",Convenience Stores
Circle K,"1545 Woodroffe Avenue, Ottawa, ON K2G 1W2",Convenience Stores
Esso Imperial Oil,"1660 Merivale Rd, Nepean, ON K2G 3K4",Convenience Stores
