name,isAd,photoSrc,photoSrcSet,photoPageUrl,rating,numReviews,categories,addressLines,neighborhoods,businessUrl,showRecommended,bizSiteUrl
Barrhaven Petro-Canada,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/4uVGYWmxAiHb3XmE0ORyQg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/4uVGYWmxAiHb3XmE0ORyQg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/4uVGYWmxAiHb3XmE0ORyQg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/4uVGYWmxAiHb3XmE0ORyQg/348s.jpg 1.39x",/biz_photos/barrhaven-petro-canada-nepean-3?select=4uVGYWmxAiHb3XmE0ORyQg,4,1,Gas Stations,"3766 Fallowfield Rd, Nepean, ON K2J 1A1",,/biz/barrhaven-petro-canada-nepean-3?osq=Convenience+Stores,FALSE,
Andy’s Variety Store,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/andys-variety-store-nepean,0,0,Convenience Stores,"178 Meadowlands Dr W, Nepean, ON K2G 2S6",,/biz/andys-variety-store-nepean?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/6xRZQieiXgbDsxmEg4Crmg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/6xRZQieiXgbDsxmEg4Crmg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/6xRZQieiXgbDsxmEg4Crmg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/6xRZQieiXgbDsxmEg4Crmg/348s.jpg 1.39x",/biz_photos/circle-k-ottawa-10?select=6xRZQieiXgbDsxmEg4Crmg,0,0,Convenience Stores,"3580 Strandherd Drive, Ottawa, ON K2J 5L4",,/biz/circle-k-ottawa-10?osq=Convenience+Stores,FALSE,
Uplands Minimart,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/uplands-minimart-gloucester,0,0,Convenience Stores,"20 Curtis Private, Gloucester, ON K1V 7M1",,/biz/uplands-minimart-gloucester?osq=Convenience+Stores,FALSE,
Petro-Canada,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/JDEcg4D941EqKxirt9NWOg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/JDEcg4D941EqKxirt9NWOg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/JDEcg4D941EqKxirt9NWOg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/JDEcg4D941EqKxirt9NWOg/348s.jpg 1.39x",/biz_photos/petro-canada-nepean-4?select=JDEcg4D941EqKxirt9NWOg,4,1,Gas Stations,"1431 Woodroffe Ave, Nepean, ON K2G 1V9",,/biz/petro-canada-nepean-4?osq=Convenience+Stores,FALSE,
Ultramar,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Ezzaatc2sL-ncXcX3eUk7A/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Ezzaatc2sL-ncXcX3eUk7A/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Ezzaatc2sL-ncXcX3eUk7A/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Ezzaatc2sL-ncXcX3eUk7A/348s.jpg 1.39x",/biz_photos/ultramar-nepean-2?select=Ezzaatc2sL-ncXcX3eUk7A,0,0,"Convenience Stores, Gas Stations","1 Rideau Crest, Nepean, ON K2G 6A4",,/biz/ultramar-nepean-2?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-ottawa-19,0,0,Convenience Stores,"1 Tartan Drive, Ottawa, ON K2J 2W7",,/biz/circle-k-ottawa-19?osq=Convenience+Stores,FALSE,
Quickie the (Le) Convenience Stores,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/quickie-the-le-convenience-stores-nepean,2,1,Convenience Stores,"3023 Cedarview Road, Nepean, ON K2J 4A8",,/biz/quickie-the-le-convenience-stores-nepean?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-manotick,0,0,"Convenience Stores, Gas Stations","5511 Manotick Main Street, Manotick, ON K4M 1A7",,/biz/circle-k-manotick?osq=Convenience+Stores,FALSE,
Petro-Canada,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/f7fFzY5Up-HggdAtRpkhyA/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/f7fFzY5Up-HggdAtRpkhyA/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/f7fFzY5Up-HggdAtRpkhyA/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/f7fFzY5Up-HggdAtRpkhyA/348s.jpg 1.39x",/biz_photos/petro-canada-ottawa-19?select=f7fFzY5Up-HggdAtRpkhyA,4.5,4,Gas Stations,"690 Hunt Club Road, Ottawa, ON K1V 1C3",,/biz/petro-canada-ottawa-19?osq=Convenience+Stores,FALSE,
Quickie the Convenience Stores,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/quickie-the-convenience-stores-ottawa-5,0,0,Convenience Stores,"1 Jockvale Rd, Ottawa, ON K2J 4J9",,/biz/quickie-the-convenience-stores-ottawa-5?osq=Convenience+Stores,FALSE,
Mac’s Convenience Stores,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/macs-convenience-stores-ottawa-20,0,0,Convenience Stores,"203 Colonnade Rd, Ottawa, ON K2E 7K3",,/biz/macs-convenience-stores-ottawa-20?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-ottawa-7,0,0,Convenience Stores,"3705 Riverside Drive, Ottawa, ON K1V 1G8",,/biz/circle-k-ottawa-7?osq=Convenience+Stores,FALSE,
Mac’s,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/D3m16P0hIQvv77MZiIlC-A/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/D3m16P0hIQvv77MZiIlC-A/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/D3m16P0hIQvv77MZiIlC-A/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/D3m16P0hIQvv77MZiIlC-A/348s.jpg 1.39x",/biz_photos/macs-nepean?select=D3m16P0hIQvv77MZiIlC-A,1,1,"Convenience Stores, Gas Stations","299 Greenbank Rd, Nepean, ON K2H 8K9",,/biz/macs-nepean?osq=Convenience+Stores,FALSE,
Discount Tobacco &amp; Grocery Shop,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/discount-tobacco-and-grocery-shop-manotick,0,0,Convenience Stores,"5646 Manotick Main Street, Manotick, ON K4M 1B3",,/biz/discount-tobacco-and-grocery-shop-manotick?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/hVGVnVS5bSSQg68-ZGWdAA/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/hVGVnVS5bSSQg68-ZGWdAA/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/hVGVnVS5bSSQg68-ZGWdAA/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/hVGVnVS5bSSQg68-ZGWdAA/348s.jpg 1.39x",/biz_photos/circle-k-nepean?select=hVGVnVS5bSSQg68-ZGWdAA,0,0,Convenience Stores,"2162 Prince of Wales Drive, Nepean, ON K2E 0A1",,/biz/circle-k-nepean?osq=Convenience+Stores,FALSE,
Circle k,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-ottawa-5,0,0,Convenience Stores,"418 Moodie Drive, Ottawa, ON K2H 8A6",,/biz/circle-k-ottawa-5?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/PT4rJW_dI3hq48ucr0jjXg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/PT4rJW_dI3hq48ucr0jjXg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/PT4rJW_dI3hq48ucr0jjXg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/PT4rJW_dI3hq48ucr0jjXg/348s.jpg 1.39x",/biz_photos/circle-k-ottawa-40?select=PT4rJW_dI3hq48ucr0jjXg,0,0,Convenience Stores,"1856 Robertson Road, Ottawa, ON K2H 5B8",,/biz/circle-k-ottawa-40?osq=Convenience+Stores,FALSE,
Quickie the Convenience Stores,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/quickie-the-convenience-stores-nepean-2,0,0,Convenience Stores,"2946 Baseline Rd, Nepean, ON K2H 8T5",,/biz/quickie-the-convenience-stores-nepean-2?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-ottawa-58,1,1,Convenience Stores,"2545 Baseline Road, Ottawa, ON K2H 7B3",,/biz/circle-k-ottawa-58?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/circle-k-ottawa-6,0,0,Convenience Stores,"1545 Woodroffe Avenue, Ottawa, ON K2G 1W2",,/biz/circle-k-ottawa-6?osq=Convenience+Stores,FALSE,
Esso Imperial Oil,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/esso-imperial-oil-nepean,0,0,Convenience Stores,"1660 Merivale Rd, Nepean, ON K2G 3K4",,/biz/esso-imperial-oil-nepean?osq=Convenience+Stores,FALSE,
Ultramar,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/ultramar-ottawa-9,3,1,"Convenience Stores, Gas Stations","800 Stonehaven Drive, Ottawa, ON K2M 2Z2",,/biz/ultramar-ottawa-9?osq=Convenience+Stores,FALSE,
Keyur Tuck Shop,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/keyur-tuck-shop-nepean,0,0,Convenience Stores,"33 Banner Rd, Nepean, ON K2H 8V7",,/biz/keyur-tuck-shop-nepean?osq=Convenience+Stores,FALSE,
