name,isAd,photoSrc,photoSrcSet,photoPageUrl,rating,numReviews,categories,addressLines,neighborhoods,businessUrl,showRecommended,bizSiteUrl
Apos Convenience,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/apos-convenience-carp,0,0,Convenience Stores,"2143 Carp Road RR 3, Carp, ON K0A 1L0",,/biz/apos-convenience-carp?osq=Convenience+Stores,FALSE,
Dépanneur Rapido,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/348s.jpg 1.39x",/biz_photos/d%C3%A9panneur-rapido-gatineau-2?select=XUY4BQVrJTsWqvmdqyMxEQ,4,2,"Convenience Stores, Beer, Wine &amp; Spirits","43 Front Street, Gatineau, QC J9H 4X4",,/biz/d%C3%A9panneur-rapido-gatineau-2?osq=Convenience+Stores,FALSE,
Esso On the Run,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/5hULB_m34m1n9p-wyG5c8g/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/5hULB_m34m1n9p-wyG5c8g/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/5hULB_m34m1n9p-wyG5c8g/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/5hULB_m34m1n9p-wyG5c8g/348s.jpg 1.39x",/biz_photos/esso-on-the-run-kanata?select=5hULB_m34m1n9p-wyG5c8g,3.5,3,Gas Stations,"501 Terry Fox Dr, Kanata, ON K2T 1E8",,/biz/esso-on-the-run-kanata?osq=Convenience+Stores,FALSE,
Hasty Market,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/348s.jpg 1.39x",/biz_photos/hasty-market-ottawa-7?select=Uf_7I6IsRTOtA56KyTO1Hw,3.5,2,Convenience Stores,"2361 Carling Avenue, Ottawa, ON K2B 8E5",,/biz/hasty-market-ottawa-7?osq=Convenience+Stores,FALSE,
Ottawa South Groceteria,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/348s.jpg 1.39x",/biz_photos/ottawa-south-groceteria-ottawa?select=jefMyDSISa9PdvsHUyEPPg,3.5,2,Grocery,"435 Sunnyside Avenue, Ottawa, ON K1S 0S6",,/biz/ottawa-south-groceteria-ottawa?osq=Convenience+Stores,FALSE,
Food Frenz,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/IXhiRiZS6LKyoW9tRmvwhg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/IXhiRiZS6LKyoW9tRmvwhg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/IXhiRiZS6LKyoW9tRmvwhg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/IXhiRiZS6LKyoW9tRmvwhg/348s.jpg 1.39x",/biz_photos/food-frenz-ottawa-3?select=IXhiRiZS6LKyoW9tRmvwhg,0,0,Convenience Stores,"2910 Carling Avenue, Ottawa, ON K2B 7J7",,/biz/food-frenz-ottawa-3?osq=Convenience+Stores,FALSE,
Nicholls,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/CXIaQOG_8nEeiIwbh-2lUA/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/CXIaQOG_8nEeiIwbh-2lUA/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/CXIaQOG_8nEeiIwbh-2lUA/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/CXIaQOG_8nEeiIwbh-2lUA/348s.jpg 1.39x",/biz_photos/nicholls-woodlawn?select=CXIaQOG_8nEeiIwbh-2lUA,0,0,Convenience Stores,"3798 Dunrobin Road RR 3, Woodlawn, ON K0A 3M0",,/biz/nicholls-woodlawn?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/348s.jpg 1.39x",/biz_photos/circle-k-ottawa?select=bW7Huid9cyvIEmOutMFZ1g,0,0,Convenience Stores,"160 Elgin Street, Ottawa, ON K1A 1J4",,/biz/circle-k-ottawa?osq=Convenience+Stores,FALSE,
Byward Market News,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Rkc1QB2PlK98QKHSy_FieA/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Rkc1QB2PlK98QKHSy_FieA/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Rkc1QB2PlK98QKHSy_FieA/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Rkc1QB2PlK98QKHSy_FieA/348s.jpg 1.39x",/biz_photos/byward-market-news-ottawa?select=Rkc1QB2PlK98QKHSy_FieA,3,1,Grocery,"55 ByWard Market Sq, Ottawa, ON K1N 9C3",,/biz/byward-market-news-ottawa?osq=Convenience+Stores,FALSE,
Quickie,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/quickie-ottawa-2,4,2,Convenience Stores,"435 Albert Street, Ottawa, ON K1R 6G7",,/biz/quickie-ottawa-2?osq=Convenience+Stores,FALSE,
