name,isAd,photoSrc,photoSrcSet,photoPageUrl,rating,numReviews,categories,addressLines,neighborhoods,businessUrl,showRecommended,bizSiteUrl
Ottawa South Groceteria,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/jefMyDSISa9PdvsHUyEPPg/348s.jpg 1.39x",/biz_photos/ottawa-south-groceteria-ottawa?select=jefMyDSISa9PdvsHUyEPPg,3.5,2,Grocery,"435 Sunnyside Avenue, Ottawa, ON K1S 0S6",,/biz/ottawa-south-groceteria-ottawa?osq=Convenience+Stores,FALSE,
Min-A-Mart,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Io0FnyTlJZY71FzTHTStVQ/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Io0FnyTlJZY71FzTHTStVQ/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Io0FnyTlJZY71FzTHTStVQ/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Io0FnyTlJZY71FzTHTStVQ/348s.jpg 1.39x",/biz_photos/min-a-mart-ottawa-4?select=Io0FnyTlJZY71FzTHTStVQ,0,0,Convenience Stores,"158 McArthur Ave, Ottawa, ON K1L 8C9",,/biz/min-a-mart-ottawa-4?osq=Convenience+Stores,FALSE,
Zoba Convenience Store,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/mCdtd-YJe1pP5LchHZ0bsQ/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/mCdtd-YJe1pP5LchHZ0bsQ/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/mCdtd-YJe1pP5LchHZ0bsQ/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/mCdtd-YJe1pP5LchHZ0bsQ/348s.jpg 1.39x",/biz_photos/zoba-convenience-store-ottawa?select=mCdtd-YJe1pP5LchHZ0bsQ,0,0,Convenience Stores,"81 Bank St, Ottawa, ON K1P 5N2",,/biz/zoba-convenience-store-ottawa?osq=Convenience+Stores,FALSE,
Quickie,FALSE,https://s3-media0.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,,/biz_photos/quickie-ottawa-2,4,2,Convenience Stores,"435 Albert Street, Ottawa, ON K1R 6G7",,/biz/quickie-ottawa-2?osq=Convenience+Stores,FALSE,
Circle K,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/bW7Huid9cyvIEmOutMFZ1g/348s.jpg 1.39x",/biz_photos/circle-k-ottawa?select=bW7Huid9cyvIEmOutMFZ1g,0,0,Convenience Stores,"160 Elgin Street, Ottawa, ON K1A 1J4",,/biz/circle-k-ottawa?osq=Convenience+Stores,FALSE,
Di Rienzo’s,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Yt3fUugR4Jbsty_IO4_RnQ/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Yt3fUugR4Jbsty_IO4_RnQ/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Yt3fUugR4Jbsty_IO4_RnQ/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Yt3fUugR4Jbsty_IO4_RnQ/348s.jpg 1.39x",/biz_photos/di-rienzos-ottawa?select=Yt3fUugR4Jbsty_IO4_RnQ,4.5,67,"Sandwiches, Grocery, Delis","111 Beech Street, Ottawa, ON K1S 4P1",,/biz/di-rienzos-ottawa?osq=Convenience+Stores,FALSE,
Corner Store,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/g9j1mic0yRBTPbgO8KaYWw/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/g9j1mic0yRBTPbgO8KaYWw/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/g9j1mic0yRBTPbgO8KaYWw/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/g9j1mic0yRBTPbgO8KaYWw/348s.jpg 1.39x",/biz_photos/corner-store-ottawa-6?select=g9j1mic0yRBTPbgO8KaYWw,0,0,Convenience Stores,"395 Montreal Road, Ottawa, ON K1L 6A8",,/biz/corner-store-ottawa-6?osq=Convenience+Stores,FALSE,
Hasty Market,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/Uf_7I6IsRTOtA56KyTO1Hw/348s.jpg 1.39x",/biz_photos/hasty-market-ottawa-7?select=Uf_7I6IsRTOtA56KyTO1Hw,3.5,2,Convenience Stores,"2361 Carling Avenue, Ottawa, ON K2B 8E5",,/biz/hasty-market-ottawa-7?osq=Convenience+Stores,FALSE,
Dépanneur Taché,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/BnfJ7qgnJN4BTrTdpcnQSA/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/BnfJ7qgnJN4BTrTdpcnQSA/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/BnfJ7qgnJN4BTrTdpcnQSA/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/BnfJ7qgnJN4BTrTdpcnQSA/348s.jpg 1.39x",/biz_photos/d%C3%A9panneur-tach%C3%A9-gatineau?select=BnfJ7qgnJN4BTrTdpcnQSA,0,0,"Convenience Stores, Gas Stations","390 Boulevard Alexandre-Taché, Gatineau, QC J9A 1M6",,/biz/d%C3%A9panneur-tach%C3%A9-gatineau?osq=Convenience+Stores,FALSE,
Dépanneur Rapido,FALSE,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/ls.jpg,"https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/258s.jpg 1.03x,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/300s.jpg 1.20x,https://s3-media0.fl.yelpcdn.com/bphoto/XUY4BQVrJTsWqvmdqyMxEQ/348s.jpg 1.39x",/biz_photos/d%C3%A9panneur-rapido-gatineau-2?select=XUY4BQVrJTsWqvmdqyMxEQ,4,2,"Convenience Stores, Beer, Wine &amp; Spirits","43 Front Street, Gatineau, QC J9H 4X4",,/biz/d%C3%A9panneur-rapido-gatineau-2?osq=Convenience+Stores,FALSE,
