name,address,note,category
3 Sisters Bakeshop,"2211 Arch Street, Ottawa, ON K1G","Cafes, Bakeries, Sandwiches",bakery
La Brioche Pastries &amp; Bakery,"2440 Bank Street, Ottawa, ON K1V 0T7","Bakeries, Desserts",bakery
Les Moulins La Fayette,"1000 Wellington St W, Ottawa, ON K1Y 2X9","Cafes, Bakeries",bakery
Bread &amp; Sons Bakery,"195 Bank Street, Ottawa, ON K2P 1W7","Bakeries, Delis, Pizza",bakery
Art Is In Bakery,"250 City Centre Avenue, Ottawa, ON K1R 1C7","Bakeries, Sandwiches",bakery
Dao Bake &amp; Sip Cafe,"1558 Merivale Road, Ottawa, ON K2G 3J9","Bakeries, Desserts, Cafes",bakery
Délice Royal,"1600 Forest Valley Drive, Ottawa, ON K1C 6X7",Bakeries,bakery
Three Tarts,"464 Bank Street, Ottawa, ON K2P 1Z3",Bakeries,bakery
The French Baker / Le Boulanger Français,"119 Murray St, Ottawa, ON K1N 5M5","Bakeries, Desserts",bakery
True Loaf Bread,"573 Gladstone Avenue, Ottawa, ON K2P 0P3",Bakeries,bakery
Le Roi Pasteries &amp; Bakery,"1729 Bank Street, Ottawa, ON K1V 7Z5",Bakeries,bakery
La Maison du Kouign-Amann,"101 Schneider Road, Ottawa, ON K2K 1Y3","Bakeries, Desserts",bakery
Franks,"283 Greenbank Road, Ottawa, ON K2H","Bakeries, Sandwiches, Delis",bakery
Black Walnut Bakery,"979 Cameron Street, Ottawa, ON K4C 1A1",Bakeries,bakery
Pastry &amp; Bakery La Brioche,"866 Bank St, Ottawa, ON K1S 3W3",Bakeries,bakery
ThimbleCakes,"369 Bank Street, Ottawa, ON K2P 1Y2","Bakeries, Coffee &amp; Tea, Gluten-Free",bakery
La Provence Bakery,"500 Hazeldean Road, Kanata, ON K2L 2B5","Bakeries, Desserts",bakery
Indulgence Bakery,"Ottawa, ON",Bakeries,bakery
The Cake Shop,"1200 Wellington Street W, Ottawa, ON K1Y 2Z8",Bakeries,bakery
Cobs Bread,"3161 Strandherd Crossing, Ottawa, ON K2J 5N1",Bakeries,bakery
Bake Mob,"Ottawa, ON",Bakeries,bakery
Pâtisserie Le Caramel,"200 Vanguard Dr, Ottawa, ON K4A 0T8",Desserts,bakery
Hearty Bakery,"Ottawa, ON",Bakeries,bakery
The Sweet Room,"1408 Stittsville Main Street, Ottawa, ON K2S 1V7","Bakeries, Custom Cakes, Patisserie/Cake Shop",bakery
Cheesecake Factory,"8555 Campeau Drive, Ottawa, ON K2T 0K5",Bakeries,bakery
Bread By Us,"1065 Wellington West, Ottawa, ON K1Y 2K2","Coffee &amp; Tea, Bakeries",bakery
Le Moulin de Provence,"55 Byward Market Square, Ottawa, ON K1N 9C3","Cafes, Bakeries, Sandwiches",bakery
Mamie Clafoutis,"400 Richmond Road, Ottawa, ON K2A 3X9",Bakeries,bakery
Fidélice,"262 Saint-Joseph Blvd, Gatineau, QC J8Y 3X8",Bakeries,bakery
Le Pain d’Alain,"53 Boulevard Saint-Joseph, Gatineau, QC J8Y 3W1",Bakeries,bakery
Lusa Bakery,"1111 Wellington Street, Ottawa, ON K1Y 2Y6",Bakeries,bakery
Orleans Bakery,"2122 Street Joseph Boulevard, Orleans, ON K1C 1E6",Bakeries,bakery
Life of Pie,"1134 Bank Street, Ottawa, ON K1S 3X6",Bakeries,bakery
Wakefield Bakery,"813 Chemin Riverside, Wakefield, QC J0X 3G0",Bakeries,bakery
Milo’s Pastry,"505 Industrial Avenue, Ottawa, ON K1G 0Z1","Desserts, Coffee &amp; Tea",bakery
Aladdin Bakery,"1020 St Laurent Boulevard, Ottawa, ON K1K",Bakeries,bakery
Ichiban Bakery,"1500 Bank Street, Ottawa, ON K1H 7Z2",Bakeries,bakery
Oui8 Bakery,"501 Hazeldean Road, Kanata, ON K2L 1V6",Bakeries,bakery
Sweet Bite,"769 Bank Street, Ottawa, ON K1S 3V3","French, Coffee &amp; Tea, Macarons",bakery
Strawberry Blonde Bakery,"111 Richmond Road, Ottawa, ON K1Z 6V9",Bakeries,bakery
Accacia Fine Pastries &amp; Desserts,"1020 St Laurent Blvd, Ottawa, ON K1K 4S2","Bakeries, Desserts, Patisserie/Cake Shop",bakery
Portuguese Bakery,"48 Nelson Street, Ottawa, ON K1N 7R2",Bakeries,bakery
The Brittania Bakeshop,"2728 Howe Street, Ottawa, ON K2B 6W8",Bakeries,bakery
The SconeWitch,"150 Elgin Street, Ottawa, ON K1P 1L4","Cafes, Bakeries, Breakfast &amp; Brunch",bakery
Cupcake Lounge,"6 Byward Market Square, Ottawa, ON K1N 9B8",Bakeries,bakery
Chez François - Plaisirs de Provence,"427 Richmond Road, Ottawa, ON K2A 0G2","Gift Shops, Cosmetics &amp; Beauty Supply, Bakeries",bakery
Brownloaf Bakery,"268 Elgin St, Ottawa, ON K2P 1M2",Bakeries,bakery
Pastel &amp; Coco,"80 Promenade du Portage, Gatineau, QC J8X 2K1","Bakeries, Coffee &amp; Tea, Gluten-Free",bakery
Le Moulin de Provence K.D,"30 Metcalfe Street, Ottawa, ON K1P 5L4","Cafes, Bistros",bakery
La Gourmandise,"2200 Montreal Road, Ottawa, ON K1J 6M5",Caterers,bakery
Quelque Chose Macaron Boutique,"379 Richmond Road, Ottawa, ON K2A 0E7","Bakeries, Macarons",bakery
SuzyQ Doughnuts,"1015 Wellington Street W, Ottawa, ON K1Y 2X7",Doughnuts,bakery
Trillium Bakery,"1181 Bank Street, Ottawa, ON K1S 3X7",Bakeries,bakery
Wild Oat Bakery Cafe and Farm,"817 Bank Street, Ottawa, ON K1S 3V7","Bakeries, Vegan, Creperies",bakery
Maison Oddo,"260 Boulevard Saint-Raymond, Gatineau, QC J9A 3G7","Bakeries, Coffee &amp; Tea, Sandwiches",bakery
Pasticceria Gelateria Italiana,"200 Preston St, Ottawa, ON K1R 7P9","Bakeries, Breakfast &amp; Brunch",bakery
Anabia Cupcakery Café,"3570 Strandherd Drive, Ottawa, ON K2J 5L4","Desserts, Coffee &amp; Tea",bakery
Stubbe Chocolates &amp; More,"500 Hazeldean Road, Kanata, ON K2L 2B5","Chocolatiers &amp; Shops, Bakeries",bakery
Strawberry Blonde Bakery,"767 Silver Seven Rd, Ottawa, ON K2V 0A1","Bakeries, Desserts",bakery
Maverick Donuts,"46 Byward Market Square, Ottawa, ON K1N 7A2",Doughnuts,bakery
Farm House,"55 Byward Market Sq, Ottawa, ON K1N 9C3",Bakeries,bakery
COBS Bread,"4-3890 Innes Road, Ottawa, ON K1W 1K9",Bakeries,bakery
Valentina’s Sweet Treats,"Ottawa, ON",Desserts,bakery
Boulangerie aux Deux Frères,"146 Rue Principale, Aylmer, QC J9H 3M4",Bakeries,bakery
Epicuria,"357 St Laurent Boulevard, Ottawa, ON K1K 2Z7","Caterers, Bakeries",bakery
Di Rienzo’s,"111 Beech Street, Ottawa, ON K1S 4P1","Sandwiches, Grocery, Delis",bakery
Aladdin Convenience &amp; Bakery,"1801 Carling Ave, Ottawa, ON K2A 1E4",Bakeries,bakery
Nutty Greek Bake Shop,"490 Rochester Street, Ottawa, ON K1S 4L8","Bakeries, Custom Cakes, Patisserie/Cake Shop",bakery
Savoir Fare,"E135-1385 Woodroffe Avenue, Ottawa, ON K2G 3G7","Bakeries, Patisserie/Cake Shop",bakery
Take Another Bite,"148 Colonnade Road, Ottawa, ON K2E 7R4","Bakeries, Coffee &amp; Tea",bakery
Blue Sugar Bakery,"Nepean, ON K2J 3M6","Desserts, American (Traditional)",bakery
BeaverTails,"69 George Street, Ottawa, ON K1N 1K1","Desserts, Chocolatiers &amp; Shops, Hot Dogs",bakery
Sweet Castle,"2446 Bank Street, Ottawa, ON K1V 1A4","Desserts, Coffee &amp; Tea, Bakeries",bakery
The Scone Witch,"1638 Cyrville Road, Ottawa, ON K1B 3L8",Bakeries,bakery
Sweets Cupcakes Candy And More,"462 Hazeldean Road, Kanata, ON K2L 1V3","Bakeries, Desserts, Custom Cakes",bakery
Panera Bread,"320 West Hunt Club Road, Ottawa, ON K2E 1A5","Salad, Soup, Sandwiches",bakery
Farmer’s Pick,"1430 Prince of Wales Drive, Ottawa, ON K2C 1N4",Fruits &amp; Veggies,bakery
Aux Délices Boulangerie Et Patisserie / Bakery &amp; Pastry Shop,"32 Byward Market Sq, Ottawa, ON K1N 7A2","Bakeries, Desserts",bakery
The Cupcake Lounge,"324 Richmond Road, Ottawa, ON K2A 0E7","Desserts, Candy Stores",bakery
Carmelito,"354 Preston Street, Ottawa, ON K1S 4M7","Coffee &amp; Tea, Bakeries, Desserts",bakery
Little Jo Berry’s,"1305 Wellington Street, Ottawa, ON K1Y 3B1","Coffee &amp; Tea, Bakeries, Burgers",bakery
Voila Gluten-Free Bakeree,"4055 Carling Avenue, Ottawa, ON K2K 2A4","Bakeries, Desserts, Gluten-Free",bakery
Capital Buns Bakery,"2440 Bank Street, Ottawa, ON K1V 8S1",Bakeries,bakery
Ichiban Bakery,"825 Bank Street, Ottawa, ON K1S 3V9","Bakeries, Coffee &amp; Tea",bakery
Il Negozio Nicastro,"792 Bank St, Ottawa, ON K1S 3V8","Imported Food, Bakeries",bakery
Nat’s Bread Company,"857 Boyd Ave, Ottawa, ON K2A 2C9",Bakeries,bakery
Lolaï’s Yummies,"Orléans, ON K4A",Custom Cakes,bakery
Carb Free Baking Co.,"52 Antares Dr, Ottawa, ON K2E 7Z1","Desserts, Bakeries, Specialty Food",bakery
Morning Owl Coffee House,"139 Bank Street, Ottawa, ON K1P 5N7",Coffee &amp; Tea,bakery
Biscotti &amp; Cie,"6 Scott, Chelsea, QC J9B 1R5","Breakfast &amp; Brunch, Bakeries, Juice Bars &amp; Smoothies",bakery
Stella Luna Gelato Cafe,"1103 Bank Street, Ottawa, ON K1S 3X4","Ice Cream &amp; Frozen Yogurt, Desserts, Cafes",bakery
Pipolinka Bakery,"757 Riverside Drive, Wakefield, QC J0X 3G0",Bakeries,bakery
Xcheaters-Bistro,"300 Eagleson Road, Ottawa, ON K2M 2C3",Desserts,bakery
Mimi Dairy Barn and Cafe,"1088 Bridge St, Ottawa, ON K4M 1J2","Desserts, Cafes, Ice Cream &amp; Frozen Yogurt",bakery
JnJ Bakery Cafe,"26 Caesar Avenue, Ottawa, ON K2G 0B2",Bakeries,bakery
Marcello’s,"407 Laurier Avenue W, Ottawa, ON K1R 7Y7","Buffets, Delis",bakery
Golden Baguette Bakery,"242 Bank Street, Ottawa, ON K2P 1X4",Bakeries,bakery
Delightfully Delicious Desserts,"1355 Bakker Court, Ottawa, ON K1C 2K5","Bakeries, Custom Cakes",bakery
Beirut Boulangerie Et Traiteur,"269 Rue Laramee, Gatineau, QC J8Y 2Z7","Bakeries, Grocery",bakery
Malak Lebanese Pastry,"1216 Bank Street, Ottawa, ON K1S 3Y1","Bakeries, Desserts, Ice Cream &amp; Frozen Yogurt",bakery
Ottawa Farmers’ Market,"575 Byron Avenue, Ottawa, ON K2A 1H4","Farmers' Market, Fruits &amp; Veggies",bakery
The Baker,"3570 Strandherd Dr, Ottawa, ON K2J 5L4","Lebanese, Bakeries",bakery
Edgar,"60 Rue Bégin, Gatineau, QC J9A 1E2","Breakfast &amp; Brunch, Desserts",bakery
Batter Up Bakery,"396 Athlone Avenue, Ottawa, ON K1Z 5M5",Bakeries,bakery
Château Pastry,"1600 Walkley Road, Ottawa, ON K1V 6P5",Bakeries,bakery
Agop’s Bakery,"304 McArthur Avenue, Ottawa, ON K1L 6P2",Bakeries,bakery
The Gingerbread Man,"1134 Tighe Street, Ottawa, ON K4M 1A2","Desserts, Bakeries",bakery
Second Avenue Sweets,"151B Second Avenue, Ottawa, ON K1S 2H6",Bakeries,bakery
Marché Hintonburg Market,"1059 Wellington Street, Ottawa, ON K1Y 2Y1","Butcher, Cheese Shops, Grocery",bakery
Mr Pretzel,"2277 Riverside Drive, Ottawa, ON K1H 7X6",Bakeries,bakery
2 Broke Girls Bakery,"360 Albert Street, Ottawa, ON K1R","Desserts, Bakeries",bakery
Nordstrom Ebar Artisan Coffee,"500-50 Rideau Street, Ottawa, ON K1N 9J7",Coffee &amp; Tea,bakery
Alice’s Village Cafe,"3773 Carp Road, Ottawa, ON K0A 1L0",Cafes,bakery
Meow Tea,"279 Elgin Street, Ottawa, ON K2P 1M1","Bubble Tea, Bakeries, Coffee &amp; Tea",bakery
Carmelito Cafe,"605 Longfields Drive, Ottawa, ON K2J 4X1","Coffee &amp; Tea, Desserts, Bakeries",bakery
Rawflect,"84 Meadowlands Drive W, Ottawa, ON K2G 2R8",Bakeries,bakery
Libnan Bakery,"4 Lorry Greenberg Dr, Ottawa, ON K1G 5H6","Middle Eastern, Sandwiches",bakery
Working Title Kitchen,"330 Laurier Avenue E, Ottawa, ON K1N 6R4","Bakeries, Cafes, Barbeque",bakery
3cents2,"3-1940 Bank Street, Ottawa, ON K1V 7Z8","Desserts, Coffee &amp; Tea, Bakeries",bakery
Farhat’s Bakery,"1119 Meadowlands Drive, Ottawa, ON K2C 0K5","Bakeries, Lebanese",bakery
Michel’s Bakery Cafe,"1200 St. Laurent Blvd, Ottawa, ON K1K","Coffee &amp; Tea, Bakeries",bakery
Bread &amp; Roses Bakery,"323 St Laurent Blvd, Ottawa, ON K1K 2Z5",Bakeries,bakery
Happy Goat Coffee Company,"35 Laurel Street, Ottawa, ON K1Y 2E6",Coffee &amp; Tea,bakery
The Joy of Gluten Free,"250 Greenbank Road, Ottawa, ON K2H 8X4",Bakeries,bakery
Upper Crust,"267 O'Connor Street, Ottawa, ON K2P 1V3","Delis, Sandwiches, Breakfast &amp; Brunch",bakery
Morala Specialty Coffee,"734 Bank St, Ottawa, ON K1S 3V4","Coffee &amp; Tea, Sandwiches",bakery
The Ministry of Coffee and Social Affairs,"1013 Wellington Street W, Ottawa, ON K1Y 2Y1",Coffee &amp; Tea,bakery
ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON K1N 7A2","Fruits &amp; Veggies, Farmers' Market",bakery
Fiesta Manila Bakery and Pilipino Store,"1800 Bank St, Ottawa, ON K1V 0W3",Bakeries,bakery
Le Hibou,"757 Chemin Riverside, Wakefield, QC J0X 3G0",Cafes,bakery
Wedel Touch of Europe,"300 Richmond Rd, Ottawa, ON K1Z 6X6","Bakeries, International Grocery, Delis",bakery
Delightful Tastes,"8-250 Greenbank Road, Ottawa, ON K2H 1E9",Bakeries,bakery
Kettlemans Bagel,"912 Bank Street, Ottawa, ON K1S 3W4",Bagels,bakery
Little Italy Bakery,"306 Preston street, Ottawa, ON K1R 7R6",Bakeries,bakery
Swiss Farmer Bakery,"851 Notre Dame Rue, Embrun, ON K0A 1W1",Bakeries,bakery
I Deal Coffee,"176 Dalhousie Street, Ottawa, ON K1N 7C6",Coffee &amp; Tea,bakery
BB Gâteaux,"395 Boulevard Alexandre-Taché, Gatineau, QC J9A 1M6","Patisserie/Cake Shop, Desserts, Bakeries",bakery
Première Moisson,"120 University Drive, Ottawa, ON K1N 6N5",Bakeries,bakery
Chocolats Favoris,"180 Vanguard Drive, Orleans, ON K4A 0T8",Chocolatiers &amp; Shops,bakery
Ottawa Bagelshop &amp; Deli,"1321 Wellington St W, Ottawa, ON K1Y 3B6","Delis, Bagels",bakery
Hobbs Meats and Bakery,"2394 Dwyer Hill Road, Ottawa, ON",Meat Shops,bakery
The Unrefined Olive,"499 Terry Fox Drive, Ottawa, ON K2T 1H7",Specialty Food,bakery
Treats Bakeries,"1200 Street Laurent Boulevard, Ottawa, ON K1K 3B8",Bakeries,bakery
La Vieille Alliance,"210 Chemin d'Aylmer, Gatineau, QC J9H 1A2","Bakeries, Coffee &amp; Tea",bakery
The Red Apron,"564 Gladstone Avenue, Ottawa, ON K1R 5P3","Bakeries, Cafes, Do-It-Yourself Food",bakery
Mediterranean Bakery - Pastry &amp; Pizza,"2698 Alta Vista Drive, Ottawa, ON K1P 5K9","Pizza, Bakeries, Patisserie/Cake Shop",bakery
GOODIES,"103 Fourth Avenue, Ottawa, ON K1S 2L1","Bakeries, Comfort Food",bakery
Cinnaholic,"900 Exhibition Way, Ottawa, ON K1S 5J3","Vegan, Bakeries, Desserts",bakery
Dumouchel Meat &amp; Deli,"351 Donald Street, Ottawa, ON K1K 1M4","Butcher, Meat Shops, Delis",bakery
Mr Pretzels,"50 Rideau Street, Ottawa, ON K1N 9J7",Desserts,bakery
Hasi Bakery,"250 Greenbank Road, Ottawa, ON K2H 8X4",Bakeries,bakery
Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1","Lebanese, Bakeries",bakery
Britannia Coffeehouse,"273 Britannia Road, Ottawa, ON K2B 6W7","Coffee &amp; Tea, Bakeries",bakery
Prince Ali Bakery,"1600 Walkey Road, Ottawa, ON K1V 6P5",Bakeries,bakery
Lebanese Village Bakery,"2653 Alta Vista Drive, Ottawa, ON K1V 1A3","Bakeries, Lebanese",bakery
Al-Oumara Meat Shop &amp; Grill,"25 Tapiola Crescent, Ottawa, ON K1T 2J7","Meat Shops, Lebanese",bakery
Chez Lucien,"137 Murray St, Ottawa, ON K1N 5M7","Bars, French, Burgers",bakery
Aladdin Bakery,"2020 Lanthier Drive, Orléans, ON K4A 3V4","Bakeries, Lebanese",bakery
Café Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",Cafes,bakery
Cakey Bliss,"Ottawa, ON",Bakeries,bakery
Blooming Bundles - Diaper Cakes,"1466 Comfrey Crescent, Ottawa -Orleans, ON K4A 0L8",Bakeries,bakery
Wild Child Coffee Project,"314 Richmond Rd, Ottawa, ON K1Z 6X6",Coffee &amp; Tea,bakery
Healthy Planet Trainyards,"590 Industrial Avenue, Ottawa, ON K1G 5A5","Vitamins &amp; Supplements, Health Food Store, Grocery",bakery
