name,address,note,category
European Delicatessen,"1568 Merivale Road, Ottawa, ON K2G 4B5",Delis,deli meat cheese
La Bottega Nicastro Fine Food Shop,"64 George St, Ottawa, ON K1N 5V9","Delis, Sandwiches, Specialty Food",deli meat cheese
Di Rienzo’s,"111 Beech Street, Ottawa, ON K1S 4P1","Sandwiches, Grocery, Delis",deli meat cheese
Ivan’s Meat and Deli,"1496 Stittsville Main Street, Stittsville, ON K2S 1B2","Delis, Meat Shops",deli meat cheese
The Butchery,"1821 Robertson Road, Ottawa, ON K2H 8X3","Meat Shops, Delis, Burgers",deli meat cheese
Franks,"283 Greenbank Road, Ottawa, ON K2H","Bakeries, Sandwiches, Delis",deli meat cheese
Baltyk Delicatessen,"935 Carling Avenue, Ottawa, ON K1Y 4E4","Delis, Sandwiches",deli meat cheese
Stolichni Deli,"2280 Carling Avenue, Ottawa, ON K2B 7G1","Delis, Grocery",deli meat cheese
Continental Delicatessen,"57 York Street, Ottawa, ON K1N 9B7","Delis, Meat Shops, Polish",deli meat cheese
The House Of Cheese &amp; Deli,"4335 Strandherd Dr, Ottawa, ON K2J 5P8",Cheese Shops,deli meat cheese
Luciano Foods,"114 Preston St, Ottawa, ON K1R 7P2","Delis, Sandwiches, Grocery",deli meat cheese
Markie’s Montreal Smoked Meat,"E-1679 Carling Ave, Ottawa, ON K2A 1C4","Delis, Meat Shops, Sandwiches",deli meat cheese
Roberto’s Corner,"1034 Pleasant Park Rd, Ottawa, ON K1G 2A1","Delis, Italian, Sandwiches",deli meat cheese
Nicastro Fine Foods,"1558 Merivale Road, Nepean, ON K2G 3J9","Delis, Sandwiches, Cheese Shops",deli meat cheese
Wedel Touch of Europe,"5 Byward Market Square, Ottawa, ON K1N 9B8","French, Sandwiches",deli meat cheese
Frankie’s Deli,"58 Antares Drive, Ottawa, ON K2E 7W6","Delis, Italian",deli meat cheese
Bakker’s General Store,"1004 Manotick Station Road, Ottawa, ON K4M 1B2","Imported Food, Delis, International Grocery",deli meat cheese
Nate’s Deli,"152 Sparks Street, Ottawa, ON K1P 5B6","Delis, Breakfast &amp; Brunch, Sandwiches",deli meat cheese
Bread &amp; Sons Bakery,"195 Bank Street, Ottawa, ON K2P 1W7","Bakeries, Delis, Pizza",deli meat cheese
Wedel Touch of Europe,"300 Richmond Rd, Ottawa, ON K1Z 6X6","Bakeries, International Grocery, Delis",deli meat cheese
