name,address,note,category
Ottawa Farmers’ Market,"1000 Exhibition Way, Ottawa, ON K1S 3W7",Farmers' Market,farmers market
Main Farmers’ Market,"210 Main Street, Ottawa, ON K1S 1C6",Farmers' Market,farmers market
Parkdale Market,"Parkdale Ave &amp; Wellington St W, Ottawa, ON K1Y",Farmers' Market,farmers market
Ottawa Farmers’ Market Orleans,"1585 Tenth Line Rd, Orléans, ON K1E 3E8",Farmers' Market,farmers market
The Log Farm,"670 Cedarview Road, Nepean, ON K2R 1E5","Farms, Farmers' Market",farmers market
ByWard Market Square,"55 ByWard Market Square, Ottawa, ON K1N 1K1",Farmers' Market,farmers market
Ferme Lève-Tôt,"460 Chemin Kalalla, Alcove, QC J0X 1A0",Fruits &amp; Veggies,farmers market
Ottawa Organic Farmers Market,"3191 Riverside Drive, Ottawa, ON K1V 8N8",Farmers' Market,farmers market
Kanata Farmers’ Market,"745 Kanata Ave, Ottawa, ON K2T 1H9",Farmers' Market,farmers market
The Barn,"6154 Abbott Street E, Stittsville, ON K2S 1V2","Nutritionists, Farmers' Market",farmers market
Ottawa Farmers’ Market,"575 Byron Avenue, Ottawa, ON K2A 1H4","Farmers' Market, Fruits &amp; Veggies",farmers market
Maple Hill Urban Farm,"200 Moodie Drive, Ottawa, ON K2H 8K6",Farmers' Market,farmers market
Kaladar Produce Market,"2455 Kaladar Ave, Ottawa, ON K1V",Farmers' Market,farmers market
Rochon Garden,"1101 York's Corners Road, Edwards, ON K0A 1V0",Farmers' Market,farmers market
Log Cabin Orchard,"6121 Cabin Road, Ottawa, ON K0A 2W0",Farmers' Market,farmers market
Pinewood Orchards,"101 Herzberg Road, Nepean, ON K2K 2Y3",Farmers' Market,farmers market
Canaan Blueberries,"2351 Canaan Rd, Rockland, ON K4K 1K9",Farmers' Market,farmers market
ByWard Fruit Market,"36 ByWard Market Sq, Ottawa, ON K1N 7A2","Fruits &amp; Veggies, Farmers' Market",farmers market
Horti-Cité,"Gatineau, QC J8R 2H3",Farmers' Market,farmers market
Anderson Farm,"8435 Franktown Road, Ashton, ON K0A 1B0","Farmers' Market, Specialty Food",farmers market
