name,address,address2,size,lat,lng,num
Abbas Grocery,344 Bell Street,"Ottawa, ON",small,45.4020648,-75.7032878,1
Adams Sausages,1437 Michael Street,"Ottawa, ON",small,45.4159116,-75.6281825,1
Adonis,1055 St Laurent Boulevard,"Ottawa, ON",small,45.427054,-75.6383701,1
African Queen Supermarket,2430 Bank St,"Ottawa, ON",small,45.3537723,-75.6491647,1
Afro Diva,1315 Richmond Rd,"Ottawa, ON",small,45.368022,-75.785856,2
Ai Amir Grocery And Meat Shop,1800 Bank St.,"Ottawa, ON",small,45.3715892,-75.6643203,1
Al Jazeerah Food And Meat Market,1101 Wellington Street W,"Ottawa, ON",small,45.4028466,-75.7257886,1
Al Madina Meat And Food Market,"1136 Cadboro Rd, Ottawa, ON K1J 7R1","Ottawa, ON",small,45.4307575,-75.6211764,1
Al Mokhtar Food Centre,383 McArthur Ave,"Ottawa, ON",small,45.4323268,-75.6504453,1
Al Sham Food & Meat Market,275 Montreal Rd,"Ottawa, ON",small,45.4368769,-75.6600995,1
Al-Kalaa Mini Market,557 Kirkwood Ave,"Ottawa, ON",small,45.3891522,-75.7427783,1
All Africa Market,411 McArthur Ave,"Ottawa, ON",small,45.432316,-75.6485199,1
Allspice Superstore,194 Robertson Rd,"Ottawa, ON",small,45.3173858,-75.8444531,1
Al-Oumara Meat Shop & Grill,25 Tapiola Crescent,"Ottawa, ON",small,45.3640092,-75.6466335,1
Alta Juba Supermarket,2925 Albion Road North,"Ottawa, ON",small,45.3717897,-75.6524121,1
Arum Restaurant And Market,512 Bank St,"Ottawa, ON",small,45.4098726,-75.69262,1
Arya Food Market,508 Gladstone Ave,"Ottawa, ON",small,45.4099336,-75.6982053,1
Asian Grocer,1581 Bank Street,"Ottawa, ON",small,45.3794058,-75.6674463,1
Bakker's General Store,1004 Manotick Station Road,"Ottawa, ON",small,45.2557894,-75.6246552,1
Baltyk Delicatessen,935 Carling Avenue,"Ottawa, ON",small,45.3955891,-75.7132488,1
Banaue Sari Sari Store,3023 Cedarview Road,"Ottawa, ON",small,45.2660293,-75.7713906,1
Barakat Market,1656 Bank Street,"Ottawa, ON",small,45.3764222,-75.6669651,1
Barrhaven Market,2900 Woodroffe Avenue,"Ottawa, ON",small,45.2922857,-75.7289418,1
Barwaaqo Meats,1439 Ogilvie Rd,"Ottawa, ON",small,45.4319267,-75.618418,1
Beirut Boulangerie Et Traiteur,269 Rue Laramee,"Ottawa, ON",small,45.4317772,-75.7360091,1
Best Price Oriental Market,484 Hazeldean Road,"Ottawa, ON",small,45.2959208,-75.8900792,1
Bienvenidos Latin Market,1731 St Laurent Boulevard,"Ottawa, ON",small,45.4056346,-75.6261407,1
Blue Nile Grocery Store,168 King Edward Ave,"Ottawa, ON",small,45.433828,-75.6904511,1
Bulk Barn,3161 Greenbank Rd,"Ottawa, ON",small,45.2695671,-75.7453866,1
Bulk Barn,197 Trainyards Drive,"Ottawa, ON",small,45.411285,-75.638627,2
By Grace Food Market,183 Montreal Rd,"Ottawa, ON",small,45.435266,-75.6641003,1
Byward Fruit Market,36 ByWard Market Sq,"Ottawa, ON",small,45.4275991,-75.6929651,1
Byward Market News,55 ByWard Market Sq,"Ottawa, ON",small,45.427449,-75.6923646,1
Casa Nicastro Delicatessen,304 Preston St,"Ottawa, ON",small,45.4034261,-75.7113838,1
Cedars & Co,1255 Bank St,"Ottawa, ON",small,45.3909623,-75.6798999,1
Cedars & Co. Food Market,1793 Kilborn Av,"Ottawa, ON",small,45.3880921,-75.6452686,1
Charlies Groceteria,220 Carruthers Avenue,"Ottawa, ON",small,45.4043024,-75.7281375,1
Colonia Grocery La,345 Av Richelieu,"Ottawa, ON",small,45.4354843,-75.6549629,1
Continental Delicatessen,57 York Street,"Ottawa, ON",small,45.4283345,-75.6927514,1
Corner Store,395 Montreal Road,"Ottawa, ON",small,45.4390106,-75.6539378,1
Costco,1405 Blair Towers Place,"Ottawa, ON",small,45.4349421,-75.6034548,1
Cote Poultry,2770 Lancaster Road,"Ottawa, ON",small,45.395577,-75.606277,1
Damas Supermarket,3033 Carling Avenue,"Ottawa, ON",small,45.3550822,-75.8063329,1
Desi Price Club,1950 Merivale Road,"Ottawa, ON",small,45.326052,-75.7198339,1
Desi-Food Market,2580 St Joseph Blvd,"Ottawa, ON",small,45.4706222,-75.5251418,1
Di Rienzo's,111 Beech Street,"Ottawa, ON",small,45.4000201,-75.7120537,1
Divisoria Market,1743 Carling Avenue,"Ottawa, ON",small,45.3782045,-75.752689,1
Domestic Foods,595 Gladstone Ave,"Ottawa, ON",small,45.4092318,-75.7010511,1
Dunn's Famous Deli,355 Dalhousie Street,"Ottawa, ON",small,45.4281632,-75.6902091,1
Dutch Groceries And Giftware,1400 Clyde Avenue,"Ottawa, ON",small,45.3583259,-75.7389182,1
Eating Well Ottawa,1169 Parisien Street,"Ottawa, ON",small,45.4201195,-75.6273123,1
Epicerie Jocelyn Claire Fournier,29 Rue Morin,"Ottawa, ON",small,45.4293178,-75.7249381,1
Europa Food Centre,77 Beechwood Ave,"Ottawa, ON",small,45.4406892,-75.6747722,1
European Delicatessen,1568 Merivale Road,"Ottawa, ON",small,45.3516443,-75.7347403,1
Farm Boy,1250 Stittsville Main St.,"Ottawa, ON
K2S 1S9",large,45.2683251,-75.9311153,1
Farm Boy,1495 Richmond Road,"Ottawa,Â ON
K2B 6R9",large,45.362791,-75.7912934,1
Farm Boy,1500 Bank St.,"Ottawa, ON
K1H 7Z1",large,45.3809813,-75.6701018,1
Farm Boy,1642 Merivale Road,"Ottawa,Â ON
K2G 4A1",large,45.3455841,-75.732034,1
Farm Boy,2030 Tenth Line Road,"Ottawa, ON
K4A 4X4",large,45.4584073,-75.4877257,1
Farm Boy,2950 Bank Street,"Ottawa ON
K1T 1N8",large,45.344538,-75.622643,1
Farm Boy,3033 Woodroffe Avenue,"Ottawa, ON
K2G 6H2",large,45.2881771,-75.7251596,1
