name,chain,address,phone,Y,X,note,address2,update_date,size
Shoppers,yes,"647 Earl Armstrong Road , Ottawa",(613) 822-6746,45.2693834,-75.6981271,NA,NA,NA,NA
Shoppers,yes,"322 Rideau Street , Ottawa",(613) 789-9700,45.4288897,-75.6847071,NA,NA,NA,NA
Shoppers,yes,"2446 Bank Street , Ottawa",(613) 247-9893,45.3526461,-75.64691429999999,NA,NA,NA,NA
Shoppers,yes,"876 Montreal Road , Ottawa",(613) 741-3660,45.4457968,-75.63015639999999,NA,NA,NA,NA
Shoppers,yes,"455 Bank Street , Ottawa",(613) 238-9041,45.4119191,-75.6931575,NA,NA,NA,NA
Shoppers,yes,"778 Bank Street , Ottawa",(613) 234-8587,45.403274,-75.6888649,NA,NA,NA,NA
Shoppers,yes,"4744 Bank Street, Unit 1 , Ottawa",(613) 822-0366,45.31981570000001,-75.5942266,NA,NA,NA,NA
Shoppers,yes,"1582 Bank Street , Ottawa",(613) 523-9016,45.3791212,-75.6684444,NA,NA,NA,NA
Shoppers,yes,"181 Greenbank Road , Ottawa",(613) 820-1306,45.3281927,-75.779573,NA,NA,NA,NA
Shoppers,yes,"1642 Merivale Rd , Ottawa",(613) 226-1155,45.3455841,-75.732034,NA,NA,NA,NA
Shoppers,yes,"1559 Alta Vista Dr , Ottawa",(613) 738-1445,45.4087609,-75.6571787,NA,NA,NA,NA
Shoppers,yes,"2515 Bank St , Ottawa",(613) 523-9999,45.3542812,-75.64597119999999,NA,NA,NA,NA
Shoppers,yes,"50 Rideau St. , Ottawa",(613) 236-2533,45.4250234,-75.6909652,NA,NA,NA,NA
Shoppers,yes,"3310 Mccarthy Rd , Ottawa",(613) 523-2835,45.35065729999999,-75.6719591,NA,NA,NA,NA
Shoppers,yes,"888 Meadowlands Dr E , Ottawa",(613) 225-6204,45.36712490000001,-75.7025045,NA,NA,NA,NA
Shoppers,yes,"1180 Walkley Road , Ottawa",(613) 737-3344,45.3697843,-75.66364639999999,NA,NA,NA,NA
Shoppers,yes,"3080 Carling Avenue , Ottawa",(613) 820-5350,45.3548434,-75.8044638,NA,NA,NA,NA
Shoppers,yes,"702 Bank Street, Unit 700 , Ottawa",(613) 233-3202,45.4048452,-75.6897472,NA,NA,NA,NA
Shoppers,yes,"150 Montreal Rd. , Ottawa",(613) 842-7544,45.4343364,-75.6646177,NA,NA,NA,NA
Shoppers,yes,"174 Bank St , Ottawa",(613) 232-5723,45.4181889,-75.6992434,NA,NA,NA,NA
Shoppers,yes,"1309 Carling Ave , Ottawa",(613) 722-4277,45.3867692,-75.7355233,NA,NA,NA,NA
Shoppers,yes,"1469 Merivale Road , Ottawa",(613) 224-7270,45.3604808,-75.7343684,NA,NA,NA,NA
Shoppers,yes,"2339 Ogilvie Rd , Ottawa",(613) 741-6465,45.4516814,-75.5979131,NA,NA,NA,NA
Shoppers,yes,"2148 Carling Ave, Unit #1 , Ottawa",(613) 725-9990,45.3694167,-75.7687714,NA,NA,NA,NA
Shoppers,yes,"410 Richmond Road , Ottawa",(613) 761-5575,45.3902682,-75.7569456,NA,NA,NA,NA
Shoppers,yes,"1080 Bank Street , Ottawa",(613) 526-9537,45.3943503,-75.6838382,NA,NA,NA,NA
Shoppers,yes,"1460 Richmond Road , Ottawa",(613) 596-0509,45.3628466,-75.78961199999999,NA,NA,NA,NA
Shoppers,yes,"541 Montreal Road , Ottawa",(613) 740-0616,45.4418209,-75.646244,NA,NA,NA,NA
Shoppers,yes,"111 Albert Street, Unit #110 , Ottawa",(613) 235-5139,45.421018,-75.698194,NA,NA,NA,NA
Shoppers,yes,"1821 Robertson Road , Ottawa",(613) 828-4487,45.3290888,-75.81920219999999,NA,NA,NA,NA
Shoppers,yes,"1200 St. Laurent Blvd , Ottawa",(613) 745-7015,45.4219466,-75.6387057,NA,NA,NA,NA
Rexall,yes,"1615 Orléans Blvd, Orléans, ON K1C 7E2",NA,45.4604249,-75.52472089999999,NA,NA,NA,NA
Rexall,yes,"900 Greenbank Rd, Nepean, ON K2J 4P6",NA,45.2847264,-75.7564617,NA,NA,NA,NA
Rexall,yes,"200 Rideau Pl #216, Ottawa, ON K1N 5Y1",NA,45.4274754,-75.68830369999999,NA,NA,NA,NA
Rexall,yes,"1595 Merivale Rd #1A, Nepean, ON K2G 3J4",NA,45.3524148,-75.7327639,NA,NA,NA,NA
Rexall,yes,"1910 St Laurent Blvd, Ottawa, ON K1G 1A4",NA,45.3990561,-75.62391310000001,NA,NA,NA,NA
Rexall,yes,"S1363B Woodroffe Avenue, Nepean, ON K2G 1V7",NA,45.3503289,-75.7621932,NA,NA,NA,NA
Rexall,yes,"1980 Ogilvie Road Unit #144, Gloucester, ON K1J 9L3",NA,45.4325275,-75.6098258,NA,NA,NA,NA
Rexall,yes,"430 Ottawa Street, Almonte, ON K0A 1A0",NA,45.23603809999999,-76.1831924,NA,NA,NA,NA
Rexall,yes,"4048 Carling Ave, Kanata, ON K2K 1Y1",NA,45.3371417,-75.9072525,NA,NA,NA,NA
Rexall,yes,"2269 Riverside Dr E, Ottawa, ON K1H 8K2",NA,45.3858045,-75.6783143,NA,NA,NA,NA
Rexall,yes,"2121 Carling Ave, Ottawa, ON K2A 1H2",NA,45.3731497,-75.76867940000001,NA,NA,NA,NA
Rexall,yes,"1620 Scott Street, Unit 29, Ottawa, ON K1Y 4S7",NA,45.4033619,-75.7338284,NA,NA,NA,NA
Rexall,yes,"2950 Carling Avenue, Ottawa, ON K2B 7J7",NA,45.3559371,-75.8021607,NA,NA,NA,NA
Rexall,yes,"1415 Carling Avenue, Ottawa, ON K1Z 7L6",NA,45.386315,-75.739747499999993,NA,NA,NA,NA
Rexall,yes,"1725 Walkley Road Unit C, Ottawa, ON K1V 2P6",NA,45.3778586,-75.6459656,NA,NA,NA,NA
Rexall,yes,"2116 Montreal Road, Ottawa, ON K1J 6M7",NA,45.4479777,-75.5918655,NA,NA,NA,NA
Rexall,yes,"22 Baskin Drive East, Arnprior, ON K7S 3G8",NA,45.42394849999999,-76.3669273,NA,NA,NA,NA
Rexall,yes,"2144 Robertson Road, Nepean, ON K2H 5Z1",NA,45.320755,-75.8358271,NA,NA,NA,NA
Rexall,yes,"753 Montreal Road, Ottawa, ON K1K 0T1",NA,45.4450941,-75.6365507,NA,NA,NA,NA
Rexall,yes,"407 Laurier Avenue West Unit #24, 25 & 26, Ottawa, ON K1R 7Y7",NA,45.4174617,-75.7025069,NA,NA,NA,NA
Rexall,yes,"832 March Road, Kanata, ON K2W 0C9",NA,45.3568278,-75.9334925,NA,NA,NA,NA
Costco,yes,"1900 Cyrville Rd, K1B 1A5 Ottawa",NA,45.4151698,-75.6033867,NA,NA,NA,NA
Costco,yes,"1849 Merivale Rd, K2G 1E3 Ottawa",NA,45.3377624,-75.72242609999999,NA,NA,NA,NA
Costco,yes,"4315 Strandherd Dr, K2J 6E5 Ottawa",NA,45.2684597,-75.7843783,NA,NA,NA,NA
Costco,yes,"770 Silver Seven Rd, K2V 0A1 Kanata",NA,45.3026258,-75.91311639999999,NA,NA,NA,NA
Mergi Shop,no,"382 Rideau St, Ottawa, ON K1N 5Y8",NA,45.4297893,-75.6827599,NA,NA,NA,NA
Fairway Trading Co,no,"9 Byward Market Square, Ottawa, ON K1N 9B8",NA,45.4284911,-75.6933351,NA,NA,NA,NA
Wedel - Touch of Europe,no,"5 Byward Market Square, Ottawa, ON K1N 9B8",NA,45.4286004,-75.69343889999999,NA,NA,NA,NA
Lapointe Fish,no,"46 Byward Market Square, Ottawa, ON K1N 7A2",NA,45.427458,-75.6928445,NA,NA,NA,NA
Athena Gourmet Greek imports,no,"368 Bank St, Ottawa, ON K2P 1Y4",NA,45.4138564,-75.695289,NA,NA,NA,NA
Food Frenz,yes,"275 Laurier Ave. E, Ottawa, ON K1N 6P7",NA,45.4266821,-75.6800434,NA,NA,NA,NA
Olly's Freshco Market,no,"90 Elgin St, Ottawa, ON K1P 0C6",NA,45.4220487,-75.69469099999999,NA,NA,NA,NA
Le Boulanger Français,no,"119 Murray St, Ottawa, ON K1N 5M5",NA,45.430235,-75.69263269999999,NA,NA,NA,NA
Donna's Friendly Store,no,"157 Cathcart St, Ottawa, ON K1N 5C1",NA,45.4336358,-75.69502299999999,NA,NA,NA,NA
NU Grocery Store,yes,"143 Main St, Ottawa, ON K1S 5V9",NA,45.4100902,-75.67840249999999,NA,NA,NA,NA
Ottawa South Groceteria,no,"431 Sunnyside Ave, Ottawa, ON K1S 0S6",NA,45.3916938,-75.68986199999999,NA,NA,NA,NA
INS Market,no,"2277 Riverside Dr. Unit 216, Ottawa, ON K1H 7X6",NA,45.3856281,-75.6774777,NA,NA,NA,NA
Glebe Meat Market,no,"869 Bank St., Ottawa ON K1S3W4",NA,45.400959,-75.6869613,NA,NA,NA,NA
Hogan's Food Store,no,"315 Powell Ave, Ottawa, ON K1S 2A6",NA,45.4021862,-75.7017407,NA,NA,NA,NA
L'Esplanade Laurier Market,no,"181 Bank St, Ottawa, ON K2P 1W5",NA,45.4187923,-75.6975272,NA,NA,NA,NA
Marcello's Market and Deli,no,"150 Slater St., Ottawa, ON K1P 5H3",NA,45.4201613,-75.6974389,NA,NA,NA,NA
Pronto Foodmart,no,"5303 Canotek Rd Unit #1, Gloucester, ON K1J 9M1",NA,45.4529502,-75.5885048,NA,NA,NA,NA
Sam’s Convenience,no,"1565 Alta Vista Dr, Ottawa, ON K1G 0E9",NA,45.4086185,-75.6573288,NA,NA,NA,NA
MF Foodmart,no,"850 Merivale Rd, Ottawa, ON K1Z 5Z4",NA,45.38524169999999,-75.73267799999999,NA,NA,NA,NA
"22 Antares Drive, Unit J,",no,"22 Antares Dr Unit J, Ottawa, ON",NA,45.3342893,-75.7090259,NA,NA,NA,NA
Fire of God Ministries,no,"212 Murray St, Ottawa, ON K1N 5N1",NA,45.4311839,-75.6895026,NA,NA,NA,NA
Carson Fresh Grocer | Halal Meat and Bangladeshi Fish,no,"876 Montreal Rd, Ottawa, ON K1K 4L3",NA,45.4457968,-75.63015639999999,NA,NA,NA,NA
Mr. beef halal meat,no,"2335 St. Laurent Blvd, Ottawa, ON K1G 5G6",NA,45.383079,-75.6206065,NA,NA,NA,NA
Baghlan Market,no,"385 Tompkins Ave unit 2a, Orléans, ON K1E 3H4",NA,45.4774353,-75.49853019999999,NA,NA,NA,NA
Al Waha Grocery,no,"2851 Dumaurier Ave #2839, Ottawa, ON K2B 7W3",NA,45.3504349,-75.7930756,NA,NA,NA,NA
Slater Street Market,no,"350 Slater St., Ottawa, ON K1A 0K1",NA,45.4177623,-75.70327449999999,NA,NA,NA,NA
Bayscorner,no,"245 Bay St, Ottawa, ON K1R 5Z4",NA,45.4154673,-75.7040931,NA,NA,NA,NA
Oriental Charm,no,"653 Somerset St W, Ottawa, ON K1R 5K3",NA,45.4117953,-75.705349,NA,NA,NA,NA
Nature's Care Health Products,no,"115 Bank St, Ottawa, ON K2P 5N5",NA,45.4197748,-75.6999616,NA,NA,NA,NA
Arum Korean Market (Downtown),no,"300 Laurier Ave W, Ottawa, ON K1A 1J2",NA,45.4186128,-75.69795119999999,NA,NA,NA,NA
Hasty Market,yes,"596 Rideau St, Ottawa, ON K1N 6A2",NA,45.43291240000001,-75.6754193,NA,NA,NA,NA
Gigi's Market Lalanne Multi-services,no,"23 Montreal Rd, Vanier, ON K1L 6E8",NA,45.43333029999999,-75.6690121,NA,NA,NA,NA
Mini Confectionery,no,"273 Montfort St, Vanier, ON K1L 5N8",NA,45.4389471,-75.6615451,NA,NA,NA,NA
Ste Anne Convenience,no,"308 Shakespeare St, Vanier, ON K1L 5M4",NA,45.4395184,-75.6592304,NA,NA,NA,NA
Boutique La Lumière,no,"267 Chemin, Montreal Rd, Vanier, ON K1L 6C4",NA,45.4367652,-75.6604753,NA,NA,NA,NA
Barada Mart,no,"105 Shuttleworth Dr., Ottawa, ON K1T 0W7",NA,45.31827819999999,-75.5925853,NA,NA,NA,NA
Kabul Food Market,no,"355 Montreal Rd, Vanier, ON K1L 6B1",NA,45.4387791,-75.65506119999999,NA,NA,NA,NA
New Quill Convience Store,no,"6 Quill St, Ottawa, ON K1K 3S8",NA,45.4265898,-75.65785439999999,NA,NA,NA,NA
Dumouchel Meat & Deli,no,"351 Donald St, Ottawa, ON K1K 1M4",NA,45.4281847,-75.65305049999999,NA,NA,NA,NA
M&M Food Market,yes,"536 Montreal Rd, Ottawa, ON K1K 0T9",NA,45.4407432,-75.6455791,NA,NA,NA,NA
GB Carribean Grocery,no,"609-A Center St, Ottawa, ON K1K 2N8",NA,45.4418747,-75.64274759999999,NA,NA,NA,NA
Brittany Grocery,no,"230 Brittany Dr, Ottawa, ON K1K 0R6",NA,45.4455455,-75.6487248,NA,NA,NA,NA
St-Charles Food Market,no,"46 St Charles St, Vanier, ON K1L 7Z1",NA,45.4395935,-75.6722276,NA,NA,NA,NA
Beechwood Farmers Market,no,"131b Beechwood Av., Ottawa, ON K1M 1L5",NA,45.442133,-75.672062,NA,NA,NA,NA
Beechwood Outdoor Farmers Market,no,"Optimiste Park, 43 Ste-Cécile St, Ottawa, ON",NA,45.4425216,-75.6693763,NA,NA,NA,NA
Lesuq,yes,"141 Beechwood Av., Ottawa, ON K1M 1L4",NA,45.44240180000001,-75.6715224,NA,NA,NA,NA
Fresh Grocer,no,"40 Jolliet Av, Vanier, ON K1L 5H5",NA,45.4431425,-75.6687168,NA,NA,NA,NA
Jasmin Market,no,"335 Lacasse Ave, Vanier, ON K1L 7A8",NA,45.4344553,-75.6565371,NA,NA,NA,NA
