name,address,note,category
Natures Care Health Products,"115 Bank St, Ottawa, ON K1P 5N5","Health Food Store, Vitamins &amp; Supplements, Herbal Shops",health store
Nature’s Buzz Organic Food Market,"55 Beechwood Ave, Ottawa, ON K1M 1M2",Health Food Store,health store
Healthy Planet Trainyards,"590 Industrial Avenue, Ottawa, ON K1G 5A5","Vitamins &amp; Supplements, Health Food Store, Grocery",health store
Herb &amp; Spice Shop,"375 Bank Street, Ottawa, ON K2P 1Y2","Health Food Store, Herbs &amp; Spices, Cosmetics &amp; Beauty Supply",health store
Nutrition House,"2121 Carling Ave, Ottawa, ON K2A 1H2",Health Food Store,health store
Natural Food Pantry - Barrhaven,"4325 Strandherd Dr, Ottawa, ON K2J 6E5",Health Food Store,health store
Natural Food Pantry - Barrhaven,"1-4325 Strandherd Dr, Nepean, ON K2J 6E5",Health Food Store,health store
Natural Food Pantry,"1487 Richmond Rd, Ottawa, ON K2B 6R9",Health Food Store,health store
Noor Food Market,"332 Richmond Rd, Ottawa, ON K1Z 5C7",Grocery,health store
Quality Life Services,"2220 Gladwin Crescent, Ottawa, ON K1B 4S6",Medical Supplies,health store
Nutrition Company,"1980 Ogilvie Rd, Ottawa, ON K1J 9L3",Health Food Store,health store
Natural Food Pantry - Westboro,"205 Richmond Rd, Ottawa, ON K1Z 6W4",Organic Stores,health store
Pantry Plus,"2433 St Joseph Boulevard, Orleans, ON K1C 1E9","Health Food Store, Grocery",health store
Kardish Health Food Centre,"2950 Bank Street, Ottawa, ON K1T 1N8","Grocery, Health Food Store",health store
Kardish Health Food Centre,"1831 Robertson Road, Ottawa, ON K2H 8X3","Health Food Store, Grocery",health store
La Boîte à Grains,"25C Boulevard du Plateau, Gatineau, QC J9A 3G1",Health Food Store,health store
WFM Coffee Bar,"951 Bank St, Ottawa, ON K1S 3W7","Organic Stores, Grocery, Juice Bars &amp; Smoothies",health store
La Boîte à Grains,"325 Boulevard Gréber, Gatineau, QC J8T 8J3",Organic Stores,health store
Herb &amp; Spice Shop,"1310 Wellington St, Ottawa, ON K1Y 3B2",Fruits &amp; Veggies,health store
Health Keg,"53 Broadway Ave, Ottawa, ON K1S 2V4",Health Food Store,health store
Nature’s Signature - Orleans Ottawa,"4510 Innes Road, Ottawa, ON K4A 4C5",Vitamins &amp; Supplements,health store
Holistic Health Shop,"2211 Riverside Dr, Ottawa, ON K1H 7X5",Health Food Store,health store
Kardish Health Food Centre,"1701 Merivale Road, Nepean, ON K2G 3K2","Health Food Store, Grocery",health store
Natural Food Pantry,"2277 Riverside Dr, Ottawa, ON K1H 7X6","Grocery, Health Food Store",health store
Kowloon Market,"712 Somerset Street W, Ottawa, ON K1R 6P8","Grocery, Imported Food",health store
Muscle Madness,"183 Preston St, Ottawa, ON K1R 7P8",Health Food Store,health store
Supplement King,"515 Industrial Avenue, Ottawa, ON K1G 0Z1",Health Food Store,health store
Econo-Medical,"3234 Hawthorne Road, Ottawa, ON K1G 3W9",Medical Supplies,health store
Hyperforme Nutrition,"178 Boulevard Gréber, Gatineau, QC J8T 6Z6",Health Food Store,health store
Nutrition House,"50 Rideau Ter, Ottawa, ON K1M 2A1",Health Food Store,health store
Sports Supplement Experts,"384 Dalhousie Street, Ottawa, ON K1N 7G3",Health Food Store,health store
Natural Food Pantry - Kanata,"5537 Hazeldean Road, Kanata, ON K2S 0P5",Health Food Store,health store
Nf Nutrition,"200 Laurier Ave W, Ottawa, ON K1P 6M7",Health Food Store,health store
General Nutrition Centre,"1200 St Laurent Blvd, Ottawa, ON K1K 3B8",Health Food Store,health store
Natures Care Health Products,"1558 Merivale Rd, Nepean, ON K2G 3J9",Health Food Store,health store
Healthy Planet Kanata,"400 Earl Grey Dr, Kanata, ON K2T 1B9","Vitamins &amp; Supplements, Grocery, Health Food Store",health store
Nature’s Care Health Products,"1500 Bank St, Ottawa, ON K1H 7Z2",Health Food Store,health store
Nutrition House,"1200 St Laurent Blvd, Ottawa, ON K1K 3B8",Health Food Store,health store
Peter’s Health Foods,"2525 Carling Ave, Ottawa, ON K2B 7Z2",Health Food Store,health store
Tytan Sport Nutrition,"1 Roydon Pl, Ottawa, ON K2E 1A3",Health Food Store,health store
Php Marketing,"272 Mountbatten Ave, Ottawa, ON K1H 5W3",Health Food Store,health store
Reliance Foods International,"644 Cooper St, Ottawa, ON K1R 5J2",Health Food Store,health store
Sandy Hill Pet and People Food Co-op,"304 Wilbrod Street, Ottawa, ON K1N 6M1","Pet Stores, Health Food Store",health store
General Nutrition Centre,"160 Bank St, Ottawa, ON K1P 5N8",Health Food Store,health store
Natures Care Health Products,"64 Beechwood Ave, Vanier, ON K1L 8B2",Health Food Store,health store
Kardish Health Food Centre,"1309 Carling Avenue, Ottawa, ON K1Z 7L3",Health Food Store,health store
Joe &amp; Lily’s No Frills,"1226 Place D'Orleans Drive, Ottawa, ON K1C 7K3","Grocery, Pharmacy",health store
La Boite à Grains,"195 Rue Principale, Gatineau, QC J9H 6J8",Health Food Store,health store
Kardish Health Food Centre,"3101 Strandherd Drive, Ottawa, ON K2J","Grocery, Health Food Store",health store
Wellbeing Health Food,"5303 Canotek Rd, Ottawa, ON K1J 9M1",Health Food Store,health store
Johanne Verdon Espace Sante Beaute,"341 Saint-Joseph Blvd, Gatineau, QC J8Y 3Z3",Health Food Store,health store
Nutrition by Nature,"462 Hazeldean Road, Kanata, ON K2L 1V3",Health Food Store,health store
Forever Living Products,"58 Promenade Ave, Nepean, ON K2E 5X8",Health Food Store,health store
Kardish Health Food Centre,"499 Terry Fox Drive, Ottawa, ON K2T 1H7",Grocery,health store
Wellington Homeopathy and Nutrition Centre,"1309 Wellington St W, Ottawa, ON K1Y 3B1",Health Food Store,health store
Watkins Produits,"74 Blvd Greber, Gatineau, QC J8T 3P8",Health Food Store,health store
Tytan Sport Nutrition,"2655 Queensview Dr, Ottawa, ON K2B 8K2",Health Food Store,health store
terra20,"2685 Iris Street, Ottawa, ON K2C 3S4",Department Stores,health store
H &amp; A Energy Bar,"850 Industrial Ave, Ottawa, ON K1G 4K2",Health Food Store,health store
Kardish Health Food Centre,"3712 Innes Road, Orleans, ON K1W 0C8",Health Food Store,health store
General Nutrition Centre,"2121 Carling Ave, Ottawa, ON K2A 1H2",Health Food Store,health store
Mommy’s Yummies Food,"15 Grenfell Crescent, Nepean, ON K2G 0G3",Health Food Store,health store
Nature’s Care Health Products Limited,"150 Robertson Rd, Ottawa, ON K2H 9S1",Health Food Store,health store
Gagne en Santé,"224 Rue Bellehumeur, Gatineau, QC J8T 8N6",Health Food Store,health store
La Boîte à Grains,"581 Boulevard Saint-Joseph, Gatineau, QC J8Y 4A6",Health Food Store,health store
Ping Fat Lee,"719 Somerset St W, Ottawa, ON K1R 6P7",Health Food Store,health store
La Soyarie,"94 Rue Adrien-Robert, Gatineau, QC J8Y 3S2",Health Food Store,health store
B &amp; B Foods,"2825 Sheffield Rd, Ottawa, ON K1B 3V8",Health Food Store,health store
Le Naturiste Jmb,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3",Health Food Store,health store
Barleygreen Aim Distributor,"57 Sherry Ln, Nepean, ON K2G 3L4",Health Food Store,health store
Eden 2,"1869 walkley Road, Ottawa, ON K1H 6X9",Nutritionists,health store
Saputo Foods,"1275 Leeds Ave, Ottawa, ON K1B 3W2",Health Food Store,health store
Proxim Isabelle Menard,"87 Chemin Old Chelsea, Chelsea, QC J9B 1K9",Pharmacy,health store
Manotick Natural Market,"1143 Tighe Street, Manotick, ON K4M 1A8","Jewellery, Vitamins &amp; Supplements, Health Food Store",health store
Fitness Warehouse,"2095 St Joseph Blvd, Orleans, ON K1C 1E7",Health Food Store,health store
Health Sciences Book Store,"501 Smyth Rd, Ottawa, ON K1H 8L6",Bookstores,health store
Moncion’s Your Independant Grocer,"671 River Road, Gloucester, ON K1V 2G2","Grocery, Pharmacy",health store
Lavoie Line Herboriste,"1134 Maloney Blvd E, Gatineau, QC J8P 1H9",Health Food Store,health store
Sobeys,"5150 Innes Road, Orléans, ON K4A 0G4",Grocery,health store
General Nutrition,"110 Place D'orleans Dr, Orleans, ON K1C 2L9",Health Food Store,health store
C &amp; J Houkayem Honey Bars,"6384 Fortune Dr, Orleans, ON K1C 1Y9",Health Food Store,health store
180 Food Market,"180 Lees Ave, Ottawa, ON K1S 5P3",Convenience Stores,health store
Grant Crossing,"5537 Hazeldean Road, Stittsville, ON K2L",Shopping Centres,health store
General Nutrition,"400 Earl Grey Drive, Kanata, ON K2T 1B9","Shopping, Health Food Store",health store
Immunotec Ind Distributor,"296 Sylvie Ter, Orleans, ON K1E 3M2",Health Food Store,health store
Shaklee Agent A &amp; D Desmarais,"296 Sylvie Ter, Orleans, ON K1E 3M2",Health Food Store,health store
Nutrition House,"110 Place D'orleans Dr, Orleans, ON K1C 2L9",Health Food Store,health store
Wal-Mart,"450 Terminal Avenue, Ottawa, ON K1G 0Z3",Department Stores,health store
You Go Bistro,"200 Terence Matthews Crescent, Kanata, ON K2M 2C6",Health Food Store,health store
Desmarais Entreprises,"296 Sylvie Ter, Orleans, ON K1E 3M2",Health Food Store,health store
Boulevard Biologique,"797 Ch Riverside RR 2, Wakefield, QC J0X 3G0","Bridal, Health Food Store",health store
Van Leeuwen Centre,"420 Hazeldean Road, Ottawa, ON K2L 4B2",Shopping Centres,health store
