note,address,address2,phone,Y,X,name,update_date
Metro Arnprior,375 Daniel St. S,"Arnprior, ON K7S 3K6",613-623-6273,45.42471,-76.36742,METRO,2021-05-01
Metro Beechwood,50 Beechwood Avenue,"Ottawa, ON K1L 8B3",613-744-6676,45.43953,-75.67625,METRO,2021-05-01
Metro Blackburn Shoppes,2636 Innes Road,"Gloucester, ON K1B 4Z8",613-837-1845,45.43201,-75.56378,METRO,2021-05-01
Metro Brockville,237 King Street West,"Brockville, ON K6V 3S2",613-345-4260,44.58642,-75.689940000000007,METRO,2021-05-01
Metro Casselman,21 Richer Circle,"Casselman, ON K0A 1M0",613-764-3882,45.30572,-75.08333,METRO,2021-05-01
Metro Chapman Mills,3201 Strandherd Drive,"Nepean, ON K2J 5N1",613-823-8825,45.27445,-75.72107,METRO,2021-05-01
Metro Convent Glen Mall,6509 Jeane D'Arc Blvd.,"Orleans, ON K1C 2R1",613-837-1170,45.48076,-75.53611,METRO,2021-05-01
Metro Cumberland,4510 Innes Road,"Ottawa, ON K4A 4C5",613-824-8850,45.46232,-75.48299,METRO,2021-05-01
Metro Eagleson Road,10 Cope Drive,"Kanata, ON K2M 0N2",613-271-7020,45.28236,-75.86516,METRO,2021-05-01
Metro Elmvale,2261 Walkley Road,"Ottawa, ON K1G 3G8",613-526-5994,45.38935,-75.6193,METRO,2021-05-01
Metro Fallingbrook,1675 Tenth Line Road,"Orleans, ON K1E 3P6",613-837-2614,45.46971,-75.49086,METRO,2021-05-01
Metro Glebe,754 Bank Street,"Ottawa, ON K1S 3V6",613-232-9466,45.40364,-75.6887,METRO,2021-05-01
Metro Greenbank Square,250 Greenbank Road,"Nepean, ON K2H 8P3",613-828-9321,45.32454,-75.78059,METRO,2021-05-01
Metro Island Park,345 Carleton Avenue,"Ottawa, ON K1Y 0K3",613-725-3065,45.39797,-75.74072,METRO,2021-05-01
Metro Lincoln Fields Mall,1360 Richmond Road,"Ottawa, ON K2B 8L4",613-828-4207,45.36518,-75.78665,METRO,2021-05-01
