name,address,phone,note,Y,X,address2,size,update_date
Luciano Foods,114 Preston St,(613) 233-1972,"Delis, Sandwiches, Grocery",45.40855589600005,-75.71470521899994,,small,2021-05-14
Pot & Pantry,244 Elgin Street,(613) 565-1212,"Kitchen Supplies, Grocery",45.418221638000034,-75.69096712099997,,small,2021-05-14
Bienvenidos,1731 St Laurent Boulevard,(613) 618-7239,International Grocery,45.406123953000076,-75.62555153199997,,small,2021-05-14
Seoul Mart,22 Pretoria Avenue,(613) 567-9988,Grocery,45.41026500400005,-75.68504557899996,,small,2021-05-14
Adonis,1055 St Laurent Boulevard,(613) 778-8883,International Grocery,45.42782690700005,-75.63775619299997,,small,2021-05-14
LeSuq | Preston,352 Preston St,(855) 285-3787,"Cafes, Grocery",45.40196739900006,-75.71059664999996,,small,2021-05-14
Noor Food Market,332 Richmond Rd,(613) 627-8820,Grocery,45.39207142600003,-75.75341444299994,,small,2021-05-14
Best Price Oriental Market,484 Hazeldean Road,(613) 836-2831,Grocery,45.29625875600004,-75.89000576499996,,small,2021-05-14
Produce Depot,1855 Av Carling,(613) 722-6106,"Grocery, Fruits & Veggies",45.37693302000008,-75.75660853299996,,small,2021-05-14
Shiraz Market,725 Somerset Street W,(613) 563-1207,Grocery,45.41067032500007,-75.70851196599995,,small,2021-05-14
Grocery G3,399b Dalhousie Street,(343) 988-1177,Grocery,45.43473362300006,-75.69611409099997,,small,2021-05-14
Win Tai Market,1137 Ogilvie Road,(613) 744-2880,"Specialty Food, Grocery",45.42676189600007,-75.63140357399999,,small,2021-05-14
Kowloon Market,712 Somerset Street W,(613) 233-1108,"Grocery, Imported Food",45.410265157000026,-75.70764022299994,,small,2021-05-14
Ottawa South Groceteria,435 Sunnyside Avenue,(613) 730-8667,Grocery,45.39175546200005,-75.68991012199996,,small,2021-05-14
Green Fresh Supermarket,29 Selkirk Street,(613) 748-1038,Grocery,45.432274860000064,-75.66852792699996,,small,2021-05-14
Al Jazeerah Food and Meat Market,1101 Wellington Street W,(613) 321-6113,Grocery,45.40295530100008,-75.72592307699995,,small,2021-05-14
Di Rienzo’s,111 Beech Street,(613) 729-4037,"Sandwiches, Grocery, Delis",45.40005426000005,-75.71209606099995,,small,2021-05-14
Shirin Market,700 March Road,(613) 591-7000,"Halal, International Grocery",45.349611425000035,-75.92517578599995,,small,2021-05-14
Geeland International Grocery,1620 Walkley Road,(613) 680-4282,International Grocery,45.377324283000064,-75.64515965799995,,small,2021-05-14
Marché Hintonburg Market,1059 Wellington Street,(613) 722-2777,"Butcher, Cheese Shops, Grocery",45.404012917000045,-75.72464819399994,,small,2021-05-14
