Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,restaurant,regular,0,20180706,18,18 YORK STREET,45.42738724,-75.69409943,,,908,Byward Market
food,restaurant,nightlife,0,201806,1848,"Floor 2, 85 Université Pvt, Ottawa, ON K1N 6N5",45.4225565,-75.6833275,,,949,Sandy Hill
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,1012 MERIVALE ROAD,45.37953568,-75.73349762,319,,18,Carlington
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,1020 ST LAURENT BOULEVARD,45.42784882,-75.63983154,319,,940,Overbrook - McArthur
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,1729 BANK STREET,45.37418365,-75.66487122,319,,903,Billings Bridge - Alta Vista
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,1741 ST LAURENT BOULEVARD,45.4053421,-75.62585449,319,,917,East Industrial
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,195 RIDEAU STREET,45.42761612,-75.6889267,319,,908,Byward Market
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,250 GREENBANK ROAD,45.32530975,-75.77960968,319,,100,Trend-Arlington
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,288 BANK STREET,45.41553879,-75.69664001,319,,24,Centretown
food,fast food,regular,1,20180628,1 FOR 1 PIZZA,2900 WOODROOFE AVENUE,45.29259491,-75.7289505,319,,937,Old Barrhaven East
food,restaurant,regular,0,20180706,1000 SUSHI ISLANDS,129A RIOCAN AVENUE,45.26945496,-75.73872375,,,914,Chapman Mills
food,restaurant,regular,0,20180710,101’s Grill,"1125 Colonel By Drive, Ottawa, ON K1S 5B6",45.3874739,-75.6959848,,,17,Carleton University
food,restaurant,nightlife,0,201806,107 Fourth Avenue Wine Bar & Café,"107 Fourth Ave #1, Ottawa, ON K1S 2L1",45.4026788,-75.6876511,,,923,Glebe - Dows Lake
food,restaurant,nightlife,0,20180710,10Fourteen,"1014 Wellington Street W, Ottawa, ON K1Y 2X9",45.4047964,-75.7234749,,,47,Hintonburg - Mechanicsville
food,restaurant,regular,1,20180706,168 SUSHI JAPANESE BUFFET,1651 MERIVALE ROAD,45.35095596,-75.73196411,,,905,Borden Farm - Fisher Glen
food,restaurant,regular,1,20180706,168 SUSHI JAPANESE BUFFET,"1760 Saint Laurent Boulevard, Ottawa, ON K1G 1A2",45.4045938,-75.627051,,,917,East Industrial
food,convenience store,regular,0,20180706,180 FOOD MARKET,180  LEES AVENUE,45.41527557,-75.67075348,,,82,Old Ottawa East
food,restaurant,regular,0,20180710,222 Lyon Tapas Bar,"222 Lyon St N, Ottawa, ON K1R 5V9",45.4160221,-75.7028571,,,24,Centretown
food,restaurant,nightlife,1,201806,3 Brewers,"240 Sparks Street, Local C215, Ottawa, ON K1P 6C9",45.420296,-75.7024018,,,24,Centretown
food,restaurant,nightlife,1,201806,3 Brewers,"565 Kanata Ave, Kanata, ON K2T 1K5",45.3100669,-75.9082407,,,928,Kanata Lakes - Arcardia
food,fast food,regular,1,20180628,3 BROTHERS SHAWARMA & POUTINE,124 OSGOODE STREET,45.42392349,-75.68076324,25,,949,Sandy Hill
food,fast food,regular,1,20180628,3 BROTHERS SHAWARMA & POUTINE,160 RIDEAU STREET,45.42687225,-75.68968964,25,,949,Sandy Hill
food,fast food,regular,1,20180628,3 BROTHERS SHAWARMA & POUTINE,530 RIDEAU STREET,45.43188858,-75.6778717,25,,949,Sandy Hill
food,restaurant,regular,0,20180710,3 Nineteen Food & Drink,"319 Rideau Street, Ottawa, ON K1N 5Y4",45.429383,-75.6848093,,,934,Lowertown
food,fast food,regular,0,20180706,3 SISTERS CAFE,2211 ARCH STREET,45.38980865,-75.63038635,400,,919,Elmvale - Canterbury
food,restaurant,regular,0,20180706,73 NORTH RESTAURANT & LOUNGE,73 SPARKS STREET,45.42356873,-75.69667053,,,24,Centretown
store,other,sweet and treats,0,20180706,A & M CONFECTIONERY,1499 Clementine Blvd,45.38286591,-75.67392731,,,903,Billings Bridge - Alta Vista
food,fast food,regular,1,20180628,A & W,100 BAYSHORE DRIVE,45.34794617,-75.80560303,236,,901,Bayshore - Belltown
food,fast food,regular,1,20180628,A & W,110 PLACE D'ORLEANS DRIVE,45.47758102,-75.51496124,236,,915,Convent Glen - Orléans Woods
food,fast food,regular,1,20180628,A & W,1200 ST LAURENT BOULEVARD,45.42296219,-75.63809204,236,,940,Overbrook - McArthur
food,fast food,regular,1,20180628,A & W,"1660 Heron Rd, Ottawa, ON ",45.3799448,-75.6439694,236,,932,Ledbury - Heron Gate - Ridgemont
food,fast food,regular,1,20180628,A & W,1830 MERIVALE ROAD,45.33581543,-75.72525787,236,,99,Tanglewood
food,fast food,regular,1,20180628,A & W,1980 OGILVIE ROAD,45.43198013,-75.60961914,236,,912,Carson Grove - Carson Meadows
food,fast food,regular,1,20180628,A & W,2121 CARLING AVENUE,45.37285614,-75.76835632,236,,931,Laurentian
food,fast food,regular,1,20180628,A & W,2870 GIBFORD DRIVE,45.3433342,-75.66921234,236,,48,Hunt Club - Ottawa Airport
food,fast food,regular,1,20180628,A & W,300 EAGLESON ROAD,45.30237579,-75.87768555,236,,924,Glen Cairn - Kanata South Business Park
food,fast food,regular,1,20180628,A & W,3228 HAWTHORNE ROAD,45.38154984,-75.60205841,236,,917,East Industrial
food,fast food,regular,1,20180628,A & W,"3895 Innes Rd, Orléans, ON K1C 1T1",45.4474211,-75.5265987,236,,913,Chapel Hill North
food,fast food,regular,1,20180628,A & W,"405 March Rd, Kanata, ON K2K 1K0",45.337682,-75.9125411,236,,907,Brookside - Briarbrook - Morgan's Grant
food,fast food,regular,1,20180628,A & W,41 EDGEWATER STREET,45.29696274,-75.90032196,236,,929,Katimavik - Hazeldean
food,fast food,regular,1,20180628,A & W,"4255 Strandherd Dr, Ottawa, ON K2J 6E5",45.2695142,-75.7811998,236,,952,Stonebridge - Half Moon Bay - Heart's Desire
food,fast food,regular,1,20180628,A & W,50 RIDEAU STREET,45.42440033,-75.69008636,236,,949,Sandy Hill
food,fast food,regular,1,20180628,A & W,6305 HAZELDEAN ROAD,45.26743698,-75.94033051,236,,951,Stittsville
store,other,sweet and treats,0,20180706,A Thing For Chocolate,1262 Wellington St W,45.3992691,-75.73324585,,,55,Island Park - Wellington Village
food,convenience store,regular,0,20180706,A TO Z Palace,489 Rideau St,45.43170929,-75.67910767,,,934,Lowertown
food,convenience store,gas station,0,20180706,A. RAYMOND & SONS,5566 Osgoode Main St,45.14570999,-75.60655212,,,81,Osgoode - Vernon
food,restaurant,regular,1,20180710,Aahar The Taste of India,"1573 Alta Vista Drive, Ottawa, ON K1G 0E9",45.4084112,-75.6574298,,,947,Riverview
food,restaurant,regular,1,20180710,Aahar The Taste Of India,"727 Churchill Avenue N, Ottawa, ON K1Z 5G7",45.3812179,-75.7468804,,,958,Westboro
food,restaurant,regular,0,20180706,AAHAR-THE TASTE OF INDIA,727 CHURCHILL AVENUE,45.3812027,-75.74688721,,,958,Westboro
food,convenience store,regular,0,20180706,ABBAS GROCERY,344 Bell St S,45.40210342,-75.70333862,,,923,Glebe - Dows Lake
