name,address,phone,lat,lng,category2,category3,dataset,Chain,Update date,NEMS Code,num_name,toupper(name),check
1 FOR 1 PIZZA,1012 MERIVALE ROAD,NA,45.37953568,-75.73349762,fast food,regular,old,1,20180628,319,1012 MERIVALE,1 FOR 1 PIZZA,FALSE
1 For 1 Pizza,"1020 St. Laurent Boulevard, Ottawa K1K 4S2",+1 (613) 234-0234,45.4279055556,-75.6397555556,Restaurant,Dine Out,new,NA,NA,NA,1020 ST,1 FOR 1 PIZZA,TRUE
1 FOR 1 PIZZA,1020 ST LAURENT BOULEVARD,NA,45.42784882,-75.63983154,fast food,regular,old,1,20180628,319,1020 ST,1 FOR 1 PIZZA,TRUE
1 FOR 1 PIZZA,1729 BANK STREET,NA,45.37418365,-75.66487122,fast food,regular,old,1,20180628,319,1729 BANK,1 FOR 1 PIZZA,FALSE
1 FOR 1 PIZZA,1741 ST LAURENT BOULEVARD,NA,45.4053421,-75.62585449,fast food,regular,old,1,20180628,319,1741 ST,1 FOR 1 PIZZA,FALSE
1 FOR 1 PIZZA,195 RIDEAU STREET,NA,45.42761612,-75.6889267,fast food,regular,old,1,20180628,319,195 RIDEAU,1 FOR 1 PIZZA,FALSE
1 FOR 1 PIZZA,250 GREENBANK ROAD,NA,45.32530975,-75.77960968,fast food,regular,old,1,20180628,319,250 GREENBANK,1 FOR 1 PIZZA,FALSE
1 FOR 1 PIZZA,288 BANK STREET,NA,45.41553879,-75.69664001,fast food,regular,old,1,20180628,319,288 BANK,1 FOR 1 PIZZA,FALSE
1 FOR 1 PIZZA,2900 WOODROOFE AVENUE,NA,45.29259491,-75.7289505,fast food,regular,old,1,20180628,319,2900 WOODROOFE,1 FOR 1 PIZZA,FALSE
1000 Sushi Islands,"Barrhaven Town Centre, 129 Riocan Avenue, Ottawa K2J 5G3",+1 (613) 825-3703,45.2695,-75.7386861111,Restaurant,Dine Out,new,NA,NA,NA,NA,1000 SUSHI ISLANDS,FALSE
1000 SUSHI ISLANDS,129A RIOCAN AVENUE,NA,45.26945496,-75.73872375,restaurant,regular,old,0,20180706,NA,NA,1000 SUSHI ISLANDS,FALSE
101’s Grill,"1125 Colonel By Drive, Ottawa, ON K1S 5B6",NA,45.3874739,-75.6959848,restaurant,regular,old,0,20180710,NA,1125 COLONEL,101’S GRILL,FALSE
101s,"Carleton University, Oasis - Residence Commons, 1125 Colonel By Drive, Lower Level, Ottawa K1S 5B6",+1 (613) 520-2600,45.387115,-75.696618,Restaurant,Dine Out,new,NA,NA,NA,NA,101S,FALSE
107 Fourth Avenue Wine Bar & Café,"107 Fourth Avenue, Ottawa K1S 2L1",+1 (613) 236-0040,45.4025722222,-75.6875916667,Restaurant,Dine Out,new,NA,NA,NA,107 FOURTH,107 FOURTH AVENUE WINE BAR & CAFÉ,TRUE
107 Fourth Avenue Wine Bar & Café,"107 Fourth Ave #1, Ottawa, ON K1S 2L1",NA,45.4026788,-75.6876511,restaurant,nightlife,old,0,201806,NA,107 FOURTH,107 FOURTH AVENUE WINE BAR & CAFÉ,TRUE
10Fourteen,"1014 Wellington Street West, Ottawa K1Y 2Y1",+1 (613) 422-8610,45.40485,-75.72355,Restaurant,Dine Out,new,NA,NA,NA,1014 WELLINGTON,10FOURTEEN,TRUE
10Fourteen,"1014 Wellington Street W, Ottawa, ON K1Y 2X9",NA,45.4047964,-75.7234749,restaurant,nightlife,old,0,20180710,NA,1014 WELLINGTON,10FOURTEEN,TRUE
