name,address,phone,lat,lng,category2,category3,dataset,Chain,Update date,NEMS Code,num_name,name_word,check,n
Barrhaven Asian Dragon,"Barrhaven Town Centre, 3777 Strandherd Drive, Ottawa K2J 4B1",+1 (613) 823-1688,45.26836667,-75.74736667,Restaurant,Dine Out,new,NA,NA,NA,3777 STRANDHERD,BARRHAVEN,TRUE,3
Barrhaven Vietnamese,"3777 Strandherd Drive, Ottawa K2J 4B1",+1 (613) 825-4567,45.26820278,-75.74769722,Restaurant,Dine Out,new,NA,NA,NA,3777 STRANDHERD,BARRHAVEN,TRUE,3
Little Caesars,"Barrhaven Town Centre, 3777 Strandherd Drive, Ottawa K2J 4H6",+1 (613) 825-4141,45.26811944,-75.74787778,fast food,regular,new,NA,NA,211,3777 STRANDHERD,LITTLE,TRUE,3
Lorenzo's,"295 Queen Mary Street, Ottawa K1K 1T7",+1 (613) 741-3638,45.42535833,-75.65229722,fast food,regular,new,NA,NA,NA,295 QUEEN,LORENZO,TRUE,3
Manhattan's Handmade Burgers,"Minto Place, 407 Laurier Avenue West, Ottawa K1P 5P5",+1 (613) 422-5885,45.4173994,-75.7022449,fast food,regular,new,NA,NA,NA,407 LAURIER,MANHATTAN,TRUE,3
Milano's Pizza,"3050 Woodroffe Avenue, Ottawa K2J 4K6",+1 (613) 843-8033,45.28443611,-75.724275,fast food,regular,new,NA,NA,71,3050 WOODROFFE,MILANO,TRUE,3
Milano's Pizza,"68 Wylie Avenue, Ottawa K2B 6M4",+1 (613) 828-1111,45.355679,-75.807099,fast food,regular,new,NA,NA,71,68 WYLIE,MILANO,TRUE,3
Milano's Pizza,"990 River Rd, K4M 1B9, Manotick, ON",NA,45.2339852,-75.6774721,fast food,regular,new,NA,NA,71,990 RIVER,MILANO,TRUE,3
Montana's,"2216 Bank Street, Ottawa K1V 1J6",+1 (613) 731-3058,45.35354167,-75.65283333,restaurant,regular,new,NA,NA,NA,2216 BANK,MONTANA,TRUE,3
Rosie’s Southern Kitchen & Bar,"895 Bank Street, Ottawa K1S 3W4",+1 (613) 234-7674,45.40054722,-75.68657778,restaurant,nightlife,new,NA,NA,NA,895 BANK,ROSIE,TRUE,3
The Brass Monkey,"Greenbank Hunt Club Centre, 250 Greenbank Road, Ottawa K2H 8X4",+1 (613) 820-4889,45.325315,-75.779823,restaurant,nightlife,new,NA,NA,NA,250 GREENBANK,THE,TRUE,3
The Joy of Gluten Free,"Greenbank Hunt Club Centre, 250 Greenbank Road, Unit 5B, Ottawa K2H 8X4",+1 (613) 907-1252,45.32441389,-75.77950278,Restaurant,Dine Out,new,NA,NA,NA,250 GREENBANK,THE,TRUE,3
The Senate Sports Tavern and Eatery,"33 Clarence Street, Ottawa K1N 5M4",+1 (613) 695-5523,45.4285578,-75.6945141,restaurant,nightlife,new,NA,NA,NA,33 CLARENCE,THE,TRUE,3
