name,address,phone,lat,lng,category2,category3,dataset,chain,nems_code,Nbhd,update_date
1 FOR 1 PIZZA,1012 MERIVALE ROAD,NA,45.37953568,-75.73349762,fast food,regular,old,1,319,Carlington,2018-06-28
1 FOR 1 PIZZA,1729 BANK STREET,NA,45.37418365,-75.66487122,fast food,regular,old,1,319,Billings Bridge - Alta Vista,2018-06-28
1 FOR 1 PIZZA,1741 ST LAURENT BOULEVARD,NA,45.4053421,-75.62585449,fast food,regular,old,1,319,East Industrial,2018-06-28
1 FOR 1 PIZZA,195 RIDEAU STREET,NA,45.42761612,-75.6889267,fast food,regular,old,1,319,Byward Market,2018-06-28
1 FOR 1 PIZZA,250 GREENBANK ROAD,NA,45.32530975,-75.77960968,fast food,regular,old,1,319,Trend-Arlington,2018-06-28
1 FOR 1 PIZZA,288 BANK STREET,NA,45.41553879,-75.69664001,fast food,regular,old,1,319,Centretown,2018-06-28
1 FOR 1 PIZZA,2900 WOODROOFE AVENUE,NA,45.29259491,-75.7289505,fast food,regular,old,1,319,Old Barrhaven East,2018-06-28
1000 Sushi Islands,"Barrhaven Town Centre, 129 Riocan Avenue, Ottawa K2J 5G3",+1 (613) 825-3703,45.2695,-75.7386861111,restaurant,regular,new,0,0,Chapman Mills,2021-11-11
1000 SUSHI ISLANDS,129A RIOCAN AVENUE,NA,45.26945496,-75.73872375,restaurant,regular,old,0,0,Chapman Mills,2018-07-06
168 Sushi,"1760 St. Laurent Boulevard, Ottawa K1G 1A2",+1 (613) 523-1680,45.4045361111,-75.6271055556,restaurant,regular,new,0,0,East Industrial,2021-11-11
168 SUSHI JAPANESE BUFFET,"1760 Saint Laurent Boulevard, Ottawa, ON K1G 1A2",NA,45.4045938,-75.627051,restaurant,regular,old,0,0,East Industrial,2018-07-06
18,18 YORK STREET,NA,45.42738724,-75.69409943,restaurant,regular,old,0,0,Byward Market,2018-07-06
1848,"University of Ottawa, University Centre, 85 University Private, Second Floor, Ottawa K1N 6N5",+1 (613) 562-5800,45.42207,-75.683677,restaurant,regular,new,1,0,Sandy Hill,2021-11-11
1848,"Floor 2, 85 Université Pvt, Ottawa, ON K1N 6N5",NA,45.4225565,-75.6833275,restaurant,nightlife,old,1,0,Sandy Hill,2018-06-01
2 For 1 Pizza,"320 Bank Street, Ottawa K2P 1Y1",+1 (613) 234-6336,45.414413,-75.695634,restaurant,regular,new,0,0,Centretown,2021-11-11
3 Brewers,"240 Sparks Street, Local C215, Ottawa, ON K1P 6C9",NA,45.420296,-75.7024018,restaurant,nightlife,old,1,0,Centretown,2018-06-01
3 Brewers,"565 Kanata Ave, Kanata, ON K2T 1K5",NA,45.3100669,-75.9082407,restaurant,nightlife,old,1,0,Kanata Lakes - Arcardia,2018-06-01
3 BROTHERS SHAWARMA & POUTINE,124 OSGOODE STREET,NA,45.42392349,-75.68076324,fast food,regular,old,1,25,Sandy Hill,2018-06-28
3 BROTHERS SHAWARMA & POUTINE,530 RIDEAU STREET,NA,45.43188858,-75.6778717,fast food,regular,old,1,25,Sandy Hill,2018-06-28
3 For 1 Pizza,"62 Main Street, Ottawa K1S 1B3",+1 (613) 565-0341,45.4126166667,-75.6802138889,restaurant,regular,new,0,0,Old Ottawa East,2021-11-11
3 Nineteen Food & Drink,"319 Rideau Street, Ottawa, ON K1N 5Y4",NA,45.429383,-75.6848093,restaurant,regular,old,0,0,Lowertown,2018-07-10
35th Street Market Cafe,"Algonquin College, Building R, 1385 Woodroffe Avenue, Ottawa K2G 1V8",+1 (613) 727-4723,45.351719,-75.756053,restaurant,regular,new,0,0,Cityview - Crestview - Meadowlands,2021-11-11
