name,address,phone,lat,lon
KFC,"464 Bank Street, Ottawa, K2P 1Z3",(613) 714-4480,45.4111,-75.6933
KFC,"347 Boul St-Joseph, Hull, J8Y 3Z3",819-777-5544,45.4422,-75.7336
KFC,"932 St. Laurent Blvd, Ottawa, K1K 3B3",(613) 745-4466,45.4311,-75.6414
KFC,"2670 Alta Vista Drive, Ottawa, K1V 7T4",613-733-1222,45.3735022,-75.6658696
KFC,"258 Rue Notre-Dame, Gatineau, J8P 1K4",819-663-8686,45.4824,-75.6464
KFC,"1556 Merivale Rd, Nepean, K2G 3J8",613-224-2346,45.3535,-75.7355
KFC,"340 Hunt Club Road W, Ottawa, K2E 6T6",(613) 714-4476,45.3374,-75.7159
KFC,"2919 Bank St, Ottawa, K1T 1N4",613-521-6131,45.3484,-75.6272
KFC,"2015 Robertson Rd, Nepean, K2H 5Y7",(613) 714-4481,45.3246,-75.8278
KFC,"4027 Innes Rd, Gloucester, K1C 1T1",(613) 830-9586,45.4558366,-75.5076534
KFC,"3780 Fallowfield Road, Unit 724, Nepean, K2J 1A1",(613) 825-2337,45.2870573,-75.7600472
KFC,"1375 Trim Road, Ottawa, K4A 0G4",(613) 714-4485,45.4897,-75.4775
KFC,"475 Hazeldean Rd, Kanata, K2L 1V1",(613) 836-4011,45.2979992,-75.8915584
