name,address,phone
Second Cup,"111 Albert St., PO Box 121, Suite #107
Ottawa, ON, K1P 1A5",613-232-9768
Second Cup,"99 Metcalfe Street
Ottawa, ON, K1P 6L7",343-984-4934
Second Cup,"123 Bank Street / 215 Slater Street
Ottawa, ON, K1P 5N5",613-233-0647
Second Cup,"50 Rideau Street
Ottawa, ON, K1N 9J7",613-230-7291
Second Cup,"380 Sussex Dr
Ottawa, ON, K1N 9N4",613-943-3673
Second Cup,"1715 Merivale Rd.
Nepean, ON, K2G 3J8",613-727-2222
Second Cup,"214 Hunt Club Road
Ottawa, ON, K1V 1C1",613-736-6699
Second Cup,"2121 Carling Avenue, B2
Ottawa, ON, K2A 1H2",613-722-1518
Second Cup,"1309 Carling Avenue
Ottawa, ON, K1Z 7L3",613-600-0401
Second Cup,"1125 Colonel By Drive, Residence Commons Building, Room 124
Ottawa, ON, K1S 5B6",613-520-2600/Ext: 1929
Second Cup,"486 Hazeldean Rd.
Kanata, ON, K2L 1V4",343-545-0722
Second Cup,"100 Bayshore Drive, Level 1 Bayshore Shopping Centre
Ottawa, ON, K2B 8C1",613-890-0401
Second Cup,"3170 Greenbank Road, Unit 1
Napean, ON, K2J 4B1",613-825-7776
Second Cup,"3838 Innes Road
Orléans, ON, K1W 0C8",613-837-7878
Second Cup,"1779, 10th Line Road, Unit 5
Orléans, ON, K1E 3X2",613-830-9660
Second Cup,"110 Place D'Orleans Dr.
Ottawa, ON, K1C 2L9",613- 824-1925
Second Cup,"1200 St. Laurent Blvd., K7 (Kiosk)
Ottawa, ON, K1K 3B8",613-745-9651
Second Cup,"3500 Hawthorne Road
Ottawa, ON, K0A 2Y0",613-562-4512
Second Cup,"304 Taunton Road East
Whitby, ON, L1R 2K5",905-655-7838
Second Cup,"650 Kingston Road, Unit 106, Bldg. D
Pickering, ON, L1V 1A6",905-421-9511
Second Cup,"941 Progress Ave
Toronto, ON, M1G 3T8",No Phone
Second Cup,"60 Main St. N Unit #10
Markham, ON, L3P 1C5",905-554-3666
Second Cup,"5000 Highway 7, Unit 0411A
Markham, ON, L3R 4M9",416-737-7321
Second Cup,"1440 Bank St
Ottawa, ON, K1H7Z2",613-890-7287
Second Cup,"Chartwells, The University of Ottawa, 85 University Private, Room 110
Ottawa, ON, K1N 6N5",613-562-5800/Ext: 3823
