name,address,lat,lon
Subway,"4434 Innes Rd, Unit #1, RioCan Orleans Shopping Center, Ottawa, ON, K4A 4C5",45.461,-75.4871
Subway,"1615 Orleans Blvd, Orleans Gardens Shpg Centre, Gloucester, ON, K1C 7E2",45.4603,-75.5263
Subway,"1675 10th Line, Unit 19, Fallingbrook Shopping Center, Orleans, ON, K1E 3P6",45.47,-75.4934
Subway,"110 Place D' Orleans Dr., Unit #FC10, Place d'Oleans Shopping Ctr, Ottawa, ON, K1C 2L9",45.475,-75.5183
Subway,"Orleans Towne Centre, 240 Centrum Blvd #103, Orleans, ON, K1E 3J4",45.4795,-75.5113
Subway,"6481 Jeanne D'Arc BLVD, Unit 25, Convent Glen Shopping Ctr, Gloucester, ON, K1E 3P6",45.4797,-75.5376
Subway,"900 Watters Drive, Unit 14, Crowne Point Shopping Center, Ottawa, ON, K1E 3P6",45.482,-75.4743
Subway,"5160 Innes Road, Unit 4, Millennium Park Plaza, Ottawa, ON, K1W 0C8",45.4682,-75.455
Subway,"2670 Innes RD, Store No. B11, Blackburn Shoppes, Gloucester, ON, K1B 4Z5",45.4318,-75.5627
Subway,"2200 Montreal Rd, Place Voyageur Shopping Ctr, Gloucester, ON, K1J 6M5",45.4496,-75.587
Subway,"869 Maloney Est, Gatineau, QC, J8P 1H4",45.4877,-75.6023
Subway,"1216, de Neuville, Gatineau, QC, J8M 1W2",45.5315,-75.496
Subway,"1980 Ogilvie Rd, Unit A01154A, Gloucester City Centre, Gloucester, ON, K1J 9L3",45.4324,-75.6096
Subway,"1750 Innes Rd, Unit 30, Innes Road Centre, Gloucester, ON, K1B 3K5",45.4164,-75.6006
Subway,"973 Montreal Road, Unit 1, Ottawa, ON, K1K 0S6",45.4475,-75.6267
Subway,"1261 Donald St, Unit 13, Donald St. Laurent Plaza, Ottawa, ON, K1J 8W3",45.4289,-75.6376
Subway,"3190 Hawthorne Road, Ottawa, ON, K1G 5H5",45.3868,-75.605
Subway,"1767 St Laurent Blvd, Ottawa, ON, K1K 3V4",45.4046,-75.6257
Subway,"381 Boul. Maloney East, Magasin #5, Gatineau Plaza, Gatineau, QC, J8P 7E9",45.4852,-75.6411
Subway,"1200 St Laurent Blvd, Unit U608, St Laurent Shopping Centre, Ottawa, ON, K1K 3B8",45.4205,-75.6413
Subway,"425 La Verendrye Est, Gatineau, QC, J8R 2W8",45.502,-75.6414
Subway,"500 Terminal Avenue, Unit A06, Ottawa Train Yard, Ottawa, ON, K1G 0Z3",45.415,-75.6474
Subway,"110 rue Georges, Gatineau, QC, J8M 1A2",45.5537,-75.4355
Subway,"1005 Chemin de Masson, Gatineau, QC, J8M 1R4",45.5572,-75.4211
Subway,"1567 Alta Vista Dr, Alta Vista Shopping Centre, Ottawa, ON, K1G 0E9",45.4085,-75.6576
Subway,"29 Selkirk Avenue, Unit 17, Eastview Plaza, Ottawa, ON, K1L 6N1",45.4318,-75.6689
Subway,"160 Beechwood Ave, Ottawa, ON, K1L 1A9",45.4415,-75.6727
Subway,"1739 Walkley Road, Unit 3, Herongate Mall, Ottawa, ON, K1V0C2",45.38,-75.6446
Subway,"229-231 Laurier Avenue E, Ottawa, ON, K1N 6P1",45.426,-75.6821
Subway,"710 Montee Paiement Blvd, Carrefour du Versant, Gatineau, QC, J8R 4A3",45.5029,-75.6762
Subway,"164 Main St., Ottawa, ON, K1S1C2",45.4097,-75.6784
Subway,"120 Blvd De L'Hopital, Unit 125, Gatineau, QC, J8T8M2",45.4811,-75.6872
Subway,"50 Avenue Laurier E, Unit 105, Ottawa, ON, K1N 1H7",45.4238,-75.6871
