name,address,phone,lat,lon
Thai Express,"150 King Street West  Toronto,  ON M5H 1J9",416 593 1543,43.6481,-79.3844515
Thai Express,"1881 YONGE STREET unit 104  Toronto,  ON M4S 3C4",416-483-3993,43.6976717,-79.3960999
Thai Express,"AXA Center&#44; 2020 Robert-Bourassa  Montreal,  QC H3A 2A5",515 844 8228,45.5039643,-73.5722865
Thai Express,"255 King Street North  Waterloo,  ON N2J 4V2",519 747 3888,43.4773461,-80.5256995
Thai Express,"3077 Mavis Road  Mississauga,  ON L5B 4M3",905 615 8424,43.5678607,-79.6346734
Thai Express,"320 Front Street West  Toronto,  ON M5V 3B6",416 581 8853,43.6436619,-79.3909279
Thai Express,"372 Yonge Street  Toronto,  ON M5B 1S6",416 977 6464,43.6587187,-79.3823022
Thai Express,"394 Princess Street  Unit 4  Kingston,  ON K7L 5N3",613 531 4546,44.2328316,-76.4922219
Thai Express,"80 Resolution Drive  Brampton,  ON L6W 0A5",905 450 2681,43.6784774,-79.7208288
Thai Express,"475 University Avenue  Charlottetown,  PEI C1A 7Z4",902 628 6223,46.2521679,-63.1394674
Thai Express,"5259 rue Sherbrooke Ouest  Montreal,  QC H4A 1V1",514 369 3746,45.4746737,-73.6086592
Thai Express,"7 King Street East  Toronto,  ON M5C 3C6",416 203 9222,43.6491825,-79.3769254
Thai Express,"99 Route 235  Ange-Gardien,  QC J0E 1E0",450 293 3737,45.3655450,-72.9332581
Thai Express,"671 Appleby Line  Burlington,  ON L7L 2Y5",905 333 9998,43.3730957,-79.7607261
Thai Express,"80 boulevard Brien  Repentigny,  QC J6A 5K7",450 704 2880,45.7431428,-73.4523516
Thai Express,"535 boulevard Arthur-Sauve  Saint-Eustache,  QC J7P 4X4",450 623-2828,45.5736115,-73.9128332
Thai Express,"1700 chemin du Fer-A-Cheval  Sainte-Julie,  QC J3E 1A7",450 649 0909,45.5853769,-73.3253745
Thai Express,"48 Kenmount Rd&#44;  St. John&#39;s,  NL A1B 1W3",709 576 6388,47.5610900,-52.7543554
Thai Express,"3777 Strandherd Drive  Ottawa,  ON K2J 4B1",613 825 8500,45.2681524,-75.7466046
Thai Express,"1331 Clyde Avenue  Ottawa,  ON K2C 3G4",613 224 8288,45.3630056,-75.7400934
Thai Express,"100 Bayshore Drive #T42  Ottawa,  ON K2B 8C1",613 505 4643,45.3474121,-75.8070362
Thai Express,"2901 Bayview Avenue #103A  North York,  ON M2K 1E6",416 590 8828,43.7690883,-79.3854655
