rowid,name,restaurant_address,subzone_name,website,serves_veg_flag,pure_veg_flag,temp_closed_flag,is_seating_available,lat,lon,phone
1,Chez Lucien,"137 Murray Street, Ottawa K1N 5M7",ByWard Market,NA,0,0,0,TRUE,45.4305722222,-75.6923305556,+1 (613) 241-3533
2,The Manx,"370 Elgin Street, Ottawa K2P 1N1",Centretown,http://www.manxpub.com/,0,0,0,TRUE,45.4151200000,-75.6880570000,+1 (613) 231-2070
3,Play Food & Wine,"1 York Street, Ottawa K1N 6Z5",ByWard Market,NA,0,0,0,TRUE,45.4275710000,-75.6948810000,+1 (613) 667-9207
4,Union Local 613,"315 Somerset Street West, Ottawa K2P 0J8",Centretown,http://union613.ca/,0,0,0,TRUE,45.4161905000,-75.6944967000,+1 (613) 231-1010
5,The Albion Rooms,"Hotel Novotel Ottawa, 33 Nicholas Street, Ottawa K1N 9M7",ByWard Market,http://www.thealbionrooms.com/,0,0,0,TRUE,45.4258915000,-75.6896160000,+1 (613) 760-4771
6,Oz Kafe,"10 York Street, Ottawa K2P 5S6",ByWard Market,http://www.ozkafe.com/,0,0,0,TRUE,45.4274288000,-75.6966402000,+1 (613) 234-0907
7,Two Six {Ate},"268 Preston Street, Ottawa K1R 7R3",Little Italy,http://www.twosixate.com/,0,0,0,TRUE,45.4041958000,-75.7118560000,+1 (613) 695-8200
8,The Cheshire Cat,"2193 Richardson Side Road, Carp K0A 1L0",Carp,http://www.cheshirecatpub.com/,0,0,0,TRUE,45.2936638889,-75.9717027778,+1 (613) 831-2183
9,Mill Street Brew Pub,"555 Wellington Street, Ottawa K1R 1C5",Centretown West,http://ottawa.millstreetbrewpub.ca/,0,0,0,TRUE,45.4195416667,-75.7124250000,+1 (613) 567-2337
10,Fauna,"425 Bank Street, Ottawa K2P 1Y7",Centretown,http://www.faunaottawa.ca/,0,0,0,TRUE,45.4123916667,-75.6937861111,+1 (613) 563-2862
11,Pub Italia,"434 Preston Street, Ottawa K1S 4N4",Little Italy,http://www.pubitalia.ca/,0,0,0,TRUE,45.3996130000,-75.7091010000,+1 (613) 232-2326
12,Brothers Beer Bistro,366 Dalhousie Street K1N 7G3,ByWard Market,http://www.brothersbeerbistro.ca/,0,0,0,TRUE,45.4279100000,-75.6903200000,+1 (613) 695-6300: +1 (613) 695-6300
13,The Lieutenant's Pump,361 Elgin Street K2P 1M7,Centretown,http://www.lieutenantspump.ca/,0,0,0,TRUE,45.4155390000,-75.6881270000,+1 (613) 238-2949
14,Big Rig Brewery,"2750 Iris Street, Ottawa K2C 3V5",Nepean,http://www.bigrigbrew.com/,0,0,0,TRUE,45.3475888889,-75.7875138889,+1 (613) 688-3336
15,Blue Cactus Bar and Grill,"2 ByWard Market Square, Ottawa K1N 7A1",ByWard Market,NA,0,0,0,TRUE,45.4286060000,-75.6938410000,+1 (613) 241-7061
16,Milestones,"700 Sussex Dr Unit 201, Ottawa K1N 1K4",ByWard Market,http://www.milestonesrestaurants.com/,0,0,0,TRUE,45.4257720000,-75.6938160000,+1 (613) 789-5432
17,Social,"537 Sussex Drive, Ottawa K1N 6Z6",ByWard Market,http://www.social.ca/,0,0,0,TRUE,45.4265550000,-75.6940530000,+1 (613) 789-7355
18,The Moonroom,"442 Preston Street, Ottawa K1S 4N6",Little Italy,NA,0,0,0,TRUE,45.3990710000,-75.7087810000,+1 (613) 231-2525
19,Trio Lounge,"307 Richmond Road, Ottawa K1Z 6X2",Westboro,http://www.triowestboro.com/,0,0,0,TRUE,45.3927722222,-75.7524861111,+1 (613) 722-3887
20,Metropolitain Brasserie Restaurant,"700 Sussex Drive, Ottawa K1N 1K4",ByWard Market,NA,0,0,0,TRUE,45.4257720000,-75.6938160000,+1 (613) 562-1160
21,107 Fourth Avenue Wine Bar & Café,"107 Fourth Avenue, Ottawa K1S 2L1",The Glebe,http://www.107fourthavenue.com/,0,0,0,TRUE,45.4025722222,-75.6875916667,+1 (613) 236-0040
22,Cornerstone Bar and Grill,"92 Clarence Street, Ottawa K1N 7B5",ByWard Market,NA,0,0,0,TRUE,45.4292250000,-75.6928944444,+1 (613) 241-6835
23,The Elmdale Oyster House & Tavern,"1084 Wellington Street West, Ottawa K1Y 2Y5",Wellington West,http://www.elmdaletavern.com/,0,0,0,TRUE,45.4031194444,-75.7252277778,+1 (613) 728-2848
