name,restaurant_address,subzone_name,website,serves_veg_flag,pure_veg_flag,temp_closed_flag,is_seating_available,lat,phone,cuisine_mexican,cuisine_fusion,cuisine_sandwich,cuisine_bakery,cuisine_burger,cuisine_canadian,cuisine_vegetarian,cuisine_bar_food,cuisine_tapas,cuisine_american,cuisine_bbq,cuisine_southern,cuisine_desserts,cuisine_seafood,cuisine_cafe,cuisine_italian,cuisine_pizza,cuisine_diner,cuisine_french,cuisine_steak,cuisine_asian,cuisine_international,cuisine_ice_cream,cuisine_middle_eastern,cuisine_indian,cuisine_european,cuisine_thai,cuisine_greek,cuisine_sushi,cuisine_korean,cuisine_mediterranean,cuisine_malaysian,cuisine_german,cuisine_dim_sum,cuisine_japanese,cuisine_chinese,cuisine_healthy_food,cuisine_juices,cuisine_grill,cuisine_sri_lankan,cuisine_spanish,cuisine_latin_american,cuisine_north_indian,cuisine_turkish,cuisine_breakfast,cuisine_fast_food,cuisine_vietnamese,cuisine_tex-mex,cuisine_cantonese,cuisine_sichuan,cuisine_ramen,cuisine_ethiopian,cuisine_scottish,cuisine_irish,cuisine_african,cuisine_asian_fusion,cuisine_fish_and chips,cuisine_portuguese,cuisine_iranian,cuisine_south_indian,cuisine_lebanese,cuisine_hong_kong style,cuisine_tea,cuisine_afghan,cuisine_moroccan,cuisine_caribbean,cuisine_salvadorean,cuisine_british,cuisine_arabian,cuisine_swedish,cuisine_pakistani,cuisine_beverages,cuisine_eastern_european,cuisine_bubble_tea,cuisine_cajun,cuisine_taiwanese,cuisine_deli,cuisine_jamaican,cuisine_donuts,cuisine_coffee_and tea,cuisine_drinks_only,cuisine_somali,cuisine_filipino,cuisine_frozen_yogurt,cuisine_pub_food,cuisine_kebab,cuisine_syrian,cuisine_northern_chinese,cuisine_salad,cuisine_polish,cuisine_burmese,cuisine_teriyaki,cuisine_russian,cuisine_cuban
El Camino,"380 Elgin Street, Ottawa K2P 1M9",Centretown,http://www.eatelcamino.com/,0,0,0,TRUE,45.4149277778,+1 (613) 422-2800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art Is In Bakery,"250 City Centre Avenue, Unit 112, Ottawa K1R 1C7",Little Italy,http://www.artisinbakery.com/,0,0,0,TRUE,45.4079805556,+1 (613) 695-1226,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez Lucien,"137 Murray Street, Ottawa K1N 5M7",ByWard Market,NA,0,0,0,TRUE,45.4305722222,+1 (613) 241-3533,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahora,"307 Dalhousie Street, Ottawa K1N 8Y3",ByWard Market,http://www.ahora.ca/,0,0,0,TRUE,45.4294500000,+1 (613) 562-2081,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Manx,"370 Elgin Street, Ottawa K2P 1N1",Centretown,http://www.manxpub.com/,0,0,0,TRUE,45.4151200000,+1 (613) 231-2070,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Play Food & Wine,"1 York Street, Ottawa K1N 6Z5",ByWard Market,NA,0,0,0,TRUE,45.4275710000,+1 (613) 667-9207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington GastroPub,"1325 Wellington Street West, Ottawa K1Y 3B2",Wellington West,http://www.thewellingtongastropub.com/,0,0,0,TRUE,45.3987500000,+1 (613) 729-1315,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Smoque Shack,"129 York Street, Ottawa K1N 7J3",ByWard Market,http://www.smoqueshack.com/,0,0,0,TRUE,45.4294500000,+1 (613) 789-4245,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraser Café,"7 Springfield Road, Ottawa K1M 1C8",Rockcliffe,http://frasercafe.ca/,0,0,0,TRUE,45.4402250000,+1 (613) 749-1444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuzyQ,"969 Wellington Street West, Ottawa K1Y 2Y1",Wellington West,http://suzyq.ca/,0,0,0,TRUE,45.4055138889,+1 (613) 724-2451,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
