note,address,address2,phone,Y,X,name,update_date,fax
Metro,375 Daniel St. S,Arnprior ON K7S 3K6,613-623-6273,45.42471,-76.36742,METRO,2023-09-22,NA
Metro,50 Beechwood Avenue,Ottawa ON K1L 8B3,613-744-6676,45.43953,-75.67625,METRO,2023-09-22,NA
Metro,2636 Innes Road,Gloucester ON K1B 4Z8,613-837-1845,45.43201,-75.56378,METRO,2023-09-22,NA
Metro,3201 Strandherd Drive,Nepean ON K2J 5N1,613-823-8825,45.27445,-75.72107,METRO,2023-09-22,NA
Metro,6509 Jeane D'Arc Blvd.,Orleans ON K1C 2R1,613-837-1170,45.48076,-75.53611,METRO,2023-09-22,NA
Metro,4510 Innes Road,Ottawa ON K4A 4C5,613-824-8850,45.46232,-75.48299,METRO,2023-09-22,NA
Metro,10 Cope Drive,Kanata ON K2M 0N2,613-271-7020,45.28236,-75.86516,METRO,2023-09-22,NA
Metro,2261 Walkley Road,Ottawa ON K1G 3G8,613-526-5994,45.38935,-75.6193,METRO,2023-09-22,NA
Metro,1675 Tenth Line Road,Orleans ON K1E 3P6,613-837-2614,45.46971,-75.49086,METRO,2023-09-22,NA
Metro,754 Bank Street,Ottawa ON K1S 3V6,613-232-9466,45.40364,-75.6887,METRO,2023-09-22,NA
Metro,250 Greenbank Road,Nepean ON K2H 8P3,613-828-9321,45.32454,-75.78059,METRO,2023-09-22,NA
Metro,345 Carleton Avenue,Ottawa ON K1Y 0K3,613-725-3065,45.39797,-75.74072,METRO,2023-09-22,NA
Metro,2525 Carling Ave.,Ottawa ON K2B 7Z2,613-828-3251,45.3652,-75.78537,METRO,2023-09-22,NA
Metro,4048 Carling Avenue,Kanata ON K2K 1Y1,613-599-0470,45.33802,-75.90768,METRO,2023-09-22,NA
Metro,3310 McCarthy Rd.,Ottawa ON K1V 9S1,613-523-2774,45.35156,-75.67112,METRO,2023-09-22,NA
Metro,1705 Merivale Road,Ottawa ON K2G 3K2,613-274-7274,45.345,-75.72985,METRO,2023-09-22,NA
Metro,1930 Montreal Road,Gloucester ON K1J 6N2,613-744-2961,45.44658,-75.59552,METRO,2023-09-22,NA
Metro,799 Boul. Wilfrid-Lavigne,Gatineau QC J9J 1V2,819-685-3490,45.411918,-75.839181,METRO,2023-09-22,NA
Metro,214 Boul. De La Cité Des Jeunes,Gatineau QC J8Y 6S8,819-778-7330,45.44997,-75.75497,METRO,2023-09-22,NA
Metro,499 Boul. Gréber,Gatineau QC J8T 0B3,819-561-6627,45.48898,-75.7015,METRO,2023-09-22,NA
